ID_REF	GSM40714	GSM40715	GSM40716	GSM40717	GSM40718	GSM40719	GSM40720	GSM40721	GSM40722	GSM40723	GSM40724	GSM40725	GSM40726	GSM40727	GSM40731	GSM40732	GSM40728	GSM40729	GSM40730	GSM40733	GSM40734	GSM40735	GSM40736	GSM40737
10000_at	2.22456	2.10421	2.27354	2.25127	2.23251	2.46438	2.2248	2.49885	2.31829	2.30601	2.43116	2.38398	2.59149	2.86179	2.17427	2.33641	2.18929	2.29678	2.36307	2.19405	2.40716	2.36282	2.24327	2.16024
10001_at	6.18616	6.3823	6.40132	6.24721	6.53419	5.29948	5.52542	6.48678	5.56551	5.29589	4.62429	6.48667	5.21828	5.42502	5.40272	5.35868	7.12091	7.08534	7.28165	5.88808	6.62583	6.80213	5.34561	6.64621
10002_i_at	9.96421	10.6575	9.99135	10.3897	10.1637	10.5636	10.6256	10.2017	10.2887	10.5964	9.40425	10.5643	6.88381	7.1462	10.2535	10.1773	8.98847	9.47852	9.34705	10.7564	9.78719	9.63602	10.5844	9.75366
10003_f_at	11.5397	11.8111	11.7139	11.7797	11.8632	11.2683	11.6364	11.8024	11.6878	11.5326	10.2726	11.2174	8.07358	8.03413	11.4688	11.467	10.1035	10.226	10.2513	11.5741	11.5889	11.1465	11.6128	11.4048
10004_at	2.96789	3.1264	2.87613	3.3931	3.00028	3.49162	4.01136	3.12126	3.45336	3.20405	4.37536	3.33518	5.19405	4.85646	3.54286	3.48148	2.51103	2.39008	2.30971	3.4024	3.02634	2.65063	3.16618	2.84392
10005_at	6.84125	7.12219	7.32681	7.12937	7.25789	6.52467	7.06054	7.13545	7.23634	7.00294	6.26353	7.51099	6.62496	6.43607	7.05788	7.0085	6.98239	7.40655	7.52764	6.31637	6.76477	6.95418	6.8472	6.78258
10006_at	5.75652	6.1747	6.01169	5.97585	6.04783	5.5153	6.10447	5.85698	6.3952	6.35603	5.62132	6.08533	5.5031	5.55899	7.38828	7.11734	5.55635	5.6739	5.72477	5.68856	5.74188	5.72097	5.71584	5.80459
10007_at	4.98664	5.36295	5.02387	5.19161	4.93258	5.64193	5.79061	5.44795	5.17427	5.16351	5.47776	5.45662	6.10661	6.8821	4.95491	5.19778	5.08118	5.30948	5.14303	5.04705	5.17438	5.22294	5.55358	5.06358
10008_at	4.75888	4.76869	4.74463	5.10928	4.64088	6.08345	5.77872	4.83138	5.19342	5.27259	6.05728	5.29164	7.03418	7.12246	5.24853	5.4978	4.48297	4.4794	4.59286	5.09642	5.1876	4.69982	5.36357	4.60076
10009_at	5.26068	4.98566	4.88565	5.54422	4.78131	5.43671	5.31761	5.30413	5.21088	5.07883	5.91381	5.20521	6.14385	6.11816	4.91192	5.0146	4.45809	4.57867	4.49188	5.22056	5.01308	5.0473	5.35159	4.56141
10010_at	7.60064	7.56325	8.52556	8.0587	8.64777	5.45702	6.4168	8.39616	6.57875	6.60713	5.67186	7.13064	5.0145	5.30605	5.50307	5.52536	8.56542	8.68613	8.94119	7.84005	8.36445	8.50417	6.59383	8.01897
10011_at	2.2624	2.07069	2.50321	2.61452	2.36513	2.64772	2.62105	2.59544	2.60107	2.44469	2.63568	2.30035	2.85205	3.46366	2.43975	2.5414	2.20958	2.19531	2.30724	2.40487	2.5395	2.40745	2.67879	2.32613
10012_at	4.58677	5.02056	5.32504	5.0105	5.31333	4.98127	5.15628	4.96046	5.10734	5.18163	4.96898	3.95856	4.4708	4.71186	4.44701	4.78427	7.79816	7.93548	8.03125	7.13397	7.08797	7.09222	6.53396	6.47501
10013_at	4.00039	4.30068	4.61519	4.31197	4.74419	4.27112	4.67233	4.32969	4.8441	4.84861	4.21869	4.00173	4.60024	4.87351	4.85289	4.81105	4.56883	4.96737	4.96246	4.49674	4.59292	4.43768	3.77062	4.97523
10014_at	5.46028	4.94111	5.10669	5.48756	5.02839	5.42436	5.28016	5.99907	4.92158	4.72768	5.47233	4.84204	6.36858	6.58177	4.80101	4.83696	7.29906	7.58598	7.8238	4.89375	5.59587	5.80972	5.27186	5.41995
10015_at	8.33935	7.47	8.55633	8.31334	8.54709	5.74941	6.34594	8.99416	6.129	6.26952	5.98105	8.23836	7.2412	6.89934	6.49912	6.77056	6.34251	6.53827	6.69855	6.69113	7.69817	7.70511	6.41396	7.65691
10016_at	8.52173	8.49436	8.81436	8.6305	8.89911	7.42881	8.22561	8.81617	8.58421	8.27428	5.67067	7.5083	6.47375	6.15566	8.33613	8.31967	7.66482	7.8197	7.94565	8.00495	8.48103	8.05344	7.90667	8.36652
10017_at	4.29348	4.02933	4.00545	4.50596	3.73993	5.21732	5.09958	4.31778	4.55946	4.42996	5.30634	4.64334	6.33317	6.22859	4.53449	4.77806	3.81544	3.57592	3.46709	4.56886	4.39253	3.83784	4.85249	4.07913
10018_at	4.0118	3.57084	3.94887	4.08272	3.64823	3.93612	3.96464	4.11702	3.81883	3.66829	4.26622	3.59973	4.64791	5.02661	4.04235	4.11309	3.37597	3.59685	3.4498	3.96678	3.95118	3.6994	4.01948	3.69524
