ID_REF	GSM63885	GSM63886	GSM63887	GSM63888	GSM63889	GSM63890	GSM63894	GSM63895	GSM63896	GSM63891	GSM63892	GSM63893
aas_b2836_st	64.8863	58.05	59.5254	53.6917	41.0666	32.7799	50.4416	59.373	49.0731	45.8001	29.4317	44.2613
aat_b0885_st	57.073	73.1794	61.1003	49.2515	58.8169	44.6244	103.341	60.8561	116.143	61.2575	46.2071	62.2851
abc_b0199_st	131.458	117.468	122.173	114.847	93.1153	198.017	150.604	77.5314	173.626	142.696	119.526	161.076
abrB_b0715_st	65.3033	64.9929	55.1017	64.357	74.3211	63.1774	95.1121	84.4886	85.4355	92.734	84.882	89.1934
accA_b0185_st	108.294	93.2404	134.051	97.4738	131.474	163.29	152.846	87.2822	154.47	151.322	102.337	82.8001
accB_b3255_st	47.7239	65.3042	64.425	72.9353	146.164	204.618	107.764	58.1042	92.9207	151.966	146.872	77.6245
accC_b3256_st	57.5359	47.5777	60.3476	88.4856	143.542	153.753	83.704	44.4954	67.2915	141.432	181.158	70.532
accD_b2316_st	74.51	58.4913	66.3869	94.0135	182.249	161.45	129.431	77.1851	112.932	202.408	112.231	98.484
aceA_b4015_st	50.4293	42.0149	43.1375	36.9452	38.3198	34.9941	29.4638	55.2104	27.1934	30.8558	30.1652	30.9443
aceB_b4014_st	44.6435	49.2093	38.8839	38.7171	34.032	31.2115	31.76	63.2332	29.904	33.7472	27.2587	32.9149
aceE_b0114_st	89.7778	78.6174	106.684	64.9928	119.842	276.331	153.752	91.2363	149.353	129.203	200.391	85.056
aceF_b0115_st	143.985	132.025	147.108	149.304	145.719	292.387	211.032	160.735	224.667	206.464	248.066	141.46
aceK_b4016_st	30.2249	28.7613	28.1053	31.9252	24.4267	19.3947	21.2442	35.0534	20.4649	25.5465	25.9367	23.3458
ackA_b2296_st	80.8922	64.1047	77.101	80.6409	247.325	175.861	92.0659	61.1749	99.818	185.494	152.661	64.9077
acnA_b1276_st	104.066	79.2185	91.0489	63.2295	102.168	83.7381	122.05	120.267	115.017	141.951	74.7266	113.07
acnB_b0118_st	449.437	123.457	159.97	265.313	198.563	719.436	182.431	309.92	179.841	231.824	622.052	222.236
acpD_b1412_st	31.6833	26.1653	31.9661	30.3664	29.5529	26.9883	32.6662	31.6453	33.5395	31.1837	25.6558	24.5033
acpP_b1094_st	516.109	214.972	320.507	653.965	1107.84	979.952	498.621	344.481	543.75	868.948	995.269	527.035
acpS_b2563_st	67.2672	47.4068	38.8279	48.3945	37.4748	28.1888	33.8975	52.3652	33.5396	34.8527	30.7364	26.3962
acrA_b0463_st	65.0476	54.6323	64.1456	56.7061	72.5734	57.6141	76.7965	73.3141	81.7349	73.2481	52.6753	44.5968
acrB_b0462_st	95.5824	71.5868	90.6295	103.049	123.919	143.859	100.261	88.974	106.908	124.115	134.335	64.702
acrD_b2470_st	61.1452	60.8924	62.8123	71.8221	73.2874	66.4826	82.3885	87.6131	77.1852	101.124	88.6187	86.3414
acrE_b3265_st	41.9616	40.648	53.6041	39.6281	42.6847	40.7608	45.977	39.8375	42.5676	46.6545	34.3971	54.3672
acrF_b3266_st	37.7554	26.1798	25.4911	30.208	27.2523	25.4057	26.7839	34.4937	28.7613	26.6018	29.4614	29.2715
acrR_b0464_st	45.534	45.6994	48.9457	30.5141	46.3565	44.5028	64.5365	38.5263	66.1238	48.8873	65.7403	54.8431
acs_b4069_st	44.4451	51.1918	59.7107	43.6115	55.2103	66.6303	59.281	69.4394	48.6633	60.6891	57.4846	63.9155
ada_b2213_st	45.541	51.2271	52.7362	49.4043	59.8656	50.6008	63.8773	57.2997	59.9899	85.9107	50.1171	60.1143
add_b1623_st	37.2583	40.5118	46.2814	34.5107	48.6338	39.8417	57.1312	34.3651	51.0104	56.4051	42.9385	37.2816
adhC_b0356_st	96.1019	52.3851	54.5371	91.2125	72.6698	99.0739	65.8334	80.5399	72.4136	80.8078	70.6758	65.4683
adhE_b1241_st	100.266	70.2574	105.454	129.242	233.44	133.567	252.412	82.0089	211.893	286.948	124.442	119.009
adhP_b1478_st	51.6485	46.9156	54.1276	47.8249	47.5159	40.6164	44.4269	58.2223	46.3246	47.9523	44.8746	44.021
adiA_b4117_st	34.418	34.0615	37.8327	32.4581	32.4541	35.1543	29.116	36.885	29.0901	33.3707	28.4209	54.8081
adiY_b4116_st	25.3644	22.7813	21.8781	33.7012	27.5348	29.9388	24.1641	27.6973	24.0293	26.2833	23.7059	29.428
adk_b0474_st	96.895	113.26	98.7887	113.727	218.742	261.848	201.224	66.1194	197.464	258.812	170.504	147.852
aefA_b0465_st	80.7891	48.8362	55.5892	76.5876	84.643	52.1198	79.1197	55.2425	96.2335	73.0937	83.2702	66.467
aer_b3072_st	98.6013	93.3304	95.2541	67.354	106.38	96.145	105.396	115.531	92.0953	112.134	109.512	106.11
AFFX-BioB-5_st	55.1905	82.3275	91.0458	64.3351	73.6189	112.955	133.061	77.6734	135.278	110.56	133.466	125.638
AFFX-BioC-3_st	23.1252	48.2541	58.7802	25.8486	36.2116	79.6329	62.9606	39.2742	100.132	38.2678	20.2788	43.2643
AFFX-CreX-3_st	30.2301	42.8167	34.6342	28.4441	29.1164	31.9544	35.6207	35.2887	36.9696	28.2122	26.1994	32.9851
AFFX-CreX-5_st	37.9494	36.652	49.626	33.9291	31.86	36.7219	43.8905	34.8233	45.3628	35.4437	29.9211	30.9418
AFFX-DapX-3_st	26.7664	53.7383	46.4988	31.9834	44.5678	42.1136	52.4518	28.1735	58.5181	52.1813	30.3905	38.417
AFFX-DapX-5_st	26.6008	36.979	42.5434	26.1346	40.9573	45.7635	54.6034	27.184	47.3163	51.3091	36.7371	48.8258
AFFX-DapX-M_st	19.1844	30.8543	35.7099	26.7614	38.754	45.6895	48.6756	25.1969	49.0372	40.9853	26.2321	30.6269
AFFX-HXB2_3_st	29.8763	46.2299	59.0518	36.602	51.3792	52.0152	82.9899	37.5216	80.7214	68.7611	48.1229	89.4028
AFFX-HXB2_5_st	33.0699	51.3553	75.8683	46.269	53.6995	102.658	98.1218	39.9459	99.6433	78.4886	60.9763	121.253
AFFX-HXB2_M_st	32.3096	56.934	79.5404	42.82	60.1093	99.2635	106.586	37.9053	111.287	89.9838	66.3963	150.515
AFFX-LysX-3_st	17.6594	34.6961	43.1744	21.2129	35.4181	34.2314	53.4548	27.025	52.254	39.7819	22.8391	29.1529
AFFX-LysX-5_st	19.7466	46.7703	44.7313	31.3767	38.8552	31.7813	62.0945	29.5171	63.5093	56.9412	29.953	35.1129
AFFX-LysX-M_st	18.9447	32.0092	41.8715	25.8795	36.3241	36.7611	54.9591	26.5631	58.8689	46.8826	32.6694	37.7788
AFFX-PheX-3_st	38.7828	47.3604	47.9757	32.7572	35.1988	35.3479	61.1072	37.9908	57.5491	41.2376	27.3784	34.5306
AFFX-PheX-5_st	26.2407	37.3071	35.1872	30.6456	36.8642	38.5948	46.5089	28.3085	45.1651	40.8894	29.4888	35.3582
