ID_REF	GSM101230	GSM101231	GSM101232	GSM101233	GSM101234	GSM101235	GSM101236	GSM101237	GSM101238	GSM101239	GSM101240	GSM101241	GSM101242	GSM101243	GSM101244
aas_b2836_at	538.8	658.2	583.4	931.9	582.6	1101.2	1008.6	797.6	923.6	975.6	698.1	781.9	608.1	758.1	713.8
aat_b0885_at	498.7	616.7	622	590.2	515.4	369.5	373.1	541.8	470.1	456.8	720.9	984.8	826.9	497.8	821.4
abc_b0199_at	825.8	1034.7	1037.6	1198.8	970.4	1195.2	795.1	1129.2	1106.8	1173.9	452	731.3	412.2	625	803.1
abrB_b0715_at	258.2	411.5	437.8	352.5	222.8	372.3	78.6	302.2	310.1	230.4	214.6	221.7	159.4	145.3	299.2
accA_b0185_at	3809.4	3561.9	3976.6	4374.8	3711.7	6199.5	6826.7	7516.8	6398.9	5723.8	3545.6	5078.7	4682.2	5421.7	3912.2
accB_b3255_at	11818.4	8918.5	8400.6	9081	10214.5	11293.1	12374.7	11881.4	11763.9	11284.3	12001.8	12824.7	14836.4	17105.9	11759.9
accC_b3256_at	6622.7	4933.1	5593.8	5264.1	5325.5	3660.4	4024.5	5008.7	4299.3	3536.5	10758.2	4134.9	2907	2947.7	8609.3
accD_b2316_at	4464.5	3102.2	3483.8	3787.9	3417	5035.4	3418.2	5470.4	4700.5	4700	4055.4	5645	4409.3	3993.7	3734.2
aceA_b4015_at	2713.7	3803.4	3970.4	4303	3506.5	2432.5	2067.2	2173.1	1552.6	3231.5	3653.8	2584.4	2441.3	2808.8	2863.7
aceB_b4014_at	2920.2	3310.7	2834.3	4110.4	3082	1939.3	2139.2	2151.8	1519	3053.6	2665.3	2856.1	2907.6	2821.3	2294.9
aceE_b0114_at	26131	25117.6	21526.4	24617	28213.7	6708.9	6503	6258.3	8328.7	6528.1	9490.6	10056.8	9562.9	12843.1	10508.2
aceF_b0115_at	16405.2	18233.3	16016.2	16415.8	17156.9	4782.4	3773.6	4555.8	4221.2	4954.6	5965.5	5626.1	5198.8	6897.3	5821.3
aceK_b4016_at	758.7	912.7	805.7	698.7	875.3	599.2	365.5	587.5	448.1	648.6	550.5	689.2	568.6	472.6	322.2
ackA_b2296_at	6801.1	7096.3	6782.7	6671.6	6899.8	8422	6216.3	7414	8146.1	8256.1	7776.5	10021.4	11918.9	11928.7	8342.1
acnA_b1276_at	915.4	763.5	810.3	694.5	790.3	622.5	395.8	611	536.3	558.9	569.9	550.5	423	469.2	405.8
acnB_b0118_at	7857.7	6993.5	7968.1	6545.3	6253.3	3243.1	3102.7	3134.4	2333.9	2916.6	3206	1667.3	1466	1566	4769.1
acpD_b1412_at	706.6	880.1	1087.7	1166.7	890.5	512.3	418.2	385.1	399.7	415.4	339.2	277.2	292.4	272.7	351.8
acpP_b1094_at	29885.7	24702	16760.7	17890.5	20329.3	27399	29519.4	30000.2	24374.8	25423.8	25419	19905.5	42402.6	43174.4	22414.4
acpS_b2563_at	1038.4	1289.1	1161.8	1357.6	1165.1	2144.2	1482.3	2139.7	1540.7	1750.1	952.3	1472.8	1064.5	1372.5	897.6
acrA_b0463_at	3419.9	2473.1	2997.7	3342.4	3409	3821	4084	4378.9	4339.2	4143.9	4325.1	4583	3682.9	5058.4	4591.2
acrB_b0462_at	2130.3	2010.9	2272.6	2276.9	1798.4	2553	1960.9	2835.9	2557.3	2449.4	3280.5	2490.1	2388.8	2142.3	3119.8
acrD_b2470_at	147.9	339	215	191.7	421.2	224.3	175.3	69.1	275.8	270.8	459.4	339.5	325.2	425.5	364.1
acrE_b3265_at	7.1	10.6	8.9	8.7	10.8	23.2	15.1	17.8	17.5	14.6	11.2	17.4	14.4	12.2	9.9
acrF_b3266_at	6.5	11.7	8.6	7.7	9.8	15.7	12.1	8.9	12.1	11.1	9.6	14.7	10.2	11	7.4
