ID_REF	GSM153907	GSM153909	GSM153911	GSM153913	GSM153915	GSM153908	GSM153910	GSM153912	GSM153914	GSM153916
10000_at	7.4	4.3	3.3	8.7	2.9	5.5	5	3.3	4.7	3
10001_at	206.7	213.8	180.2	190.2	201.7	193.1	219.6	184.5	191.7	198.4
10002_i_at	1088.8	1250	1478.1	1386.2	1383.6	1121.8	1262.1	1372.3	1432	1564.1
10003_f_at	3802.8	3270.1	3763.6	3874.5	3859.8	3478	3225.3	3505.8	3676	3398.6
10004_at	2.2	4.2	1.3	0.6	2.4	3.5	5.3	1.5	0.4	1
10005_at	272.1	188.4	210.3	223.5	225.5	233.2	178.1	191.1	208.7	219.1
10006_at	100.2	76.7	90.3	94.1	137.3	79.8	75.6	87.2	90.5	120.9
10007_at	815.7	357.2	647.2	645.6	639.1	762.7	338.6	700.8	581	593.4
10008_at	2.7	1.4	2.3	1.5	2.5	2.2	1.5	2.4	1.4	1.9
10009_at	74.8	63.6	79.6	147.4	98.4	62.4	72.2	84.8	114.7	84.4
10010_at	1093.1	895.3	898.8	646.6	644	980.4	1132.6	786.8	677.5	732.5
10011_at	9.5	6.6	5.6	4.7	8.9	8.4	7.8	7.7	3.4	4.3
10012_at	51	32.1	42.7	32.4	33	31.1	48.9	30.1	36.5	46
10013_at	28.2	22.7	26.1	28.7	25.4	26.1	26.3	24.2	23.4	31.5
10014_at	325.5	220.9	291.8	248.7	247.9	319.8	257.1	272.3	189.1	206.8
10015_at	1334.3	1489.2	1484	1327.4	1358.9	1285.8	1502.7	1383.2	1347.7	1353.7
10016_at	439.1	437.4	386.4	359.3	334.4	441.4	471.2	376.5	330.5	349.5
10017_at	3.9	8.5	1.5	1	5.4	1.8	9.5	2.2	0.9	1
10018_at	3878.7	3671.3	4317.3	4006.6	3695.8	3528.8	3611.3	3850.2	3549.9	3221.6
10019_at	1720.4	1276.9	1429.2	1007.3	975.8	1541.9	1356.8	1337.4	1006.7	1020.4
10020_at	196.3	172.1	168.2	159.2	172.5	179.9	169.3	171.2	160.1	172.7
10021_at	46	43	39.4	35.6	31.3	37.7	47.7	36.8	40.7	36.2
10022_at	0.5	0.4	0.4	0.3	0.2	0.3	0.3	0.2	0.3	0.2
10023_at	1.3	1.6	1.4	1.1	3.3	1	0.9	0.7	0.6	0.8
10024_at	163	228.9	178.5	139.6	147.1	161.8	188.5	161.3	130.9	135.4
10025_at	26.5	30.2	29.6	31.6	33.6	36.1	30.4	27.5	36.7	38.7
10026_at	2.2	0.9	1.5	1.6	1.4	1.9	8.6	1	1.2	1.2
10027_at	19.1	16	15.8	13.9	9.7	17.6	21.7	12.1	9.5	12.1
10028_at	73.5	79.2	62.4	76.8	68.2	69.6	83.4	69.4	66.6	71.2
10029_at	106.8	96.3	99.1	61.4	76.6	105	69.7	99.6	84.4	90.9
10030_at	30	25.5	21	23.3	22.7	22.8	25.2	30.4	24.1	24.1
10031_at	365.7	351.7	347.2	419.7	422.6	264.6	281	300.5	337.9	323.7
10032_at	159.5	155.8	135.3	115.5	107.2	132.3	154.9	118.7	90.6	97.1
10033_at	45.5	50.2	39	38.7	44.9	40.8	44.3	33.2	40.1	35.3
10034_at	472.5	438.1	379.6	449.7	485.5	409.5	462.1	351.2	501.2	541.3
10035_at	281.5	236.5	272.1	237.8	258.3	243.5	219.1	241.2	201.8	215.8
10036_at	64.8	59.8	46.1	89.1	89.3	55.2	64.2	54.8	93.9	82.5
10037_at	50.7	27.6	30.2	28.7	17	35.5	28	31.9	33.2	34.9
10038_i_at	168	98	132.1	95.7	104.2	131	109.9	137.8	92.9	102.3
10039_s_at	21.8	16.8	19.5	10.4	19.6	23.8	12	19.4	19	20.3
10040_at	24	16.9	23.8	17.4	17.2	22.7	18.6	25.7	21.8	17.9
10041_at	11.3	11.7	7.5	8.1	10.5	13	6.1	10.5	8.8	6
10042_at	22.9	19.5	15.8	10.8	12	18.2	18	17	11.7	15.9
10043_at	36.3	40.3	40.8	25	35.1	33.1	40.6	30.9	22.7	21.2
