ID_REF	GSM266726	GSM266728	GSM266729	GSM266723	GSM266724	GSM266725
10000_at	11	9.3	9.7	8.9	7.3	2.8
10001_at	466.7	490.9	608.7	303	277.6	231.6
10002_i_at	1320.8	1295.1	1364.6	1574.7	1527.4	1284.5
10003_f_at	5021.3	5033.2	5740.6	7265.1	7266.5	6424.3
10004_at	1.9	0.5	0.9	0.7	2	0.4
10005_at	337.8	324	371.4	514.8	514.1	434.3
10006_at	145.3	109.4	163.5	121.7	120.4	102.1
10007_at	703.1	765.1	813.6	831.4	774	763.5
10008_at	40.5	36.9	42.3	2.4	2	3.1
10009_at	26.5	30.3	33.4	19.8	31	17
10010_at	642.7	671.7	804.1	994.1	943	750.6
10011_at	14	16.3	20.3	2	3.1	1.4
10012_at	92	99.1	111.5	73.4	68.8	58.6
10013_at	100.6	101	123.7	75.3	70.8	82.7
10014_at	338	377.2	419.7	238.9	224.4	216.3
10015_at	1411.8	1402	1659.8	3796.7	3840	3367
10016_at	873.4	919	1087	1248.4	1145.8	1170.2
10017_at	5.3	7.1	12.8	2.5	2.2	9.4
10018_at	5941.6	6267	6998.1	11720.6	11819.3	10192
10019_at	2693.5	2755	3340.7	3079	3011.5	3109.4
10020_at	332.2	353.6	412	431	421.7	398.3
10021_at	42.1	38.3	52	59.4	52.3	45.2
10022_at	0.6	0.5	0.7	0.7	0.8	1
10023_at	12.2	2.1	1.5	3.2	3	3.2
10024_at	280	269.3	287.8	216.2	218.8	194.1
10025_at	96.3	115.5	112.5	99.2	104.5	111.3
10026_at	30.7	25.2	30.1	2.7	2.3	3.1
10027_at	49.8	48.9	59.8	18.9	29.6	20.5
10028_at	44	46.3	67.1	85.6	101.7	114.3
10029_at	279.6	301.4	326.9	276.5	316.3	320.6
10030_at	47.9	47.5	62.2	67.2	61.3	72.4
10031_at	253.9	313.3	323.3	330.8	349.6	384.9
10032_at	148.9	149.2	169.8	149.7	154.1	150.4
10033_at	166.2	188.6	240.2	78	83	61.2
10034_at	501.9	547.1	586.7	505.8	514.5	534.2
10035_at	218	271	278.3	332.3	310.8	303.1
10036_at	231.4	211.3	256.8	210.5	166.2	158.4
10037_at	35.7	21.9	43.6	49.5	45.9	52.9
10038_i_at	511.9	543.2	558.4	380	393.7	383.3
10039_s_at	69.1	66	75.8	28.9	31.2	45.2
10040_at	97.4	89.1	101.2	35.4	28.1	44.3
10041_at	31.8	31.1	46.8	11	13.9	12.9
10042_at	39.9	48	48	41.9	45.4	42.8
10043_at	100.8	134.6	149.3	60.4	65.1	65
10044_at	304.6	342.6	389.1	587.6	577.7	554.2
10045_at	8539.5	8864.4	9171.8	8483.5	8067.2	8118.6
10046_at	58.7	50.4	56.2	39.7	35.6	44.4
10047_f_at	9574.1	9210.7	10408.3	9799.1	10195	10866.7
