ID_REF	GSM488119	GSM488121	GSM488123	GSM488125	GSM488127	GSM488129	GSM488111	GSM488113	GSM488115	GSM488117	GSM488131	GSM488120	GSM488122	GSM488124	GSM488126	GSM488128	GSM488130	GSM488112	GSM488114	GSM488116	GSM488118	GSM488132
1007_s_at	1973.37	1123.94	1682.65	1096.54	1025.22	994.826	1533.97	2799.48	1110.62	1984.67	1075.44	2426.79	1027.24	1143.15	845.999	1369.03	1436.45	1730.89	2667.36	1908.45	3193.82	1071.97
1053_at	12.3809	41.2871	54.239	35.065	53.8049	68.1772	68.8322	50.6703	12.8031	36.5524	30.7622	25.1762	12.346	12.1551	24.447	13.2867	43.4267	87.1726	61.0882	18.3784	37.2978	50.3314
117_at	64.056	53.53	152.528	104.573	179.662	148.551	76.1491	76.0637	159.827	52.0316	922.574	32.6988	1077.53	94.1169	116.627	118.07	14.2801	16.2177	136.644	81.3049	83.1065	65.8554
121_at	513.681	794.84	281.889	356.847	454.001	702.092	413.467	657.53	370.221	324.201	334.024	710.554	261.288	356.642	371.539	335.392	273.86	520.012	661.465	299.771	132.609	230.742
1255_g_at	131.407	57.2672	11.8935	75.4314	23.8616	24.2005	65.4845	3.40104	54.6576	46.5868	38.2389	233.832	48.3409	100.241	111.663	24.7426	57.0894	34.23	10.2024	40.7642	13.5292	41.3339
1294_at	237.629	180.835	74.1605	30.1865	221.897	166.735	187.62	223.803	136.725	128.136	175.755	454.15	157.256	170.197	200.758	185.089	67.8819	134.973	197.93	110.02	180.077	259.083
1316_at	156.055	428.396	87.4152	191.013	423.341	620.62	137.362	246.65	180.738	133.287	88.6084	353.625	80.4692	121.327	175.71	109.207	106.778	91.4009	205.736	162.689	126.466	57.7347
1320_at	52.4524	27.6232	14.8872	16.151	26.4874	244.597	5.50553	9.44628	11.7049	5.65437	28.5264	37.4914	39.0204	8.24565	270.762	13.9837	5.95944	12.3885	13.1126	8.62729	6.99148	3.33121
1405_i_at	58.0743	23.8274	22.1775	6.95494	24.3453	14.5042	47.4173	292.509	34.5423	1.97447	29.1382	39.1495	4.732	5.0019	5.2173	4.0233	30.8025	88.3672	106.161	27.9829	50.1132	34.6732
1431_at	108.57	19.8507	56.3695	41.1087	108.798	166.186	44.3709	10.3545	28.5559	27.974	24.3065	136.293	49.2601	17.2706	69.3741	25.6291	62.2738	111.791	55.8138	24.8863	61.5677	96.6201
1438_at	38.9514	37.4161	22.6871	13.172	52.6556	27.708	7.61508	10.2374	15.5669	23.7424	28.2305	25.2833	14.3668	17.1324	13.759	35.5924	4.36767	22.9408	15.1599	9.72523	10.6509	8.23919
1487_at	345.949	198.934	330.92	318.961	133.543	66.4116	301.845	629.191	227.881	363.012	341.952	121.454	346.516	287.443	58.7611	37.5048	192.219	262.677	464.973	258.927	256.683	358.146
1494_f_at	83.51	356.784	94.9252	32.3628	152.714	255.446	157.471	205.09	75.4967	41.946	51.6448	188.301	40.247	96.0246	42.0246	205.038	26.4876	18.9003	229.202	41.5406	24.3569	49.0163
1598_g_at	1444.02	757.056	670.806	371.065	69.1617	748.267	741.938	1571.83	624.913	773.917	809.843	997.842	718.257	462.239	346.044	343.354	616.997	681.422	1458.71	735.426	421.376	996.161
160020_at	174.835	392.144	152.158	60.9922	406.735	529.978	180.275	391.678	156.69	181.972	93.1982	597.396	110.01	229.52	45.8266	170.292	75.1334	247.07	313.339	89.228	108.699	90.5476
