ID_REF	GSM677582	GSM677583	GSM677584	GSM677585	GSM677586	GSM677587	GSM677588	GSM677589	GSM677590
171720_x_at	330.752	658.399	415.109	535.793	488.235	608.787	398.591	379.674	494.569
171721_x_at	738.214	1303.19	953.745	1314.64	1153	1301.75	962.848	1022.65	1254.2
171722_x_at	1391.69	2744.06	1767.65	2130.13	2072.2	2328.57	1640.27	1944.61	2015.34
171723_x_at	12105.7	18384	14836.4	17083.3	16589.3	17093.2	16096.3	16077.3	18578.7
171724_x_at	1629.99	3407.55	2226.51	2769.93	2580.33	3826.47	2766.28	2611.52	2945.73
171725_x_at	8955.16	12020.7	6296.81	11499.2	8712.87	7020.79	10244	10263.2	7417.62
171726_x_at	69.713	173.924	90.7298	123.67	142.782	156.173	81.6618	119.234	122.747
171727_x_at	4.87347	1.00934	6.63062	19.8997	1.37299	8.77951	15.3802	12.3444	14.5396
171728_x_at	63.857	111.605	30.2096	105.629	104.693	67.9162	73.5225	49.1465	41.173
171729_x_at	728.802	1597.91	932.147	1053.22	1112.59	1323.85	881.721	872.279	1136.35
171730_x_at	null	null	null	null	null	null	null	null	null
171731_x_at	886.071	2175.14	1168.35	1670	1660.53	1871.02	1231.1	1610.65	1858.27
171732_x_at	958.916	1858.5	1282.58	1542.97	1517.11	1644.81	1352.33	1429	1163.68
171733_x_at	8.31467	18.8309	30.2577	25.4579	20.0141	31.497	29.5045	25.1771	34.2991
171734_x_at	4085.87	7716.25	4868.29	6507.36	6337.12	6727.97	5596.96	6395.08	6396.08
171735_x_at	1373.83	2388.57	797.663	2270.39	1471.65	961.509	2253.05	2267.48	1142.22
171736_x_at	66.5871	181.109	135.935	136.624	150.581	182.677	156.461	197.713	206.148
171737_x_at	770.789	1276.91	662.2	1200.2	964.465	1064.22	567.743	674.879	722.271
171738_x_at	245.761	674.981	270.82	599.177	477.014	424.522	472.402	696.686	408.74
171739_x_at	30.4618	136.937	9.04438	13.2159	2.92056	51.9666	58.5326	67.4033	68.2439
171740_x_at	217.847	437.396	197.442	242.252	263.459	232.815	181.594	212.755	190.873
171741_x_at	9493.88	14691.2	11450.1	12680.7	12986.3	13603.6	10965.9	11680.7	12408.8
171742_x_at	101.58	162.738	130.34	100.264	122.033	158.923	123.98	159.774	302.91
171743_x_at	1138.31	2133.28	1352.22	1568.08	1568.64	1720.45	1240.51	1443.17	1535.2
171744_x_at	103.938	284.532	120.514	196.459	195.528	262.308	161.082	133.707	228.541
171745_x_at	8.46547	38.061	29.2356	40.6731	30.6448	47.82	20.1796	31.5822	44.6443
171746_x_at	415.119	897.121	417.328	585.798	568.131	699.11	569.687	754.571	616.256
171747_x_at	null	null	null	null	null	null	null	null	4.56257
171748_x_at	4340.02	7906.4	5087.42	6715.87	5436.87	6781.21	5130.6	5618.53	6548.67
171749_x_at	26.7164	65.8496	43.7712	56.3745	10.633	54.956	50.1407	37.7463	62.7762
171750_x_at	47.8018	116.348	40.9126	73.2358	77.5966	69.6694	51.0862	82.5151	76.2238
171751_x_at	379.266	802.281	698.516	857.071	817.893	901.898	667.775	759.79	630.399
171752_x_at	87.9947	241.066	101.219	171.137	160.981	148.094	116.212	151.879	154.844
171753_x_at	182.918	411.616	183.78	289.218	212.451	251.788	204.881	257.081	285.929
171754_x_at	58.0911	144.958	44.3349	85.7587	58.5541	59.4684	76.548	94.764	55.8322
171755_x_at	362.529	979.718	500.095	694.169	650.042	795.878	469.819	638.272	771.794
171756_x_at	6299.88	9307.54	4037.85	9073.48	6704.61	4502.3	9552.9	9310.22	5717.83
171757_x_at	397.519	991.366	515.895	721.929	693.954	831.852	538.051	673.68	783.128
171758_x_at	74.9809	151.57	7.61603	200.326	104.108	52.8102	132.021	107.731	83.0183
171759_x_at	677.132	1781.26	1005.9	1281.18	1269.05	1473.2	948.123	1286.77	1576.87
171760_x_at	760	1409.22	989.28	1110.87	1099.07	1328.94	909.82	1056.47	1169.01
171761_x_at	1504.13	3489.07	1848.39	2305.11	2140.58	2493.48	1772.01	2050.88	2682.3
171762_x_at	204.302	501.911	273.024	384.273	366.396	463.742	261.018	324.214	352.313
171763_x_at	null	null	null	null	null	null	3.72255	3.10993	null
171764_x_at	214.013	426.282	206.656	263.629	247.923	254.507	212.906	211.848	183.035
171765_x_at	220.646	404.943	306.647	372.261	309.962	419.329	269.725	255.99	343.32
171766_x_at	129.143	218.305	187.75	261.546	286.425	236.012	419.898	419.805	429.404
171767_x_at	15.7874	null	null	null	8.44933	549.685	0.76394	8.36789	null
171768_x_at	5321.14	8690.84	3734.4	7852.75	6050.66	4672.85	7397.3	7982.23	5158.01
171769_x_at	246.119	432.667	196.716	409.698	313.173	194.444	213.654	206.591	94.4656
171770_x_at	7468.21	9808.25	4959.09	9891.77	7262.09	5149.85	9635.59	10275.9	6397.36
171771_x_at	319.191	1054.68	515.877	738.775	732.305	818.031	523.213	701.545	887.941
171772_x_at	233.158	502.466	268.942	443.044	409.263	370.324	348.541	550.021	411.089
171773_x_at	521.514	1074.17	608.276	1023.34	913.859	1031.67	726.432	790.393	815.823
171774_x_at	8.8705	34.6849	5.34552	10.3074	null	null	0.71874	null	null
171775_x_at	44.9445	68.8849	23.4001	56.6945	44.0966	36.4887	52.0111	37.038	70.0667
171776_x_at	8174.32	12565.5	9727.69	8491.48	8516.9	11304	9598.26	10502.1	11125.2
171777_x_at	386.058	1191.6	545.94	706.287	710.911	1179.54	561.08	668.716	986.293
171778_x_at	56.0196	145.86	84.2442	116.139	128.442	149.401	112.265	130.159	117.865
171779_x_at	36.8837	91.8944	49.8881	79.1052	68.5845	71.0658	57.0104	61.6426	55.1489
171780_x_at	408.603	986.536	500.208	660	542.994	678.217	489.52	779.937	604.453
171781_x_at	747.093	2238	1064.68	1614.26	1553.2	1828.02	1108.72	1474.63	1791.34
171782_x_at	32.636	112.084	45.6952	92.2489	57.4336	58.2174	104.006	94.824	112.806
171783_x_at	30.1917	121.701	28.0501	73.7239	67.0938	89.585	56.2032	57.8954	66.7101
171784_x_at	1828.5	3416.3	2478.85	2618.61	3098.74	2907.56	2436.95	2625	2988.42
171785_x_at	673.432	1458.84	812.333	1318.39	1046.66	1139.19	777.452	943.205	1019.83
171786_x_at	8170.88	12421.7	8965.42	11004	11077.1	11027.7	8969.8	9864.98	10641
171787_x_at	139.489	295.53	189.285	239.97	218.482	247.421	209.139	244.381	259.553
171788_x_at	26.1061	22.1111	27.3484	42.5023	34.4814	36.9721	19.267	0.79234	6.61419
171789_x_at	12608.4	18026.5	13630.7	16458.2	15615.6	15016.2	14489	14739.2	15832.7
171790_x_at	8.18891	18.5364	11.7846	19.6082	11.2682	21.4383	16.751	22.1901	24.2413
171791_at	148.552	330.118	139.565	228.043	218.108	229.807	156.016	166.931	182.552
171792_x_at	90.9929	202.595	90.8441	155.232	122.848	122.493	90.7895	161.916	124.966
171793_x_at	30.1779	58.8863	44.2583	48.1836	55.7362	69.212	38.2684	57.1069	36.8693
171794_x_at	3.94373	21.8594	22.9678	22.1613	3.74934	null	7.80076	3.28714	23.3337
171795_x_at	16.8158	3.97031	21.2786	50.7474	54.04	17.8137	29.4097	39.7662	34.2241
171796_x_at	24.7122	49.456	26.4237	49.6389	54.4765	43.1059	37.2886	29.1992	23.4848
171797_x_at	10671.3	16303.5	11785.2	14422.3	14065.3	13409.2	12382.2	13260.9	13979.5
171798_x_at	13988	20351.5	16120.9	17995.4	17484.9	17486.4	15563	16564.6	17272.5
171799_x_at	2572.12	4734.41	2984.98	2933.44	2977.79	3653.39	2457.18	2886.66	3115.88
171800_x_at	12387	18292.6	13731.2	16188	15706	15903.9	13918.3	15015.4	15941.1
171801_s_at	8.23513	3.27304	null	13.5447	13.5741	0.40136	null	6.42264	null
171802_s_at	246.234	803.733	321.146	586.008	560.483	796.333	351.218	483.365	585.026
171803_x_at	199.05	449.733	252.947	344.816	352.058	405.587	239.174	265.634	334.893
171804_x_at	1101.93	2439.52	1401.95	1814.95	1792.97	1849.38	1536.94	1781.78	2037.71
171805_x_at	346.8	626.473	382.629	629.366	575.017	631.654	369.576	465.82	460.56
171806_x_at	1171.72	2343.47	1779.93	1927.59	1819.83	2112.71	1430.85	1688.4	1686.35
171807_x_at	78.1017	48.6972	45.8601	109.529	96.3129	94.1836	34.31	60.7213	72.6743
171808_x_at	12.7532	124.677	31.1753	55.8184	51.2072	56.1287	51.5332	26.1914	39.6465
171809_s_at	2322.47	3905.63	2834.91	3314.37	3353.86	4203.51	2633.55	2906.97	3183.46
171810_x_at	0.87174	13.0081	8.00433	30.9096	13.6633	7.42891	6.37909	9.39556	5.83439
171811_s_at	351.226	563.865	189.068	440.378	336.966	236.931	388.067	364.725	239.855
171812_x_at	30.8926	60.849	20.2941	14.3466	32.0952	36.7741	30.3846	38.988	53.4092
171813_x_at	674.662	1564.67	872.845	1236.7	1119.03	1408.62	912.695	1169.03	875.817
171814_x_at	1066.52	2313.02	1446.32	1693.88	1537.69	2012.29	1482.29	1868.43	2036
171815_x_at	26.1026	62.8448	27.8937	39.1537	58.0317	41.4609	24.4126	56.2021	48.2137
171816_x_at	205.016	542.143	288.509	346.069	364.457	429.488	278.801	363.86	388.456
171817_x_at	1909.71	3860.33	2447.54	3102.19	3130.06	3316.64	2921.91	3280.27	3446.02
171818_x_at	48.3989	62.5468	47.0436	28.1191	31.4517	90.8739	51.885	58.7726	62.0252
171819_x_at	100.669	237.439	125.128	165.419	97.9654	216.682	128.46	176.012	110.409
171820_x_at	297.319	377.286	301.759	336.031	396.438	367.146	483.344	402.708	414.082
171821_x_at	63.9565	160.05	96.1378	129.158	122.087	141.93	122.888	143.321	142.24
171822_x_at	4530.63	8438.81	5888.84	6445.74	6263.4	7292.42	6355.9	7090.04	7768.11
171823_x_at	299.194	618.081	391.518	534.629	524.598	584.73	302.167	424.345	517.025
171824_x_at	867.864	1832.78	969.045	1014.22	1159.07	1188.24	559.285	691.479	743.74
171825_at	8.34865	null	12.5145	null	14.9483	6.43845	11.1152	4.65973	6.63651
171826_x_at	2550.82	4498.42	2960.57	3719.89	3732.45	3637.24	3179.45	3319.13	3649.03
171827_x_at	310.578	727.908	279.835	545.094	457.395	427.403	317.277	494.345	312.739
171828_x_at	1014.71	2331.29	1232.26	1516.37	1583.13	1899.18	1371.2	1712.77	2013.31
171829_x_at	460.552	1029.29	590.949	819.422	732.323	860.691	850.627	919.938	912.102
