ID_REF	GSM1151351	GSM1151352	GSM1151353	GSM1151354	GSM1151355	GSM1151356	GSM1151357	GSM1151358
1415670_at	0.130443	-0.0157061	0.0763741	-0.189027	0.0157061	0.10378	-0.272706	-0.0607939
1415671_at	0.000526	0.0824327	-0.0169172	0.0161629	0.0279856	-0.000526	-0.625377	-0.0960178
1415672_at	-0.027257	0.115374	-0.00718117	-0.131948	0.0508404	0.00718117	0.0386848	-0.13781
1415673_at	0.144612	-0.0203838	0.00172138	-0.0566502	-0.0301852	0.0833282	0.0401478	-0.00172138
1415674_a_at	-0.0200615	-0.108404	0.0488558	-0.111213	0.0200615	0.0205536	0.318478	-0.189875
1415675_at	0.0494976	0.00786209	-0.00786209	0.0641708	-0.0700073	-0.0621777	0.0598497	-0.0558815
1415676_a_at	0.000382	0.0495243	-0.000382	-0.0495815	0.0131226	-0.0834074	0.0369396	-0.0756483
1415677_at	0.0451536	0.067029	-0.0407724	0.0782585	0.0217752	-0.0217752	-0.0611238	-0.0624475
1415678_at	-0.0522099	0.0162573	0.00488854	0.00463486	-0.0233278	0.0353975	-0.00463486	-0.0659971
1415679_at	-0.0439072	0.0390825	-0.0309229	-0.136824	0.0589848	0.0272598	0.181259	-0.0272598
1415680_at	-0.0427732	0.0141802	0.0139441	-0.00492811	-0.00162315	0.00162268	-0.0210867	0.0339317
1415681_at	0.107427	0.0380182	0.0240822	-0.114745	0.0863876	-0.0346813	-0.0240822	-0.0902061
1415682_at	0.0478334	0.0105639	-0.0105643	-0.0544033	-0.0628734	0.153172	-0.135478	0.0510144
1415683_at	0.014823	0.0118608	-0.0344849	-0.0832472	-0.012742	0.0394564	0.145365	-0.0118608
1415684_at	-0.0376501	-0.0509486	-0.0930152	-0.309863	0.0391908	0.109902	0.289895	0.0376506
1415685_at	-0.0199566	-0.0445957	0.0433559	-0.334314	0.0199566	0.111293	-0.249592	0.0459194
1415686_at	0.00774479	0.00224686	-0.00224686	0.00864029	-0.0528164	0.0104942	-0.0530329	-0.0291662
1415687_a_at	-0.691909	0.0342636	0.0105276	0.00876713	-0.00876713	-0.147558	-0.243208	0.031951
1415688_at	0.123365	-0.00221062	-0.00408745	0.0842667	-0.0689821	-0.0841646	0.00221062	0.0158615
1415689_s_at	0.199125	-0.00784492	-0.195718	-0.261119	0.0304985	0.00808621	-0.534339	0.00784492
1415690_at	0.0261555	-0.023798	0.068718	-0.0568943	0.130875	-0.0103683	0.0103683	-0.115347
1415691_at	0.0160556	-0.0527205	0.0105381	-0.125792	-0.0105381	-0.0334721	0.157095	0.0875864
1415692_s_at	-0.10578	-0.160225	-0.0231218	0.319377	0.0231218	0.19142	-0.119686	0.0458755
1415693_at	0.0975227	0.0142841	-0.175824	-0.0495076	0.0603609	-0.0142846	-0.273748	0.0882249
1415694_at	-0.0138693	0.0932975	0.0414472	0.0105505	-0.01055	0.0533791	-0.3897	-0.034637
1415695_at	0.145485	-0.110297	0.000326	-0.133702	0.120664	-0.000326	0.147992	-0.0199451
1415696_at	0.069109	-0.00221825	-0.0470867	-0.0799847	0.0826168	0.00221825	-0.103184	0.0236492
1415697_at	0.088212	-0.0173845	-0.00455284	-0.0036211	0.0036211	0.124467	0.180873	-0.0831909
1415698_at	-0.0130711	-0.0886469	-0.0618505	0.131591	0.0130711	0.0229473	-0.0625	0.0666208
1415699_a_at	0.0149794	-0.0448494	0.02211	-0.0149794	0.0188808	0.0406895	-0.140117	-0.0907421
1415700_a_at	0.0291948	0.0752411	-0.0477591	-0.132264	0.0300035	0.0533628	-0.0306349	-0.0291948
1415701_x_at	-0.00461006	0.0157452	-0.0978441	-0.0807867	0.0324593	-0.0611153	0.0845098	0.00461101
1415702_a_at	-0.0788088	0.0485659	-0.0485659	0.0562925	-0.055521	0.117254	-0.145189	0.147297
1415703_at	0.00704956	-0.092207	-0.0419178	0.00653839	0.0362606	0.000641	-0.116922	-0.000641
1415704_a_at	0.221656	-0.0116749	0.0116749	0.23305	0.0346336	-0.0759239	-0.420187	-0.0210304
1415705_at	0.0307121	-0.0213528	0.0792961	-0.0846806	-0.067687	0.131585	-0.133173	0.0213528
1415706_at	0.0329466	-0.00250244	-0.0747128	-0.0753288	0.0159369	0.0977173	-0.0163155	0.00250244
1415707_at	-0.0827503	0.0674343	-0.00444794	0.146818	0.00444794	-0.0483322	-0.171803	0.0228872
1415708_at	-0.00724506	-0.0719051	0.00724506	-0.0386095	-0.0484419	0.0759935	0.0697575	0.04002
1415709_s_at	0.0196667	-0.00301266	-0.0330334	-0.024642	0.00301266	0.0162268	-0.0422883	0.0196276
1415710_at	0.0465126	0.0997648	0.0156059	-0.0371227	0.0330734	-0.137939	-0.21956	-0.0156059
1415711_at	0.00634766	-0.00522804	0.0256748	-0.121061	-0.0543041	-0.0241432	0.123075	0.00522804
1415712_at	-0.0422649	0.190475	0.0628433	-0.0619621	0.0422649	0.0757446	-0.226439	-0.182503
1415713_a_at	0.0443478	-0.155595	0.109365	0.0683575	0.0136538	-0.0136538	-0.311224	-0.094471
1415714_a_at	-0.023016	0.00631142	0.103624	-0.111414	0.0650978	-0.0318956	0.0891113	-0.00631142
1415715_at	0.10389	0.0441747	-0.0441747	-0.29818	-0.176412	-0.0596561	0.13857	0.0532842
1415716_a_at	0.00590801	-0.0338869	0.029314	0.0616083	0.00958824	-0.00949097	-0.00590706	-0.01548
1415717_at	0.0108643	-0.0587921	-0.00310516	0.0332537	0.0999689	0.00310516	-0.249467	-0.173275
1415718_at	0.31284	0.138112	0.110059	-0.0859537	-0.00894928	0.00894928	-0.0188665	-0.0865707
1415719_s_at	0.0292158	0.159056	0.00579929	-0.0631762	-0.00579929	0.0113363	-0.101497	-0.0824614
1415720_s_at	0.0954294	-0.0119562	-0.0246458	-0.231277	-0.0643797	0.0559139	0.249144	0.0119562
1415721_a_at	0.149032	-0.0449362	0.0443993	-0.0204992	0.0204992	-0.0489378	-0.336042	0.0728741
1415722_a_at	0.00459385	-0.00459385	0.0154285	0.0780964	-0.0655251	-0.00705337	0.0486193	-0.0347986
1415723_at	-0.00434113	0.0772066	-0.00727654	-0.0543852	-0.0789671	0.0241213	0.011528	0.00434113
1415724_a_at	-0.277987	0.0134621	-0.256137	-0.332947	-0.0129271	0.0671797	0.0129271	0.0840034
1415725_at	-0.0171747	-0.0789924	0.0486155	0.0171747	-0.115252	0.0957651	0.225113	-0.0427856
1415726_at	0.0149479	0.0199766	0.02176	-0.126424	-0.0149479	-0.0531139	0.240591	-0.0915327
1415727_at	0.0127754	0.0394592	-0.0135717	0.0348692	0.00912476	-0.00912476	-0.0207777	-0.103171
1415728_at	-0.271918	0.039794	-3.15E-05	-0.0608511	3.15E-05	0.0469856	0.0256987	-0.0193815
