ID_REF	GSM572552	GSM572553	GSM572554	GSM572555	GSM572556	GSM572557	GSM572558	GSM572559	GSM572560	GSM572561	GSM572562	GSM572563	GSM572564	GSM572565	GSM572566
AFFX-BioB-3_at	7.977279923	7.788555215	7.375039431	7.292781749	7.364572432	7.740118043	7.87958325	7.54225805	7.508587112	7.533719071	7.822730148	8.262094845	7.92243574	7.474111514	7.449561375
AFFX-BioB-5_at	7.652486495	7.546122759	7.185866545	7.048759312	7.124121312	7.533719071	7.567575869	7.432124273	7.441284272	7.422064766	7.634448062	8.154818109	7.596935142	7.441284272	7.274261661
AFFX-BioB-M_at	8.241268177	8.206526016	7.774128144	7.656782364	7.793115555	8.1048608	8.33583694	7.976707312	7.92421868	8.095397023	8.300123725	8.696619847	8.393604969	7.920055055	8.004501392
AFFX-BioC-3_at	9.04220656	8.936932337	8.581953751	8.386724741	8.54689446	8.773139207	8.966649642	8.793440743	8.616548844	8.7478573	8.851749041	9.424586226	9.012624539	8.667466405	8.779062689
AFFX-BioC-5_at	8.932214752	8.819221104	8.425006041	8.273329387	8.4325419	8.687550651	8.84862294	8.596562497	8.507398241	8.630449157	8.799929151	9.242935895	8.902676587	8.551131453	8.62497818
AFFX-BioDn-3_at	11.94251451	11.86341196	11.79806672	11.65015421	11.76694294	11.72067179	11.91101741	11.77107674	11.67154107	11.85992297	11.74104558	12.06810648	11.95019135	11.80372753	11.8761332
AFFX-BioDn-5_at	10.06474276	10.00422047	9.685274416	9.458611673	9.745674324	9.865887892	10.02375435	9.875134981	9.673132372	9.843292973	9.894363061	10.37503943	10.027906	9.824958741	9.87682387
AFFX-CreX-3_at	13.39620338	13.36877926	13.31189019	13.19429517	13.38572761	13.25133446	13.40087944	13.37164053	13.30092449	13.39231742	13.203348	13.42193332	13.36864287	13.34512799	13.33636708
AFFX-CreX-5_at	13.08563843	13.04627141	12.95873395	12.82853321	13.03290668	12.97028568	13.01611184	12.98601977	12.91363743	13.0225412	12.88206983	13.10476254	13.02980485	13.03994716	12.98779693
AFFX-DapX-3_at	10.70908381	10.32305476	10.70043972	10.41362793	10.57553925	10.68999797	10.99647349	10.94617524	10.76735685	10.6617781	10.90839262	10.98085361	11.10328781	10.70563239	10.4604559
AFFX-DapX-5_at	9.441284272	9.050664938	9.282393469	8.912589991	9.246027981	9.436086864	9.841407097	9.650333754	9.48723711	9.345405247	9.84862294	9.830356747	9.914086097	9.452035274	9.119719295
AFFX-DapX-M_at	10.10459875	9.724684374	10.06877828	9.792790294	9.942367883	10.06474276	10.50680344	10.34540525	10.17492568	10.10197567	10.41045135	10.46964182	10.62570884	10.17367714	9.988684687
AFFX-LysX-3_at	7.964052011	7.672425342	7.760220946	7.396604781	7.655351829	7.894211462	8.201143732	8.007307647	7.803485376	7.615445725	8.401306206	8.423326047	8.506208389	7.791814071	7.619853147
