ID_REF	GSM1356346	GSM1356347	GSM1356348	GSM1356331	GSM1356332	GSM1356333	GSM1356343	GSM1356344	GSM1356345	GSM1356325	GSM1356326	GSM1356327
1759068_at	4.99969	5.13591	5.11501	4.86	5.23514	5.4447	4.94036	5.04713	4.66367	4.99597	5.31	5.3174
1759069_at	10.2853	10.4376	10.3047	10.9366	11.0014	10.8532	10.5443	10.4749	10.5038	11.1559	11.2272	11.0005
1759070_s_at	8.2212	8.3662	8.2061	8.3629	8.53638	8.49127	8.2212	8.26984	8.21546	8.45949	8.38935	8.29727
1759071_s_at	6.87471	6.72984	6.91805	7.7072	7.15769	7.32674	6.66491	6.85638	6.94439	7.51116	7.00935	6.8614
1759072_s_at	5.12228	5.36521	4.96987	5.36781	5.52521	5.71836	4.77094	4.92418	4.51602	4.91331	5.39365	5.4468
1759073_at	6.4983	6.37183	6.80528	6.68108	6.81607	6.88667	6.75924	6.81133	6.60416	6.76541	6.55194	6.31889
1759074_at	6.02511	5.83338	6.20638	6.66621	6.39449	6.67007	5.54222	5.9021	5.84745	6.30017	5.2316	5.11888
1759075_at	8.37725	8.36509	8.56904	7.67686	7.93728	7.86937	9.70764	9.30066	9.31821	8.6487	8.50873	8.51531
1759076_s_at	5.76224	5.34359	6.18317	5.45807	5.70801	5.11802	6.2664	6.53018	6.39632	6.47815	6.00279	6.32018
1759077_s_at	3.63319	3.5225	3.52106	3.72302	3.55352	3.32366	3.47728	3.23666	3.76458	3.15568	3.60373	3.39439
1759078_at	3.23967	3.47733	3.40562	3.13631	3.21171	3.35117	3.57652	3.25271	3.31454	3.24821	3.66758	3.44215
1759079_at	5.95174	6.021	5.97192	6.20223	5.92452	6.34004	6.05176	5.943	5.85245	5.90623	5.89931	6.34027
1759080_s_at	5.33522	5.23908	5.20391	5.55895	5.34274	5.60112	5.49272	5.26832	5.10077	5.23026	5.67588	5.66154
1759081_s_at	5.489	5.00743	5.51346	5.83584	5.42118	5.64132	5.54514	5.91615	5.68395	6.27467	5.51535	5.56198
1759082_s_at	7.53263	7.42046	7.6048	7.80194	7.40163	7.65883	8.0421	7.87098	8.13927	7.98991	8.14595	8.10857
1759083_at	11.3875	11.5563	11.5281	11.4431	11.5119	11.4309	11.829	11.6204	11.7079	11.5064	11.4749	11.376
1759084_s_at	10.4786	10.2496	10.5886	8.35235	8.31831	8.24182	11.2484	11.0359	11.4479	9.21329	9.07728	9.1904
1759085_at	6.40115	6.57971	6.43012	6.41489	6.53701	6.72981	6.54828	6.52782	6.34227	6.47798	6.86277	6.72981
1759086_s_at	4.1137	3.81751	4.08469	4.37532	4.46864	4.50611	3.95381	4.65481	4.5397	5.05715	3.93948	3.70801
1759087_s_at	6.20927	6.29197	5.90072	6.40343	6.39055	6.71841	6.07725	6.20246	6.4085	6.19079	6.32455	6.62656
1759088_s_at	9.6649	9.63897	9.811	9.22644	9.96746	9.43187	10.0768	10.292	10.0975	10.2948	10.8046	10.9326
1759089_s_at	6.48193	6.3777	6.79635	6.56395	6.51677	6.31428	6.87927	6.73321	6.60198	6.93257	6.78029	6.86315
1759090_at	3.46283	3.46953	3.56258	3.66679	3.55173	3.55449	3.61648	3.16629	3.57701	3.19458	3.70226	3.76277
1759091_at	5.82973	5.88684	6.06157	6.29338	5.78245	6.49356	5.87648	6.59408	6.40014	6.86885	6.10868	6.05274
1759092_s_at	8.18272	7.89254	7.95347	8.52497	8.32309	8.5025	7.80218	8.43029	8.13427	8.55702	8.03429	7.92382
1759093_s_at	5.66695	5.59373	5.78753	5.52228	5.596	5.82119	5.33981	5.50403	5.82382	5.65552	6.02272	5.98638
1759094_s_at	5.27794	5.20025	5.26537	5.48842	5.23179	5.58048	5.20304	5.26709	5.20934	4.92384	5.0648	5.20879
1759095_s_at	7.64788	7.51695	7.60288	6.76167	6.97053	6.66783	7.15835	7.4982	7.44289	7.00461	6.359	6.46503
1759096_at	4.61421	4.7605	4.50891	4.31322	4.74946	4.41097	4.60934	4.52442	4.6333	4.56403	4.87183	4.79946
1759097_at	8.55814	8.39392	8.23113	7.72172	7.86663	8.4795	8.24581	8.39361	8.20512	8.15341	8.10454	8.0647
1759098_s_at	7.05827	6.88011	6.82981	7.19424	6.7323	6.70651	6.28221	6.40086	6.5488	6.18873	5.87287	5.95618
1759099_at	3.91437	3.99875	3.8286	3.91437	3.53975	3.52951	4.0124	3.59547	3.52518	3.79982	3.50922	3.80727
1759100_s_at	6.69694	6.97801	6.67688	7.66998	7.59175	6.8518	6.46457	6.15991	6.51078	6.74012	6.82458	7.02851
1759101_s_at	4.70394	4.72104	4.59497	4.2767	4.74842	4.85217	4.59168	4.74597	4.53544	4.75672	4.64637	4.58591
1759102_s_at	11.9798	12.0255	12.0631	12.0401	12.0694	11.9414	11.6716	11.8259	11.7665	11.3937	11.4326	11.3977
1759103_s_at	6.47611	6.49112	6.20885	7.64114	6.6429	7.64052	5.58899	6.47611	6.04067	6.06248	5.39841	5.62712
1759104_at	6.02401	6.00731	5.92421	6.32402	5.90431	6.39758	5.64646	5.76474	5.82789	5.90681	5.70741	6.05274
1759105_s_at	10.7698	10.833	10.828	10.2373	10.66	10.6737	10.8804	10.8328	10.9271	10.5502	10.6499	10.5371
1759106_s_at	12.2906	12.2839	12.3346	11.9508	12.0108	11.9243	12.2884	12.471	12.4223	12.1472	12.2148	12.2622
1759107_s_at	9.76015	9.6694	9.68001	10.3171	10.127	10.0827	9.55987	9.44064	9.6138	10.1899	10.4992	10.3572
1759108_s_at	9.62251	9.64392	9.67268	9.77981	9.69804	9.59525	10.0945	9.91321	9.85253	10.5813	10.6115	10.4724
1759109_s_at	11.4036	11.3799	11.4774	11.557	11.549	11.6712	11.6269	11.7721	11.6658	11.9016	12.0875	12.0382
1759110_s_at	11.45	11.4635	11.2256	12.6171	12.339	12.6693	10.5799	10.6811	10.7533	11.1316	11.1116	11.0926
1759111_at	4.12851	4.04423	4.03757	4.10285	4.19409	4.11899	4.04112	3.83239	4.07187	4.13703	4.34475	4.28386
1759112_at	4.62892	4.54909	4.26418	4.46802	4.75581	4.68464	4.2897	4.21642	4.56895	4.20668	4.71509	4.7257
1759113_s_at	11.6136	11.6192	11.5605	10.9107	10.8409	10.6438	11.8975	11.7864	11.8456	11.5348	11.779	11.8004
1759114_s_at	8.65115	8.79755	8.7788	9.33636	9.29419	9.13053	8.3883	8.21578	8.42567	8.61205	8.77158	8.79498
1759115_s_at	6.39253	6.51852	6.45681	6.23481	6.39253	6.50834	6.67186	6.85047	6.92676	7.17202	6.2163	6.40451
1759116_at	4.99364	5.3724	4.91157	4.77418	4.67657	5.04122	4.75575	4.87562	4.8122	4.77994	5.03489	4.96627
1759117_s_at	8.43324	8.15898	8.21735	8.54592	8.2431	8.30809	8.53985	8.35349	8.42668	9.10169	9.55367	9.48938
1759118_s_at	3.94211	4.03106	3.95999	4.61464	4.43251	3.93119	4.15639	4.04812	3.91731	4.16152	4.00636	4.67053
1759119_s_at	6.19153	6.19519	6.48311	7.80118	7.71242	7.51455	6.33611	6.81027	6.52159	7.25042	5.87221	5.94429
1759120_s_at	4.35347	4.09927	4.33003	4.97158	4.61686	4.41739	4.60005	5.20368	4.56455	5.428	4.63036	4.30133
1759121_at	2.84694	2.95678	3.01633	3.07548	2.92318	2.87689	3.09428	2.78907	3.08095	2.80379	2.90124	3.05559
1759122_s_at	11.7682	11.7455	11.8201	11.6565	11.7539	11.5217	12.0641	12.0606	11.9579	12.2024	12.4677	12.2956
1759123_at	4.20547	4.29175	4.04202	4.20472	4.23495	4.72453	3.94457	4.38883	4.17147	3.88633	4.31476	4.15197
1759124_s_at	6.20101	6.32833	6.30097	6.45512	6.44269	6.59091	6.2506	6.67066	6.51012	6.81698	5.99621	6.24565
1759125_at	4.35848	4.40641	4.47955	4.45809	4.19557	4.29958	4.34797	3.97671	4.41522	4.01462	4.52526	4.48774
1759126_at	6.03653	6.02409	5.89925	5.40996	5.43211	5.65494	5.71112	5.71273	5.79368	5.79428	5.6418	5.69915
