ID_REF	GSM101531	GSM101532	GSM101533	GSM101534	GSM101535	GSM101536	GSM101537	GSM101538	GSM101539	GSM101540	GSM101541	GSM101542	GSM101543	GSM101544	GSM101545	GSM101546	GSM101547	GSM101548
141200_at	5.861268085	6.045466998	5.672057549	6.103323482	6.100935611	5.937238446	6.028158032	5.927958066	6.055588298	6.053991025	6.048299407	6.195821987	5.953025391	5.99516112	6.031465776	5.832684985	6.051208941	5.844159649
141201_at	8.001318111	7.957421315	7.911248161	7.996936659	7.919715487	7.896586708	8.041598924	8.099174203	8.046092658	8.086529031	7.926011283	8.027773329	7.991448151	7.997456136	7.981338944	8.008994384	8.000749331	8.023077888
141202_at	7.766250612	7.854980554	7.821952514	7.859578268	7.771700741	7.899520067	7.727600576	7.604946048	7.716064914	7.7086218	7.686871658	7.668884984	7.978498829	7.752092915	7.870352389	7.880091626	7.956765277	7.900836626
141203_at	6.724745757	6.772109992	6.5993907	6.897421961	6.272165062	6.815780343	6.677578712	6.320215682	6.971830915	6.671052715	6.648709898	6.800265751	6.794142898	6.62060547	6.98235477	6.789233664	6.822844845	6.810314561
141204_at	6.805795454	6.859770816	7.00565823	6.865560075	6.650003383	6.671222595	6.762893577	6.965230183	7.116624675	6.97912219	7.036821993	6.875681783	6.956625903	6.987354977	6.868810211	7.132463742	7.044831233	6.93597827
141205_at	7.441931596	7.545682704	7.521027174	7.317385478	7.320971993	7.518322685	7.365736274	7.396544846	7.460529616	7.500738328	7.451565559	7.364528661	7.544354007	7.226575962	7.304866926	7.531326871	7.508396959	7.426105378
141206_at	7.132700215	7.367213787	7.24058147	7.29964763	6.791748966	7.229847446	7.365963682	7.021335362	7.294878022	7.135083341	7.070872292	7.213755534	7.218277454	7.204756971	7.433410179	7.266777173	7.275752049	7.328342822
141207_at	6.753965486	6.798426438	6.820919271	6.827094955	6.49559284	6.752935873	6.721960446	6.560291559	6.64591777	6.718868467	6.608982178	6.718101287	6.676873858	6.680591602	6.795455272	6.816087659	6.726912938	6.906385564
141208_at	7.787190828	7.906066822	7.627803795	7.939367643	7.500555104	7.782211963	8.042972583	7.650929667	7.980442369	7.832617901	7.984794394	8.035601917	7.779863782	7.707580006	7.992422895	7.620886941	7.659146789	7.843537956
141209_at	8.445139032	8.37430486	8.398461537	8.443863542	8.296806108	8.397225392	8.525321128	8.455532718	8.386203087	8.379694599	8.386798016	8.385888278	8.425031227	8.455734077	8.491295948	8.443884257	8.518668891	8.47113461
141210_at	5.390120794	5.2646903	5.399629128	5.358674055	5.545909697	5.316486097	5.455014808	5.169460058	5.266943917	5.283188389	5.39840852	5.380507819	5.363051899	5.098120537	5.266985132	5.308353594	5.453698646	5.199943193
141211_at	7.59569759	7.561219198	7.641098007	7.510273628	7.553176161	7.599020177	7.619970495	7.628394503	7.547087321	7.704636844	7.493711373	7.573836505	7.61640181	7.571737477	7.537777506	7.657840048	7.606064626	7.677155841
141212_at	9.22793116	9.288956024	9.30605941	9.272786059	9.177743423	9.251179401	9.329412914	9.093745022	9.241022622	9.107685254	9.203130175	9.21777841	9.333479641	9.220075971	9.434988856	9.297429889	9.314293203	9.374148335
141213_at	8.873634819	8.996953601	9.021368678	8.593054922	8.98344399	9.108346723	8.809173246	8.745139831	8.654575169	8.448975264	8.652185304	8.479004152	8.749648231	8.455491621	8.242797786	8.432717268	8.403408337	8.596961224
141214_at	8.859947813	8.761717432	9.069296695	8.866543303	8.928180794	8.851930148	8.916312421	8.90455033	9.056914036	8.947636938	8.844771661	8.906749325	9.030628517	8.914026283	9.031326267	9.020749423	9.011557136	9.00649159
141215_at	8.766396393	8.791866153	8.674845483	8.6349163	8.468338937	8.757103275	8.570546418	8.864882557	8.699343408	8.779519104	8.781949786	8.76087294	8.759921463	8.723875925	8.750619903	8.790032389	8.68654955	8.694493705
141216_at	8.071419456	8.25734541	8.040158187	8.33811238	7.709014865	8.230380764	8.36805241	8.130323443	8.18377431	7.855478985	8.085536194	8.33277058	8.028055233	8.193648557	8.326056406	7.960783904	8.104934164	8.187505491
141217_at	9.785763043	9.808425275	9.724992967	9.79510618	9.641148597	9.777278332	9.87663512	9.857926582	9.865074398	9.821284499	9.818721168	9.887749151	9.825877828	9.873088778	10.01214961	9.833808807	9.840603279	9.907437514
141218_at	8.962922026	8.845618633	9.052201217	8.957200734	8.690238983	9.093171922	8.798792544	8.696623324	9.063176638	8.970364776	8.789905274	8.949330653	9.007789773	8.915096587	9.065249168	9.084465607	9.175721691	9.182103799
141219_at	6.178887898	6.133148379	6.02026883	6.255810388	6.09139307	6.203058211	6.355816208	6.267773606	6.21010633	6.243562459	6.354959864	6.229237973	6.163724136	6.149779631	6.334262557	6.241935496	6.235154539	6.202617538
141220_at	6.200584782	6.173916941	6.145469594	6.349765106	5.938967923	6.389244992	6.17828639	6.02376544	6.250275676	6.187039249	6.149045921	6.273827296	6.151467168	6.158147144	6.211072564	6.099495097	6.3199665	6.131087318
141221_at	6.291448849	6.026384008	6.333037246	6.081307668	6.242554873	6.11414419	5.72463663	5.953062651	6.00980175	6.090616348	5.885264415	6.151477316	6.12163919	6.268670182	6.279296706	6.181889694	6.362315582	6.070054378
141222_at	7.941341105	8.039270021	8.109720979	8.086911117	7.916016772	8.035370976	8.003990066	8.061587209	8.036860447	8.073397172	8.028381289	7.990625907	8.127772549	8.001897924	8.033874461	8.102894292	8.120865112	8.019006861
141223_at	4.567551532	4.469169659	4.428611418	4.31750668	4.408372204	4.255885904	4.417528505	4.506970007	4.412666376	4.462124321	4.522495222	4.463001148	4.483280511	4.488392894	4.257908251	4.466835907	4.296662968	4.312541749
141224_at	7.465803093	7.476568007	7.648120259	7.449899725	7.31152128	7.515416002	7.60010618	7.306563013	7.69259458	7.532496194	7.375856148	7.367519591	7.585923977	7.330002583	7.585593542	7.710455186	7.632718987	7.552246409
141225_at	7.842670907	7.913104826	7.687998471	7.828085695	7.686094274	7.746615088	7.772868779	7.856512679	7.666259515	7.824882389	7.733754281	7.887701941	7.587492511	7.730735046	7.714815613	7.70433943	7.601139355	7.661222286
141226_at	8.742238689	8.977328585	8.892673344	8.674460652	8.857906371	8.683766623	9.070759615	8.722650448	8.800605508	8.58658462	8.76517668	8.784036052	8.530402435	8.558654128	8.624225209	8.48685915	8.504922246	8.483110377
141227_at	7.574722182	7.689879197	7.689515828	7.642831512	7.436753178	7.550115709	7.66184934	7.690689461	7.574714614	7.648041143	7.680120373	7.579172604	7.640765514	7.647415253	7.646911466	7.594884403	7.663266334	7.530734052
141228_at	7.555524765	7.598700171	7.578055622	7.41378869	7.565604791	7.583752233	7.564401034	7.494103547	7.631337144	7.671031478	7.719498345	7.561089334	7.601406819	7.562341654	7.571873969	7.606086841	7.741210784	7.50681137
141229_at	7.159225511	7.088512656	7.105918982	7.223432204	7.133655993	7.215513586	7.238891925	7.096050967	7.091869055	7.154423212	7.027861775	7.113325443	7.151513847	7.084808388	7.263748063	7.079602115	6.976718766	7.224947078
141230_at	7.538553683	7.557785328	7.448801862	7.602795351	7.723606341	7.512313812	7.537039752	7.780821881	7.419993875	7.779364793	7.694949819	7.625723453	7.615578144	7.680000783	7.696272084	7.626431836	7.675695984	7.550223473
141231_at	8.476199395	8.557720243	8.567461787	8.532994817	8.522036127	8.45929636	8.667157679	8.402926781	8.629491411	8.369941894	8.537874551	8.418548384	8.480616542	8.357991784	8.438010008	8.459714392	8.439431984	8.385724378
