ID_REF	GSM106918	GSM122994	GSM123002	GSM123003	GSM123007	GSM123065	GSM123066	GSM123067	GSM123068	GSM123069	GSM123070	GSM123071	GSM123072	GSM123073	GSM123074
1616608_a_at	13.36355987	13.51934139	13.18424	13.45384935	13.20000967	13.11780541	13.62445279	12.88822954	13.6490765	13.61637654	13.176999	13.20901159	13.41764158	13.89983837	13.80167805
1622892_s_at	9.835260919	9.707876753	9.943686952	9.790674309	9.83904628	9.866969778	9.662134275	9.965351411	9.61526179	9.663913842	9.891935558	9.920352855	9.857980995	9.607330314	9.508389035
1622893_at	13.06425437	13.09500135	12.8023346	13.06445649	14.03093434	12.66431394	13.19928892	12.70841574	13.22969006	13.44877451	13.71094631	13.61357079	13.76678769	14.12335354	14.01357566
1622894_at	6.496654083	6.905687849	6.807354922	6.807354922	6.607330314	6.682292371	6.756222713	6.943686952	6.909293086	7.221103725	7.077883864	6.9795681	7.090641752	7.213347282	7.181897643
1622895_at	7.491051376	7.029011087	7.21916852	7.437960088	7.619853147	7.594697827	7.791814071	7.509379149	7.687900522	7.551516018	7.67030217	7.800252806	7.92659251	7.52277767	7.785288981
1622896_at	7.762215916	7.844862656	7.587964989	7.61176256	7.736740155	7.619853147	7.600656308	7.623515741	7.733354341	7.587214952	7.272396509	7.277984747	7.440453944	7.87958325	7.746850183
1622897_at	4.529820947	3.321928095	4.255500733	5.694880193	2.944858446	3.217230716	4.963474124	3.153805336	4.608809243	5.449561375	4.968090752	4.343407822	4.738767837	2.432959407	5.820178962
1622898_a_at	9.123862741	9.13442632	8.979282276	9.177170346	9.047669251	9.013183074	9.015972508	9.128767677	9.10774017	9.120237877	8.958552715	9.238882374	9.148476582	9.071998581	9.249824549
1622899_at	4.958842675	4.300123725	3.472487771	4.459431619	3.765534746	4.193771743	3.62058641	4.930737338	3.916476644	4.255500733	4.655351829	4.061776198	5.189824559	4.754887502	4.897240426
1622900_at	3.916476644	4.797012978	3.392317423	4.270528942	1.765534746	3.572889668	3.201633861	1.201633861	4.452858965	3.867896464	4.968090752	3.916476644	3.419538892	1.722466024	4.705977902
1622901_at	7.981281854	7.822092774	7.682292371	7.725877459	7.656067274	7.760886243	7.496654083	7.965207091	7.684397984	7.504620392	7.765534746	7.456970381	8.049304033	7.917670434	7.89056829
1622902_at	8.547665748	8.214319121	7.723148957	8.53954658	9	6.87036472	6.581953751	6.114783447	6.849248703	6.722466024	6.686500527	7.41869595	6.531381461	7.282625134	6.509379149
1622903_s_at	7.9795681	8.120497098	8.160375687	8.086401646	8.050936965	7.853621456	8.10433666	8.022367813	7.988116585	7.802839441	8.198690586	8.100662339	8.201143732	8.017365205	8.194264383
1622904_at	5.452858965	4.292781749	4.439623138	5.244125943	4.733354341	5.350497247	3.560714954	3.053111336	3.972692654	4.364572432	4.862947248	4.321928095	3.432959407	5.354028938	5.339850003
1622905_at	1.722466024	0.584962501	3.776103988	3.596935142	2.232660757	0.485426827	1.432959407	0	0.925999419	1	2.137503524	4.217230716	0.925999419	2.03562391	0.678071905
1622906_at	8.49625461	8.400025518	8.728260673	8.469641817	9.03727239	8.478162893	8.153298683	8.158357226	8.391887985	8.664625055	8.432124273	8.347842794	8.55688919	8.535275377	8.563005553
1622907_at	8.434628228	8.693835392	8.387586566	8.448735798	8.400879436	8.260213887	8.642051693	8.127736444	8.544578117	8.478971805	8.263503957	8.388447876	8.263973355	8.497851837	8.321477182
1622908_a_at	6.477353527	7.286326727	7.220136447	7.549207089	7.29186137	6.943686952	7.148730779	7.060695932	7.005624549	6.834154981	7.175923742	7.175923742	6.817623258	7.250772132	7.144658243
1622909_at	9.152031271	9.080551077	9.187352073	9.012065788	9.108263075	9.14363831	9.120237877	9.200898605	9.132371199	9.01402047	9.267020725	9.273329387	9.081882837	9.166414183	9.055011227
1622910_at	5.209453366	4.786596362	4.584962501	1.137503524	5.087462841	3	4.307428525	3.925999419	4.887525271	4.711494907	4.008988783	5.048759312	4.044394119	4.66106548	4.465974465
1622911_at	1.432959407	0	2.292781749	2.03562391	1.137503524	2.378511623	-0.736965594	2.137503524	0.678071905	0.263034406	1	2.432959407	1.584962501	-0.321928095	2.678071905
1622912_at	8.267254872	8.316507819	8	7.849874194	7.593204354	7.39145842	8.427103287	7.594697827	8.408966552	8.356672044	7.686500527	7.85237345	8.075746538	8.581577216	8.490249211
1622913_a_at	6.020146573	5.14974712	6.301953395	6.123086751	6.167919866	5.658211483	6.110613806	6.318316841	6.017921908	5.850499414	6.057450272	6.557655155	6.874059203	7.049848549	7.165911939
1622914_at	4.749534268	3.62058641	3.95419631	4.371558863	4.465974465	4.185866545	1.432959407	3.666756592	1.678071905	2.432959407	2.981852653	4.491853096	4.87282876	1.137503524	4.277984747
1622915_at	9.902676587	9.773304077	9.876209958	9.833838844	9.896635141	9.909143047	9.687900522	10.08786059	9.725536678	9.756556323	9.953759945	9.754720514	9.846273911	9.538964887	9.551516018
1622916_at	3.307428525	3.292781749	2.807354922	2.169925001	3.247927513	1.378511623	4	1.765534746	1.5360529	2.40599236	2.321928095	0.847996907	4.727920455	3.608809243	4.399171094
1622917_a_at	11.23846445	11.11146174	11.22562922	11.19764673	11.12534889	11.47725232	11.13839981	11.53152767	11.15601985	11.10983065	11.26508756	11.22845797	11.24055285	10.98220929	10.94068065
