ID_REF	GSM112931	GSM112935	GSM112942	GSM112943	GSM112945	GSM112946	GSM112947	GSM112948	GSM112949	GSM112950	GSM112952	GSM112962	GSM112963	GSM112964	GSM112965	GSM112967	GSM112968	GSM112970	GSM112971	GSM112972	GSM113345
141200_at	4.201633861	5.193771743	3.887525271	1.847996907	5.986410935	5.683696454	4.590961241	3.053111336	3.247927513	3.64385619	4.802193217	4.510961919	3.62058641	3.64385619	6.207502459	6.515699838	5.026800059	4.554588852	6.125155131	5.255500733	3.655351829
141201_at	4.672425342	2.981852653	4.478971805	3.364572432	3.867896464	5.14974712	3.807354922	4.053111336	4.078951341	3.321928095	3.498250868	5.270528942	4.711494907	3.419538892	6.177917792	3.5360529	3.548436625	4	4.255500733	3.459431619	3.485426827
141202_at	7.725877459	8.344295908	8.004501392	8.618752554	8.911991114	8.083213368	8.500244367	7.736740155	7.338067798	7.077883864	7.490249211	7.311067102	7.333602628	7.11997861	8.577428828	8.085870755	7.432959407	6.091699834	8.860155835	8.617283788	6.746850183
141203_at	7.766197597	6.116863758	7.71630504	8.200162974	8.48984796	7.8008999	8.589463893	6.577428828	6.223036338	6.171927354	6.332707934	8.531381461	8.088523257	6.462706751	8.922138369	8.285402219	7.034523875	5.501439145	9.066358325	8.196233261	5.830356747
141204_at	7.588714636	8.444600814	7.87282876	8.649256178	8.856114234	8.413204789	8.30560579	8.100136671	8.427522371	7.658211483	7.987548259	8.357991784	8.126704473	8.090641752	8.497452696	8.388878339	8.470048726	8.112700133	8.350055177	8.420381341	7.793765857
141205_at	5.472487771	5.947198584	6.06608919	6.50779464	6.665335917	6.599912842	7.062855655	5.501439145	4.523561956	6.465974465	5.830356747	7.336283388	6.957682486	5.510961919	7.135452784	6.968090752	5.974988112	3.510961919	7.214319121	7.031218731	5.498250868
141206_at	9.251482411	9.280306806	9.30492167	9.393819448	9.222070355	9.473908646	9.370687407	9.285864547	9.23457796	9.128252152	8.940754047	9.61489385	9.751544059	9.072266615	9.158357226	9.021535249	9.995625842	9.287943192	9.696445976	9.179162675	9.042480186
141207_at	6.62935662	5.719731057	6.482202926	7.044394119	6.427941333	4.314696526	4.916476644	3.837943242	4.169925001	5.62935662	3.678071905	6.215290306	6.087462841	5.885086225	6.301953395	5.048759312	4.95419631	0.847996907	5.48864354	5.129283017	4.185866545
141208_at	8.896332404	8.256444596	8.559185866	9.328674927	9.120237877	9.061236166	9.552476982	8.49625461	8.613236955	8.776762002	8.714588976	9.494455614	9.221587121	8.320574934	9.522973781	8.976707312	8.470862199	7.55688919	9.465770449	9.407267764	8.06501215
141209_at	7.822092774	7.990387652	7.758889433	7.776103988	8.195249158	7.689299161	8.122569192	8.301953395	7.844234988	8.052568051	8.007307647	8.098558518	7.833522636	8.079484784	7.46515823	8.437544026	7.708739041	8.802516365	7.773468928	8.366322214	8.456559766
