ID_REF	GSM929282	GSM929283	GSM929284	GSM929285	GSM929286	GSM929287	GSM929288	GSM929289	GSM929290	GSM929291	GSM929292	GSM929293
1415670_at	7.35576	7.42986	7.49398	8.19495	7.64923	7.22072	8.47461	8.07001	7.87316	7.74762	7.76727	7.55165
1415671_at	8.73303	8.69565	8.58754	8.86505	8.70965	8.58461	8.99038	8.76617	8.65907	8.86212	8.84482	8.50506
1415672_at	9.3052	9.01253	9.12193	9.13617	9.23392	8.98534	9.14036	9.01977	9.04616	9.04616	9.14821	9.01679
1415673_at	5.44659	4.93688	4.15139	6.09492	4.98496	4.45198	5.18808	5.47378	4.60494	5.39707	5.0967	4.84027
1415674_a_at	7.02902	6.35665	6.30607	6.7301	6.64372	6.19963	6.06942	6.0193	5.97291	5.97362	6.09318	6.40763
1415675_at	6.03513	6.12555	5.73128	6.15806	5.863	5.98828	6.1784	5.58996	5.72347	5.64421	5.7082	5.69281
1415676_a_at	9.27442	9.46126	9.43507	9.30901	9.20509	9.35198	9.89563	9.85013	9.45744	9.81233	9.59576	9.54955
1415677_at	9.60427	9.93918	9.74661	9.77138	9.98205	9.9135	9.31377	9.54639	9.63415	9.52917	9.55597	9.56267
1415678_at	8.58859	8.78159	8.43348	8.77709	8.8114	8.63899	8.81637	8.89183	8.62292	8.98001	8.90496	8.63813
1415679_at	9.77065	9.76856	9.43726	9.71964	9.60577	9.48944	9.68854	9.56621	9.37705	9.76195	9.51715	9.34754
1415680_at	6.18071	6.10091	5.61095	5.67028	5.99171	5.70727	5.85781	5.83203	5.66574	5.94129	6.1205	5.7716
1415681_at	8.39131	8.28774	7.82152	8.06829	8.26755	7.82215	8.02027	7.75025	7.66771	7.89402	7.97329	7.76626
1415682_at	5.6931	5.89488	5.41773	5.70127	5.87108	5.45332	5.68601	5.63707	5.73683	5.73654	5.90719	5.61937
1415683_at	8.48948	8.45123	8.03567	8.72283	8.37148	8.09318	8.8911	8.60366	8.05431	8.61104	8.51185	8.23858
1415684_at	7.49342	7.77223	7.62137	7.65914	7.83141	7.48693	7.7101	7.73266	7.58644	7.70644	7.81288	7.96642
1415685_at	7.28618	7.12196	7.17224	7.14519	7.55243	7.36095	6.87124	7.06562	7.00886	7.04342	7.27861	7.18406
1415686_at	8.58151	8.57194	8.47841	8.556	8.80108	8.41108	8.23861	8.4011	8.51816	8.31269	8.54102	8.55824
1415687_a_at	9.8584	9.81025	9.50469	9.70985	9.75932	9.70659	9.7355	9.69222	9.69153	9.92709	9.80763	9.56842
1415688_at	8.1162	8.16767	7.82309	8.21032	8.2384	7.80204	8.04822	8.13973	7.83606	8.27343	8.13697	7.95001
1415689_s_at	6.50624	6.446	6.37686	6.17683	6.25248	5.83898	7.03494	6.75225	6.24421	6.69052	6.54223	6.35593
1415690_at	10.0105	9.88524	9.67209	9.92992	9.81234	9.69121	9.87912	9.81345	9.60379	9.89894	9.77105	9.56641
1415691_at	7.19118	7.12809	6.58853	6.90946	7.09062	6.69932	6.72228	6.60578	6.33779	6.84492	6.78635	6.81726
1415692_s_at	10.724	10.6853	10.6906	10.7374	10.7823	10.6443	10.5337	10.7302	10.8567	10.6647	10.7708	10.8922
1415693_at	6.03115	6.2742	5.82796	6.60193	6.43999	5.94667	6.57044	6.30512	6.17	6.16691	6.43215	6.20382
