ID_REF	GSM1133080	GSM1133081	GSM1133082	GSM1133083	GSM1133084	GSM1133085	GSM1133086	GSM1133087	GSM1133088	GSM1133089	GSM1133090	GSM1133091	GSM1133092	GSM1133093
1415670_at	1270.1	1072.4	1758.9	1586.1	1290.9	1797.1	1567.6	1173.3	1148.2	1813.7	1757.5	1046.4	1694.9	1276.1
1415671_at	1806.9	1834.9	2160.6	2141.6	1477.4	2143.1	2229.8	2003.1	2094.3	2007.9	2176.1	1556.1	2319.5	1908.7
1415672_at	4537.3	5147.5	4608.8	5137	4449.7	4787	5620.5	4794.7	4969.8	5016.9	4439.6	4885.7	4591.7	4806.2
1415673_at	1450.3	1620.5	1609.8	1580.1	1209.1	1077	1365.1	1420.8	1435.3	1522.7	1418.2	1173.8	1515.3	1330.3
1415674_a_at	2276.7	2240	2062.7	2100.1	2231.7	1604.6	1703.6	2506	1980.8	1928.9	1819.9	2011.5	2027	1993.3
1415675_at	1487.3	1675.1	1242	1080.2	1847.5	1289.1	1409.2	1660.1	1554.1	1374.4	1281.6	1391.9	1115.2	1282
1415676_a_at	4342.1	4367.2	5217.3	4675.1	4580.8	4530.3	4129.7	4973.8	4729.1	5287.2	4792.4	3879.2	5342.7	4170.7
1415677_at	309.2	322.6	344.2	392.5	292.3	314.6	375.7	382.8	373.8	486.5	383.8	315	460.1	331
1415678_at	1581.9	1547.6	1928.8	2464	1700.5	2186.8	2367.2	1750.5	1604.9	2200.6	1971.6	1390.7	2273.7	1947.9
1415679_at	9867	9933.1	7943.1	6745.4	9150.8	6143.8	6614.4	9427.8	8860.5	7904	6352.8	8935.5	7189.2	9828.9
1415680_at	2342.8	2261.1	2662.8	2903.2	1955.3	2969.7	2224.5	2652.6	2191	2191.3	2293.3	1697.7	2743.6	2095.8
1415681_at	1861.2	1648.2	2114.4	2223.7	1617.8	2045.4	2253.5	2222.1	1953.3	2310.9	2163.7	1718.8	2356.7	1585.7
1415682_at	521.3	482.9	627.2	583.3	616.5	499.6	464.8	430	426.4	621.1	551.4	468.9	546.2	518.5
1415683_at	4059	3937.7	3766.7	4405.6	4300	4281.2	4455.5	4923.9	4466.6	4210.2	3761.6	3771.2	3763.7	4569
1415684_at	652.2	755.3	536.1	737.6	642.9	658	642.8	732.3	714.4	660.4	690.3	673.8	593.6	675.8
1415685_at	986.5	1011.4	1294.3	1282.8	1952.1	2039.2	2206.6	1999.4	2071.4	2421.1	2082.5	1705.9	1679.2	1815.1
1415686_at	1666.5	1613.6	1114.2	1365.8	1645.7	1803.3	1286	1742.4	1839.2	1331.6	1431.1	1825.3	1351.4	1724.7
1415687_a_at	6437.1	6714.1	6422.3	5836.2	6008.6	5272.8	5812.6	6494.5	7975.2	6015.6	6142.6	6195.4	6697.8	5387.2
1415688_at	4582	4653.4	3682.5	3904.3	4969.9	2981.5	3298.4	4490	4039.7	3816.9	3131.5	4981.9	3513.7	5628.1
1415689_s_at	842.4	751.1	788.4	871.9	752.2	803.3	779.5	552.1	684.7	683.1	562.3	544.6	547.2	539.9
1415690_at	2855.5	3013	2805.4	2917.5	3324.4	2832.9	2839.9	3631.1	3576.7	3071.9	2570	2415.3	2761.5	2898.5
1415691_at	1370.8	1474.7	1545.1	1605.9	1336.6	1652.1	1522.5	1289.2	1434.6	1245.8	1478.8	1625.2	1361.8	1863
1415692_s_at	11176.7	11230.2	9276.9	9368.4	9453.7	10629.3	10835.2	11477.4	10402.4	9737.9	9918.2	10791.1	9758.2	11125.1
1415693_at	1192.6	1223	1410	1266.4	1258	1410.3	1292	1381.6	1372.8	1338.3	1361.8	1142.9	1599.5	1328.2
1415694_at	358.3	351.3	511.4	262.3	213.6	532.1	349.5	410.3	299.1	980.4	997.8	639.4	829.3	867.5
1415695_at	11745.8	10888.5	7713.4	7579.8	10978.6	7021.2	9217.4	11532.5	10536.5	8084.3	7080.8	10086.8	7467.6	9139.3
1415696_at	1772.2	1477.7	1835.4	1870.2	1893.3	2487.8	1819.5	1684.5	1870.6	1742	1824.8	1596.8	1881	2093.2
1415697_at	2924.5	3256.1	2183.4	2453.7	2716.3	2179.9	1942.4	2749	3073.1	2581.1	2129.5	3009.5	2124.8	3253.1
1415698_at	1707	1416.1	1604.2	1612.4	2042	2970.4	1788.7	2600.6	1790.8	1261.3	1554.1	1210.5	1584.2	1814.8
1415699_a_at	2893.8	2854.9	3485.4	3070.2	3737	3176.3	3334.8	3662.1	3403.5	3456.9	3179.3	2778.2	3141.6	2940.9
1415700_a_at	3909.2	3922	4809	4719.7	4112.4	4842.1	4508.6	4600.9	4402.3	4829.3	4503.4	3939.4	4569.8	4949.8
1415701_x_at	60771	46379	37368.4	35530	65959.8	50061.7	48219.1	65560.3	50183.1	36444.7	36670.8	53916.1	34141.6	63056.7
1415702_a_at	4516	4642.7	8321.8	7896.7	4400.2	7481.8	7078.3	5566.4	5064.8	6805.7	8071.8	3798.3	8057.8	5544.2
1415703_at	2328.4	1950.6	2832.9	2694.4	2258.2	2560.2	2126.5	2272.2	2654.9	2401.9	2489.9	2107	2395.4	2602.9
1415704_a_at	3754.5	3889.4	4465	4495	4341.6	5317.9	4072.2	4082.3	4408.1	3238.4	3880	4234.1	5065.1	4760.5
1415705_at	713.7	703.8	813.4	810.1	534.9	828.1	748.4	785.4	754	1030.8	837.5	679.3	803.6	608.9
1415706_at	4450.8	4526.9	4610.7	2080.8	4737.5	4505	4172.8	3964.1	4984.3	5623.6	5238.5	4985.5	3012.6	5524.5
1415707_at	1181.7	1125.3	1590.9	1563	1057.9	1440.5	1377.5	1309.3	1116.8	1612.1	1549	1133.3	1521	1120
1415708_at	3305	3128.5	2716.1	3073.8	3236.2	2506.6	2963.7	2958.8	3008.9	2786	2954.5	3809.6	3156.9	3775.5
1415709_s_at	593.7	580.1	724.2	729.7	504.1	632	584.1	485.5	620.2	709.2	706.9	506.5	671	475.8
1415710_at	1112.4	1193.1	1545.1	1643.9	1278.8	1514	1623.6	1439.9	1340.8	1102.4	1215.4	791.1	1077.5	845.1
