ID_REF	GSM1133109	GSM1133110	GSM1133111	GSM1133112	GSM1133113	GSM1133114	GSM1133115	GSM1133116	GSM1133117	GSM1133118	GSM1133119	GSM1133120	GSM1133121	GSM1133122	GSM1133123
1415670_at	1263	2084.3	1962	2067.8	1229.1	1732.7	2271.4	2042.2	1248.2	1003.5	1202.8	1772.4	1699.1	1864.4	1394.7
1415671_at	1738.8	2689.8	2110.2	2131.1	1701	1975.1	2331.5	2516.6	1942.6	1784.2	1587.7	3179.1	2619.6	2995.9	1784.2
1415672_at	5074.6	4617.4	5069.9	5057	4673.9	4916.2	4831.4	5312.1	4577.5	5288.3	5084.9	5755.5	5118.7	5148.6	5045.9
1415673_at	1593.1	1714.9	1670.8	1532.6	1118.4	1365.6	1496.1	1456	1433.1	1468.8	1410.7	1752.7	1718.3	1944.5	1325.3
1415674_a_at	2299.1	2063.4	2167.7	1843.6	1623.3	1820.7	2055.3	2084.2	2069.3	2305	2070.6	2661.2	2532.4	2697.1	2023.3
1415675_at	1564.3	1488.5	1655.3	1286.3	1531.6	1277.7	1410.8	1400.7	1610.3	1686.9	1418.4	1398.6	1364.3	1349.3	1262.2
1415676_a_at	4791.9	5313.2	5899	4516.4	4020.9	3736.7	4799.8	5358.1	4640.9	5366.1	4066.7	5778.3	5419.4	6021.3	4136.6
1415677_at	347.9	705.1	476.5	492.7	315.4	486.5	467.2	420	337	263.2	171.2	588.2	529.7	517	222.3
1415678_at	1590.2	2116.1	1881.9	1951.2	2425.4	2148.7	1938.6	1872.8	1648.5	1626	1698.2	2260.6	2071.2	1773.1	1983.8
1415679_at	10253.7	8230	6049.9	7862.8	5900.8	9047.7	9303.5	8824.9	7519.8	9688.3	9818.1	9489.9	9524.7	12280.7	9263.2
1415680_at	1747	2567.8	2727.8	2204	3383.1	2079.2	1931	1954.9	1855.2	2182.9	1886.9	1447.8	1821.4	1081.9	2077
1415681_at	1857.8	2239.8	2325.3	2177.8	2136	2021.5	2326.6	2352.9	1704.5	1841.8	1576.7	2903.1	2875	3260.1	1712.6
1415682_at	594.3	465.7	398.2	570	445.3	783.6	610	536.2	518.6	467.9	409.5	586.1	505.5	551.4	620.4
1415683_at	3391.5	3902	4441.4	3593.4	4619.3	3409.1	3337.7	3768.9	3639.4	3656.7	3298.4	4798.6	4480.6	4059	3555.9
1415684_at	815.9	842	814.2	700.7	653.9	785.6	752.2	822.8	828.4	667.4	809.2	980.7	903	749.6	1037.1
1415685_at	1108.4	1235.3	1369.7	1024.1	1389	1424.7	1954.2	1364.4	1557.6	1846.1	1654.9	1623.4	1698.4	1546.9	1725
1415686_at	1759.7	1190.1	1176.4	1063.3	1706.3	1738.6	1221.8	1095.4	1551.6	1596.4	1966.3	1031.3	1276	1025.7	2105.5
1415687_a_at	4473.6	6629.2	5264.8	6383	5668.6	6784.1	8122.8	7730.9	5373.4	3995.9	4215.7	8578.3	7989.7	7839.9	5801.7
1415688_at	4070.7	2815.8	3185.1	3150.1	3652.4	3248.3	2745.5	3332.2	3935.7	3339.2	4225.1	3543.5	3341.8	3712.8	4812.3
1415689_s_at	1198.3	928.9	832	864.7	898.3	1051.1	970.6	1193.1	868.4	846.1	594.5	690.9	754.4	656.5	867.8
1415690_at	2357	2742.8	3436.4	2434.9	2476.6	2194	2701.4	2678.4	3212.7	3550.8	2329.5	2685.8	2361.4	2989.9	2437.8
1415691_at	1802.6	1356.2	1218.3	1256.4	1874.2	1852.6	1448.2	1338.5	1549.3	1397.8	1420.3	1320.9	1298.9	1205.1	1844.9
1415692_s_at	8994.4	8940.5	9341.7	7383.5	5796.6	6506.6	8426	9435.2	10550.6	11742	11138.7	6981.1	7631.5	7332.3	11763.4
