ID_REF	GSM94555	GSM94587	GSM94589	GSM94590	GSM94403	GSM94538	GSM94539	GSM94540	GSM94591	GSM94592	GSM94593	GSM94594	GSM94595	GSM94596
10000_at	17	12	21	12.8	25.4	22.1	32.1	17.1	32.4	29.5	46.6	25.9	67.9	43.9
10001_at	1125.2	641.5	1288.7	933	801.8	915.9	781.6	732.1	1414.4	1210.5	1442.6	878.6	1107.5	1290.2
10002_i_at	4186.8	2066.9	3707.4	3968.7	3201.6	3174.5	5746.4	3787.4	4517.6	3991	4861.9	4467.9	4508.1	5080.8
10003_f_at	14793.7	13568.1	14029	13853.5	15433	15347.5	16224	14346	15238.7	17191.5	18901.9	17099.6	19324.4	16555.6
10004_at	3.9	10.2	0.6	2.5	1.1	1.3	0.8	4	2.5	1.3	2.2	25.7	3.9	11.8
10005_at	1667.5	1480.8	1588.1	1831.9	1714.7	1700	1560.1	1895.1	1991.4	2042.3	1604.1	1514.6	1801.6	1368.7
10006_at	574	413.2	395.3	432	506.9	614	680.8	621.8	886.2	775.4	384.6	500.9	723.5	440.5
10007_at	1842.8	1756.4	1738.7	2093.3	2950.2	2894.1	1886.9	2241.1	1819.3	1722.4	2333.9	1566.9	1936.2	1700.7
10008_at	32.4	4.9	6.3	3.7	210.4	181.6	159.5	134.4	119.1	81.9	97.7	170	172.7	176.6
10009_at	280.8	76.9	129.1	73.5	314.4	181.7	208.5	99.7	392.1	98.6	248.7	488.3	455.4	149.5
10010_at	6378.2	3382.5	6131.2	4769.9	5314.6	5000.9	6795.2	5202.1	5897.7	5556.5	6144.3	3338.2	4341.4	4056.2
10011_at	24.3	26	16.8	24	22.7	24.5	28.6	17.7	18.4	4.1	17.2	33.7	39.9	37.2
10012_at	587.9	237.9	661	461.6	314.6	298	709.4	218	361.1	415.7	540.5	156	206.6	123.2
10013_at	697.3	553.9	409.2	713.5	580.9	557	480.2	663.4	674.9	766.9	471.4	371.3	639.9	308.8
10014_at	1579.5	998.7	1014.1	2527.5	1676.8	1650	817.7	2119	1895.7	1789.2	1669.9	1024.4	1246.1	769.2
10015_at	7401.5	6222.8	7257.4	7887.6	7343.8	7893	8311.6	7916.3	8657	9256.2	7994.7	8098.4	10472.3	7173.2
10016_at	4173.7	3970.4	3420	4201.8	2401.6	2690.8	1996.7	2571.5	3817	4193	2985.6	3790.7	4399.8	2768.2
10017_at	7.3	8.3	12.5	14	11.3	35.7	22.1	44	59.9	56.4	15.9	103.7	108.1	38
10018_at	16440.9	11899.2	16637.7	13191.4	14131.1	15683.6	16127.3	15556.6	18645.6	20300.7	23413.2	16465	17812.5	16163.7
10019_at	6217.1	6471.4	4438.5	7488.3	12255.1	11634.4	9116.2	10150.5	7010.8	8022.3	5316.4	13472.2	12372.6	12948.3
10020_at	1521.2	1442.8	1120.5	1563.8	1827.3	2090.6	1504	1978.4	1683.9	1864.1	1034.6	1500	1742.5	1466.4
10021_at	448.5	372.8	277.8	401.6	399.4	462.2	323.6	401.3	225.5	277.6	211.1	207	288.7	218.9
10022_at	200.1	198.9	68.3	221.6	348.9	344.8	214.7	375.2	154	117.4	67.6	176.2	262.2	116
10023_at	4.6	15.5	17.1	5.2	164.3	160.9	104.7	150.2	41.8	63.7	59.1	131.5	132.6	112.1
10024_at	876.9	561.7	622.7	1167.7	751.4	804.9	985	1190.9	830.9	997.9	655.9	545.1	851.7	621.3
10025_at	159.9	107.4	166.2	280.5	148.2	202.7	251.5	234.5	150.4	192.6	154.4	171.8	249.3	216.9
10026_at	11	6.2	45.7	70.1	30.8	63.2	76.2	95.5	11.5	13.2	59.5	57.2	58.6	184.2
10027_at	67.1	41.8	120.5	83.5	117.4	91.5	165.2	95.6	102	57.6	97.2	113.7	150.5	273.7
