ID_REF	GSM86746	GSM86747	GSM86752	GSM86753	GSM86758	GSM86764	GSM86748	GSM86759	GSM86755	GSM86756	GSM86757	GSM86749	GSM86750	GSM86751	GSM86761	GSM86762	GSM86763	GSM86767	GSM86768	GSM86769
10000_at	2.3	2.5	3.3	3.5	3.4	3	2.3	1.2	3.2	1.6	2.7	3	3.6	2.5	3.7	2.7	3.3	1.9	3.2	3.7
10001_at	89.6	75.3	146	135.5	131	143.3	100.5	80.8	133.4	122.9	109.7	87.2	67.5	93.4	112.6	108.7	109.6	99	75.8	106.7
10002_i_at	655.2	657	712.5	643.5	700.7	526.9	574.5	565.2	707.5	679.2	536.2	912.2	656.9	553.5	681.7	577.9	473	349.8	498.8	454.2
10003_f_at	2008.2	2199.5	2050.6	1818.8	2043.3	2187	1785.8	1828.6	1974.7	1766.8	1724.2	2422	2157.6	1615.6	1706.2	1669.4	1524.6	1520.3	1750.7	1604.5
10004_at	2.6	3.6	3.9	3.1	3.8	3.1	2.8	3.9	2.5	1.8	2.3	0.4	2	2.7	3.1	9.8	2.1	3.8	1.7	4.4
10005_at	95	100.4	125.6	109.5	128.2	117.6	113.3	87.4	111.8	116.4	142.7	127.8	97	137.6	98.9	116.2	108	104.2	73.2	117.8
10006_at	47.3	45.3	81.9	74.7	65	37.1	55.6	49.3	74.2	68.5	65.6	49.6	50.4	60.7	79	67	59.6	50.5	29.4	48.4
10007_at	117.2	138.5	171	151.9	222.5	330.2	224.9	102.4	177.3	163.5	197.5	147.4	145.6	225.1	228.7	372.7	353	419.7	206.5	312
10008_at	7.7	8.3	9.2	4.6	5.4	9.8	6.7	4.3	6.9	5.1	8.4	10.9	7.9	3	19	25.9	24.5	26	14.2	25.2
10009_at	23.2	20.6	18.1	12.8	20.7	12.3	16.3	15.2	16.2	14.8	23.2	36	22	21.1	16.5	19.2	23	10.5	7.4	19.2
10010_at	330.4	346.6	542.7	484.1	403.7	487.6	476.3	388.3	470.8	440.5	326.1	235.3	261.5	408.6	387.8	299.4	557.8	447.7	317.5	486.6
10011_at	4.6	6	4.5	3.3	5	5.7	3.5	6.1	3.4	3	2.5	4.9	3.1	5.6	2.4	4.6	4.5	6.7	3.3	2.7
10012_at	39	47.8	50.2	51.8	45.9	48.1	23.4	31	64.2	51.7	24.3	32.2	27.8	29.3	24.3	36.8	18.2	27.9	19.4	23.6
10013_at	27.3	27	32.7	32.3	26.4	38.6	28	22.5	27.9	29.4	26.1	16.4	14.1	29.5	28.7	20.1	35.2	28.9	18.5	25.5
10014_at	59.3	66.5	85.7	76.7	98.2	126.6	84.2	78.1	77.3	77.5	87.3	51.1	55.5	105.4	101.9	145.2	134.4	126.5	98.7	124.9
10015_at	884.9	933.1	861.9	775.2	649	721.3	668.8	586.5	831.5	773	703.6	858.1	839.6	630	738.7	521.7	665.5	555.4	609.8	610.4
10016_at	122.1	146.4	187.7	173.8	169.9	185.1	195.4	133.5	198.5	185.6	229.3	149.2	136.3	228.5	209.3	204.5	200.8	203.5	172.1	260.3
10017_at	4.1	4	5.3	3.6	6.9	7.4	6.9	1.7	3	1.5	2.9	1.2	2.7	3.5	4.4	10.5	5.8	8.4	2.9	8
10018_at	657.2	816.6	1402.2	1272	1409.1	1236.6	1239.4	1209.1	1361.4	1219.4	1355.7	569.8	701.5	1014.1	1592.5	1673.2	1428.1	1400.7	1138	1386.3
10019_at	451.8	578.9	749.7	686.6	604.9	792.7	591.9	475.1	638.3	651.6	624	493.8	528.2	631.6	624.9	608	673.3	924.9	428.1	597.6
10020_at	70.5	80.4	120.6	111.9	105.9	111.2	108	81.5	110.2	110.9	127.1	61	71.2	110.1	101.7	98.3	107.4	98.5	69.8	89.9
10021_at	12.5	11.4	24.7	21.2	18	26.6	24.7	19	20.1	22.2	14.9	11.4	15.8	28.5	23.4	23.9	23.4	19.7	10.9	17.1
10022_at	0.3	0.3	0.5	0.7	0.6	0.4	0.3	0.7	0.1	0.1	0.1	0.4	0.3	0.3	3.1	11	11.3	17.7	6	10.9
