ID_REF	GSM140786	GSM140800	GSM140801	GSM140802	GSM140803	GSM140804
10000_at	24.6	24.8	2.8	28.5	31.9	23.9
10001_at	1725.4	1485.4	1723	1891.9	1236.7	1572.5
10002_i_at	3201	3320.1	3851.9	4330	4849.7	4194.8
10003_f_at	17057.9	17186	16283.1	20828.8	15609.4	15060.7
10004_at	6.1	1.3	8.3	26.4	1.7	4.7
10005_at	1815.1	2001.3	2139.9	2296.4	1932	2066.6
10006_at	879.6	715.5	1364.9	1109.7	568.2	1035.9
10007_at	836.1	872.1	1035.7	493.2	1270.8	1249
10008_at	27.3	37.5	33.3	41.4	54.4	15
10009_at	31.1	178	20	27.7	258.4	52.3
10010_at	3819.2	2030.2	3210.8	1345.6	2469.8	2765
10011_at	19.6	25.6	4.8	22.9	10.1	12.1
10012_at	217.1	350	167.2	255.8	325.5	391.6
10013_at	965.4	916.5	1249.5	1502.1	759.5	1115.9
10014_at	1921.5	1763.7	2345.7	2299.7	2250.7	2347.1
10015_at	6339.4	4134.6	6943.8	4401.1	4137.8	9351.8
10016_at	2666	1494.6	2806.7	2403.8	1462.8	2974.2
10017_at	12.1	9	6.3	50.5	16.2	5.6
10018_at	2867.3	8953.4	15887.8	6563.2	9667	14798.2
10019_at	8404.2	3003.7	5342.9	7061.1	3069	5715
10020_at	2110.3	2624.6	2328	2712.6	2232.3	2113.6
10021_at	419.8	593.7	529.8	697.1	555	430.2
10022_at	26.5	4.1	44.9	98.8	87	87.4
10023_at	35.2	9.7	11.7	88.9	9.9	26.7
10024_at	845.2	784.4	1219.8	1127.9	803.4	1010
10025_at	129.5	201.3	228.5	84.6	158	174.8
10026_at	51.5	57.3	45.5	128.4	43.8	96.7
10027_at	123.8	94.9	76.7	113.1	101.1	104.7
10028_at	330	138.2	206.9	217.1	147	705.4
10029_at	818.7	953	1300.7	539.6	889.7	692.8
10030_at	30.3	47.7	6.5	8.9	66.4	43.5
10031_at	4912.1	3395.2	2905.9	4324.5	3917.5	3550.5
10032_at	1108.5	1034.4	1476.2	1490.7	747.9	1354.3
10033_at	297.6	290.8	345.5	311.3	298.7	505.7
10034_at	4255.1	4687.1	5896.4	3026.3	2830.9	2981.5
10035_at	1329.7	1289.6	1987.3	1460.6	1028.3	1362.9
10036_at	934.8	1440.5	711.8	877.2	1433.7	847.7
10037_at	28	18.8	21.3	59.1	46.7	74.2
10038_i_at	153	116.1	128	157.5	116.2	105.6
10039_s_at	20	18.1	4.2	18.6	6.4	13.5
10040_at	2.3	5	8.5	2.8	5.1	10.4
10041_at	18.8	18.9	41.3	42.5	23.7	47.8
10042_at	233.2	305.9	252.1	322.7	223.8	227.4
10043_at	328.7	216.4	361.8	408.3	247.7	295.7
10044_at	1388.1	1082.7	1204.5	986.5	1060.2	1198.7
10045_at	4831.4	7281.8	6424	5828.2	4840.8	7972.6
10046_at	368.9	291.1	614.4	353.6	241.5	553.8
10047_f_at	20146.4	22189.8	20538.6	23490.7	19743	17313.7
10048_at	1583.1	1000	1246.6	1831.9	765.9	824.3
10049_at	804	376.1	704.5	580	256	514.5
10050_at	2051.9	2381	2771	2582.8	1853	2175.5
10051_at	1762.1	1832.7	2333.5	1179.7	1976.9	2042.3
10052_at	2770.1	1559.4	3261.3	1114	1538.1	1375.9
10053_at	7703.7	10921.1	11156.1	8113.3	11233.8	9658.2
10054_at	5324	3657.7	5852	5248.3	3236.8	3504.9
10055_at	2667.8	1543.9	2319.7	2383.8	762.6	1818.4
10056_at	1630.2	2974.4	1891.9	2219	2629.9	1305.7
10057_at	263.6	178.5	184.2	215	135.4	180.5
10058_at	1067.8	3066.8	1203.1	898.6	2781.9	877.5
10059_at	6711.7	9104	6670.7	6679.5	7210.3	5744.4
10060_at	497.5	1513.8	849.1	464.7	1116.6	974.4
10061_at	19679.5	12018.5	20914.8	20584.5	12009.9	16565.3
10062_at	439.9	357.2	551.1	404.1	319.1	718.2
10063_i_at	777.3	995.1	1322.4	764.6	485.2	682.3
10064_s_at	1001.4	1290.5	1980.5	1041.2	881.2	1338.3
10065_at	110.3	247	415.7	113.7	217.2	415.7
10066_s_at	3080	4559.1	3681.1	3652.5	3676.4	2047.2
10067_at	173.7	162.7	230.6	273.2	210.1	260.7
10068_i_at	4967.2	2733	2095.6	1978.8	4042.5	2816.6
10069_f_at	2632.2	1539.6	1489.3	1359.6	2189.6	2089.7
10070_at	128.2	156.2	306.7	234.8	224.3	422.8
10071_at	69.4	92.4	131.3	115.7	84.5	133.6
10072_at	93.1	89	112.9	120.5	100.4	190.1
10073_at	1085.6	1381.9	1122.7	1164.3	1446.4	1255.6
10074_at	7.2	25.2	1.2	36.5	23.5	6.8
10075_at	203.7	413.9	359.9	213.5	482.6	708
10076_at	514.4	677.2	622.5	699.8	553.2	662.6
10077_at	812	819.9	1787.3	978.8	761.8	1248.4
10078_at	274.9	211	408.8	453.1	194.1	478.9
10079_at	25.9	26.9	31.3	20.9	16.5	29.8
10080_at	312.5	154.8	306	343.7	162.9	333.2
10081_at	109.1	3.5	47.2	7.3	5.5	118.4
10082_at	27.5	11.7	6.2	9.7	23.3	27.1
10083_g_at	10.2	7.5	7	6.2	10.7	10.5
10084_at	30	12.3	13.9	12.1	9.2	15.5
10085_at	5740.5	2655.5	3575.5	4600.9	793	2632.6
10086_at	1455.8	1122.7	1399.8	1607.8	898.8	1082.2
10087_at	1503.2	1202.6	1331.3	1386.2	1084	1474.4
10088_at	466.7	663.9	715.9	639.2	606.1	819.2
10089_at	1398.3	2042.4	1793.9	2174.8	1625.8	1735
10090_at	104.5	105.8	107.6	135.9	109.2	169.9
10091_at	2650.3	2248.9	3339.4	2646.1	2394	4338.3
10092_at	2736.7	2590.4	2454.2	3603.5	2130	2263.3
10093_at	41.3	9.7	21.1	22.8	24.9	48.3
10094_at	493.1	624.7	370.2	483.6	738.9	441.4
10095_at	758.6	651.4	1032.9	1118.4	694	993.1
10096_at	4379.6	5057.9	4641.1	4668.9	4406	4208.9
10097_at	24860.3	25405	23040.1	23374.1	22045.2	21095.3
10098_at	1103.3	1339.9	1215.9	1475.8	1247.2	1222.7
10099_at	222.1	538.1	295	332.4	590.7	417.7
10100_at	467.3	1004.2	543.9	1099.8	1140.4	611.6
10101_at	3003.6	3691.2	3212.6	3123.1	3351.5	2871.1
10102_at	651.4	656.3	904.1	660.7	470.7	824.5
10103_at	379.9	255.6	432.5	370.9	540.3	533.7
10104_at	831	636.6	1182	1033.4	504.7	1072.5
10105_at	327	111.9	192.8	496.1	157.1	172.9
10106_at	2406	284.3	2092.7	2624.3	256.3	1603
10107_at	769	679.6	1016.6	913.3	529.1	933.3
10108_at	9102.1	5197.7	15660.4	11763.6	6428.1	14401.8
10109_at	24.5	1.1	46.8	1.2	35	113.7
10110_at	2251.6	948.6	1763.4	2310.3	944.5	1182.8
10111_at	928.6	1521.9	1338.7	1016.1	1197.8	1259.3
10112_at	1715.5	2124.3	1672.5	1906.8	1401.7	1739.3
10113_at	1348.2	1296.4	1878	1213	1405.1	1772.4
10114_at	4585.1	4175	5942	4619.4	2916.9	3974.2
10115_at	974.3	411.8	1707.7	894	283.7	1667.2
10116_at	2696.1	1526.2	2800.3	3460.4	1028.2	2297.3
10117_at	992.5	865.1	1427.4	1164.9	907.4	1776.8
10118_at	411.2	214	696.4	294.6	203.7	968.4
10119_at	278.3	391.8	329.9	629.3	456.8	333
10120_at	1003	1966	1071.6	603	1064.2	720.7
10121_at	6800.4	7690.2	6662.2	4613	6892.6	5720.7
10122_at	37.4	64.9	57	43.7	65.1	56.1
10123_at	924.3	684.9	964	1239.1	753.8	1118.1
10124_at	954.5	1069.7	1128	986.6	846.5	1328.9
10125_at	390.5	1108.5	438	306.8	1104.5	655
10126_at	954.8	475.3	625.7	1144.5	288.6	443.7
10127_at	5881.8	6000.1	7882.5	2648	4167.5	3984.2
10128_at	653	1027.6	833.8	883.6	794.4	783.4
10129_at	8580.8	5632	6895.4	9292.2	7534.4	7737.7
10130_at	1341.2	1106.5	1524	623.7	821.4	528
10131_at	7927.7	7831.2	9339.2	7367.5	5121.6	6919.2
10132_at	3301	4660.9	4403.4	3291.1	3111.4	3052.8
10133_at	238.3	366.7	511.3	254.5	273.1	384.3
10134_at	2458.9	2220	3639.2	4466.2	2006.9	3286.9
10135_at	1259.7	1495.6	2062.4	2349.9	1636.2	1216.6
10136_at	1950	2554	2353.5	2136.7	2254.6	2315.2
10137_at	140.8	98	194.5	150.6	145.4	178.1
10138_g_at	65	88.9	64.1	23.1	185.3	234.7
10139_i_at	8931.2	8585.4	11770.3	10222.1	6298.1	8746.8
10140_r_at	4145.1	4316.6	2974	4469.8	4178.6	2012
10141_at	2372.3	1840.1	3060	1476.4	1338.2	2345.5
10142_at	1201.3	843.1	931.1	1067.9	648.4	970.3
10143_at	2703	776	975.5	4169.4	658.1	1390.5
10144_at	1324.2	1939.4	1561	1672.9	2477	1705.2
10145_at	1533.5	1330.3	1774	2313.7	1109.2	1387.5
10146_at	2436.8	2460.1	2384.2	1913.8	2759.1	3221.3
10147_at	17015.8	21464.5	22508.4	26432.1	21100	18411.2
10148_at	3664.8	618	1794.6	4822.2	557.7	1309.6
10149_at	66.8	85.1	44.1	222.1	117.8	75.8
10150_at	1281.7	817.8	1244.4	1301.5	796.4	1204.8
10151_at	127.4	65.7	128.3	165.8	86.2	202.6
10152_at	6805.4	8329.6	5561.8	9993.8	7323.7	5235.7
10153_at	142.4	124.3	136	104.2	139.3	157.4
10154_at	726.7	197.6	402.5	1089.9	218	616
10155_at	9944.4	11122.7	11293.2	9216.3	7970.5	9685.6
10156_at	556.3	606.2	478.6	881.3	437.4	522
10157_at	384.5	1900	438.1	484.4	1556.8	448.4
10158_at	2395.5	3443.9	3129.9	1998	4189.9	4010.3
10159_at	6035.1	6867.4	7602.2	4849.4	7002.3	6411.1
10160_at	353.4	690.6	1354.1	380	735.7	2262.7
10161_g_at	2749.7	2242.7	4058.2	1849.4	2412.5	8061.9
10162_at	1436.8	1100.4	1594.6	1521.7	806.6	1257.3
10163_at	342	440.2	658.7	332	328.4	605.9
10164_at	993.6	476	1333.5	996.4	345.9	968.1
10165_at	25.4	13.6	27.5	7.8	4.6	23.7
10166_at	25108.3	21687.4	21050	25929.3	20586.6	18028
10167_at	6052.2	5362.3	5858.2	4067.4	4831.7	3780.7
10168_at	169.3	232.6	178.5	123.1	242.1	260.7
10169_at	3909.1	3258.7	3057.8	2870.4	2972	2869.7
10170_g_at	266.8	453.8	220.8	271.5	383.6	218.4
10171_at	68.4	64.7	58.2	46.5	92	114
10172_at	966.8	610.9	804.5	1152	840.6	955.1
10173_at	501.9	455.6	652.9	665.1	419.5	663
10174_at	544.1	566.3	533.4	633.7	651.7	685.5
10175_at	662.4	385.4	721.7	919.3	358.9	473.4
10176_at	900.9	977.4	1142.6	1243.8	1122.9	1138.8
10177_at	3381.7	3082.3	3261.8	4024.1	3343.3	2398.9
10178_at	87.9	154.9	187.9	64.5	96.1	160.2
10179_at	72	149.5	85.5	72.4	165.1	114.5
10180_at	17449.8	19361.6	17994.1	18341.2	18054.2	13655.9
10181_at	191.3	216.7	308.4	163.3	204.1	250.2
10182_at	1368.5	2253.9	739.6	1767.7	2442.4	959.1
10183_at	4643.5	3591.5	4159.2	3207.4	3323.6	4951.5
10184_at	5526.3	2543.4	4104.7	6509.2	2118.2	3312.5
10185_s_at	6422.2	5865.9	4645.3	4639.2	6076.2	4515.2
10186_s_at	176.9	165.1	68.8	165.7	247.1	169.1
10187_at	96	168.9	93.4	144.2	157.9	71.8
10188_at	2408.1	1380	2254.5	868.9	970.5	907.6
10189_at	89.3	60.1	75.7	53.9	156.8	100.3
10190_at	408.8	745.4	741.8	751	695.4	602.4
10191_at	813.6	892.2	1117.5	831.3	758.2	922.1
10192_at	462.5	940.6	687.8	549.3	948	572
10193_at	1105.2	1997.3	832.8	640.1	1545.9	1260
10194_at	3469.4	2347.6	2551.8	2702.5	3105.9	3316.9
10195_at	114.2	72.5	73.9	276.4	61	74.5
10196_g_at	137.2	85.5	94.4	202.3	61.2	77.2
10197_at	79.4	51.7	52.8	72.4	44	67.5
10198_at	18.2	24.9	23.2	32	21.8	27.9
10199_at	1.1	2.3	2.7	1.4	1.1	5.8
10200_at	434.6	244	385.9	549.9	213.6	512.2
10201_at	236.5	327.1	300.3	210.4	235.9	278.4
10202_at	546.1	367.4	584.5	387.3	527.9	815.8
10203_at	1839	1582.4	3512.3	1985.4	1409.4	2691.6
10204_at	2953	2033.8	1880.7	2441.7	1141.9	1265
10205_at	846.7	2665.9	1447.7	1076.1	2178.9	937.9
10206_at	143.4	137.6	140.1	143	99.6	147.1
10207_at	754.8	971.4	842.9	943.5	650.1	970.2
10208_at	980.2	639.5	895.6	638.7	605.3	1182.4
10209_at	305.2	122.5	215.1	249.7	68	314
10210_at	10.3	3	9.8	11.6	8.6	15.8
10211_at	782.3	404.6	492.2	1149.7	569.4	676.4
