ID_REF	GSM211831	GSM211832	GSM211833	GSM211834	GSM211835	GSM211836	GSM211837	GSM211838	GSM211839	GSM211840	GSM211841	GSM211842	GSM211843	GSM211844	GSM211845	GSM211846	GSM211847	GSM211848	GSM211849	GSM211850	GSM211851
10000_at	3.2779	3.06357	3.39411	3.14278	3.18606	3.00359	3.12515	3.0367	3.00204	2.94037	2.89909	3.18881	3.27754	3.22544	3.15229	3.52248	3.19946	3.2889	3.37227	3.21095	3.24827
10001_at	7.77484	7.35349	8.15194	6.7742	6.7193	6.5783	6.56449	6.34435	5.84036	6.34284	6.42159	6.14148	6.69076	6.83815	6.60999	7.75627	7.47697	7.47446	7.89022	8.0025	8.01028
10002_i_at	10.3713	10.5283	10.4157	10.5376	10.7075	10.5078	10.3793	10.6944	10.7886	10.1585	10.1089	10.4205	10.1165	10.0947	9.90969	9.8871	10.0796	10.2649	9.80647	9.90274	9.40391
10003_f_at	11.9691	12.1493	12.1586	12.1632	12.0608	11.9315	11.661	11.7869	12.3263	11.5671	11.5085	11.9257	10.99	11.0822	11.2364	10.4168	10.5123	10.8408	10.05	10.1673	10.3462
10004_at	3.52448	3.24435	3.74905	3.80205	4.0927	3.69514	3.84533	3.81174	3.87719	3.34832	3.74807	3.61995	2.98706	3.29556	3.47288	3.21998	3.49882	3.25525	3.88719	3.63169	3.59612
10005_at	7.33553	7.29728	7.40166	7.05621	7.13451	7.18859	7.01805	7.34029	7.58501	7.0086	6.98452	7.09783	6.63809	6.55473	6.81136	6.73909	6.82811	6.88311	6.38169	6.93137	6.89961
10006_at	7.5253	7.44536	7.5254	6.13152	5.99923	5.81254	6.43795	6.39035	6.45279	6.21971	6.39582	6.18354	6.19344	6.39074	6.20569	6.40304	6.51039	6.27854	6.66726	6.93374	6.44559
10007_at	5.57457	5.53755	5.55542	7.37293	7.34484	7.15339	7.20626	7.16017	6.88328	6.7966	6.64011	6.60136	7.02717	7.08714	6.6282	6.9231	7.15484	6.70798	6.82159	7.22523	6.79051
10008_at	5.00513	4.97356	5.39488	5.55464	5.64562	5.39278	5.48228	5.38183	5.84523	5.30167	5.28494	5.61457	6.06627	6.21747	5.8039	7.02658	7.21304	6.00074	8.32542	8.95725	7.16728
10009_at	5.43815	5.35264	5.96057	6.20832	6.12814	5.67203	6.01041	6.0304	6.21156	4.83653	5.39618	5.38793	5.42349	5.06208	5.36296	5.13184	5.15313	4.69084	4.9482	5.0565	4.79855
10010_at	9.0507	9.15375	8.33082	9.00511	8.96834	9.03992	8.06392	7.92556	8.35065	9.5922	9.47657	9.68049	9.76283	9.36648	9.76752	8.69993	8.61667	9.12965	7.35318	7.7203	7.75914
10011_at	3.81533	3.1217	3.92414	3.6717	3.61386	3.53579	3.45375	3.50503	3.12244	3.6435	3.569	3.80344	3.57757	3.51397	3.76683	3.8113	3.15862	3.36797	3.39223	3.39103	3.33593
10012_at	8.9629	8.95643	9.42406	8.8328	8.43739	8.51928	7.15244	6.87508	7.7449	8.42789	8.1248	8.31458	8.34463	8.54195	8.5806	8.97286	8.92268	9.29854	9.91879	9.54916	9.63367
