ID_REF	GSM6711	GSM6712	GSM6713	GSM6715	GSM6717	GSM6726	GSM6728	GSM6729	GSM6730	GSM6731	GSM6732
10000_at	7.9	6.5	14.9	11.8	10.1	23.5	10	8.3	16.8	14.5	20
10001_at	561.6	699	470	663.9	755.9	609.3	664.7	487	828	1052.2	933.4
10002_i_at	2733.2	2397.2	2282.4	2948.5	3011.6	2521.6	2341.3	2773.7	2551.4	2382.3	1447.5
10003_f_at	8660.3	7499.7	8427	8408.6	8240.7	8561.4	7836.7	8617.1	7700.5	7722.6	7386.5
10004_at	2	0.8	3.8	7.3	1.9	6.3	5.7	4.4	7.3	16.8	1.4
10005_at	368.4	393.1	366	314	375.3	468.4	497.2	494	416.2	371.5	244.4
10006_at	94	146.9	123.5	89.1	134.3	121.3	147.8	142.4	86.2	127.1	93.2
10007_at	612.2	689.8	484.4	802.5	877.9	695.7	568.8	495.4	678.3	1103	886
10008_at	5	5.4	5.2	4.4	6	3.1	3.8	3.5	5	4.9	9.9
10009_at	38.6	19.9	42.9	8.6	18.9	63.6	36.9	37.5	31.5	9.7	8
10010_at	1755.6	2180.2	1180.8	2210.2	1788.4	936.5	1256.8	874.9	1313.6	2017.1	2204
10011_at	16.1	26.7	14.9	31.8	15	43.3	14.4	15.7	12	24.2	23.2
10012_at	594.5	824.8	238.3	288.9	413.1	155.3	428.4	212.1	696.1	341.8	455.2
10013_at	64.9	67.5	58.4	63.6	71.7	69.3	72	85.5	85.8	88.2	47.1
10014_at	272.6	360.3	276.5	294.6	252.8	170.7	200.2	185.7	244.8	379.6	385
10015_at	3893.9	3837.3	3539.1	4591.5	4129.3	4014.9	3614.8	3354.5	3240.1	5009.6	4699.1
10016_at	1040.9	1012.2	986.7	1312.4	1225.3	1105.5	1281.5	1160.5	1119.3	1149.2	1171.9
10017_at	3.9	3.8	4.5	7.1	4.3	4.9	3	3	16.3	3.6	4.4
10018_at	1204.3	684.1	1248.1	985.3	265.3	684.2	223	123.1	108.5	7.6	7.7
10019_at	3706.8	4274.6	2787.5	4323	2844.3	2039	1198.9	1045.1	1889.6	2447.8	3126.2
10020_at	512.6	559.7	556.5	512.9	493.9	440.1	448.5	483.8	453.8	478.5	412.2
10021_at	75.1	64.3	69.5	101.8	75.5	64.5	112.3	88.4	108.3	94.1	75
10022_at	0.8	0.9	1.2	0.9	0.9	1.3	0.9	1	1.1	0.9	1.1
10023_at	2.4	2	1.6	3	2.4	3.5	2	1.7	1.3	2.9	3.5
10024_at	222.1	235.3	222	231.8	284	201.3	184.7	218.1	191.4	217.7	135.5
10025_at	95	111.2	72.8	100.1	89.4	74	74.8	85	94.8	100.9	82.4
10026_at	2.2	1.8	2.4	3.4	2.5	2.2	1.5	1.4	2.5	2.2	5.1
10027_at	24.3	28.4	14.2	27.4	18	13.1	5.4	16	21.7	26.4	54.8
10028_at	63.5	95.1	92.8	101.6	110.6	76.5	86.1	113.5	91.3	112.1	102.6
10029_at	197	237.8	162.6	212.4	254.3	289.8	252.5	270.8	217.3	199.4	112.7
10030_at	82.2	77.9	137.6	96.8	101.8	73.7	80.9	60	129.5	65.5	70.7
10031_at	292.1	424.3	378.5	295	372.7	329.1	321	339.3	408	262.2	222.3
10032_at	140.9	175.6	186.1	172.1	180.5	176	156.1	158.1	147.8	155.4	156.7
10033_at	95.3	146	81.7	84	115	88.5	108.6	111.4	95.6	138	108.3
10034_at	671.9	843.5	1037.5	521.8	846.8	828.6	1097	956.1	663.9	731.3	422.3
10035_at	337.8	499.2	358.9	404	398.1	374.4	353.1	372.5	362.7	455.6	387.6
10036_at	108.8	177.2	95.5	128.7	108.9	138	156.8	131.1	208.9	82.5	102
10037_at	78.4	74.4	118.9	121.5	93.8	83.6	83.5	83	113.7	75.9	85
10038_i_at	166.6	238.5	212	244	218.8	220.2	104.3	138	209.4	179.2	190.4
10039_s_at	2.8	29.5	3.6	9	25.6	22.3	11.8	15.8	24	13.9	8.8
10040_at	16.1	33.7	18.8	27.4	27.2	26.9	11.4	23	33.1	22.6	26.8
10041_at	11.3	16.3	21.4	19.5	17.8	33.1	11.8	10.5	14.2	19.8	24.2
10042_at	40	46.2	39	65.1	68.4	53.7	49.5	58.3	66.6	80.1	62.2
10043_at	47.9	69.4	57.8	40	46.7	44.8	44.4	45.8	55.8	75.8	85.6
10044_at	579.1	732.6	652.3	701.9	798.6	751.8	726.1	763.9	723.3	556.3	531.4
10045_at	8106.3	8755.5	10269.6	7413.5	8477.5	8710.2	8014.9	7969.6	8126.3	8282.2	8132.2
10046_at	53.9	58	45.6	45.5	45.4	60	57.7	86.2	53.3	51	37
10047_f_at	10463.6	9504.4	10931.5	10119.4	9902.9	11534.1	9831.7	10877.2	9894.5	8762.4	9271.4
10048_at	70.8	78.3	85.1	65.8	66.2	74.1	66.7	101.6	87.3	90.2	92.8
10049_at	51.2	43.6	51.9	52.9	52.3	62.5	62.3	56.2	74.4	51.2	84.7
10050_at	408.7	388	434.3	451.4	376.2	405	362.2	386.6	563.2	432.9	571.4
10051_at	851.3	760	918.5	901.1	689.5	1038.1	998	907.5	1056.4	653.7	688.2
10052_at	390.8	410.5	341.8	401.4	541.2	297.1	555.9	534.8	553.5	634.8	538.1
10053_at	5538.7	6244.7	3144	6277.5	5849.1	4668.6	5954.8	4816.4	5262.3	4623.7	4485.3
10054_at	1707.4	2060.2	1179.5	1927.5	1651.7	1258.2	1276.8	894.8	1127.3	1785.9	1779.2
10055_at	180.9	273.5	237.8	155.4	220.5	215.3	186.8	196.1	217.4	172.5	211
10056_at	88	101.4	126.1	89	102.9	132.3	144.7	137.2	128.9	98.1	74.5
10057_at	34.8	59.7	33.1	41.6	54.4	28.9	23.3	34	41.2	39.4	27.2
10058_at	525.9	632.1	587.1	530.2	466.8	541.2	724.1	681.7	692.7	585.4	547.4
10059_at	860.2	999.3	835.9	666.2	872.3	823.7	1316.2	642.2	1392.3	1067.6	987.3
10060_at	508	824.5	393.1	634	458.8	343.2	336.3	148.8	794.3	517.8	750.7
10061_at	7229.4	6520.1	8588.7	7355.2	6142.6	8262	5265.1	5278.4	6964.1	4801.9	5830.6
10062_at	177.7	171.8	185.7	211.1	139	243.5	166.3	170.5	212.8	190.9	203.1
10063_i_at	553.3	530.2	791.8	515.9	467.1	1005.8	617.7	567.9	581.4	464.2	444.9
10064_s_at	155.8	122.6	179.4	188	162.9	229.9	202.6	185.8	191.3	258.1	185.3
10065_at	76.6	90.7	74.5	113.6	130	64.9	93.8	87.5	90.7	124.8	76.4
10066_s_at	526	661	383.7	699.2	705	422	814.7	615.1	624.8	872.3	621.8
10067_at	63.3	131.8	64.4	92.1	70	88.8	94.4	162.6	101.6	80.9	53.1
10068_i_at	10069.1	8153.5	9942.4	9127.1	7256.6	7951.9	8161.3	8159.7	9431	9568.6	9671.3
10069_f_at	6341.5	5168.9	5092	5490.4	4800.5	4375.3	5398.6	5532.2	5480.4	5774.3	5140.7
10070_at	51.7	61.4	59.1	56.2	57.5	59.6	81.2	112.1	110.3	130.5	129.3
10071_at	49.9	59.8	29.6	56.3	65	53.7	57.9	54.9	61.4	82.7	59.5
10072_at	13.4	16	22.6	24.3	22.3	27.6	19.3	26	33.3	52	47.8
10073_at	183.5	171.4	179.7	281.4	225.1	188.3	291.1	258.4	237.6	262	237.7
10074_at	5.4	7	18.4	8.6	5.8	3.5	3.2	10.4	3.3	7.7	3.2
10075_at	405	447.4	277.1	472.4	419.5	268.1	302	242.5	365.2	512.8	523.4
10076_at	49.3	53.1	52.4	48.4	59.1	34.4	55.8	44	102.1	47.9	25.5
10077_at	121.7	133.4	107	116.2	133.9	88.6	121.6	162.2	132.4	155.3	113.6
10078_at	90.9	99.6	65	86.6	85.7	46	63.1	72.3	67.7	133.1	103.5
10079_at	15.4	13.9	13.8	29.4	13.7	20.3	16.3	13.5	22.7	16.4	26.7
10080_at	5.9	33.1	28.1	5.4	9.5	9	10.2	30.7	24.5	21.2	31.1
10081_at	39.4	12.2	34.4	5.9	5	38.1	19.9	21.3	35.3	7.7	22.7
10082_at	20	20.9	28.4	36.1	40.1	48.2	24.1	28.5	33.2	31.5	34.9
10083_g_at	7.4	16.6	32.7	25.7	10.7	15.5	4.9	22.5	24.8	6.8	6.5
10084_at	31.1	45.1	18.8	27.4	5.5	23.7	13	14.6	38.1	26.5	37.2
10085_at	372.7	425	512.2	392.2	368.4	556.9	449.3	428.6	553.7	313.5	307.4
10086_at	86.3	126.2	94.9	93.6	125.5	103.6	83.9	99.9	114.8	112.6	85.2
10087_at	156.5	205.3	126.6	135.6	187.1	113.7	144.7	136.8	149.4	126.8	108.8
10088_at	225.5	254.4	214.2	257.8	239.9	151.5	237.6	221.7	286.3	259.3	246.1
10089_at	376.1	430.3	297	498	409.2	323.9	390.8	351.6	423.9	494.4	529
10090_at	57.9	77.2	45.5	53.8	65.7	45.1	57.8	60	61.7	77.9	79
10091_at	621.6	676.2	607.4	554.2	712.1	673.3	831.6	717.4	723.5	572.6	492.8
10092_at	708.9	764.1	773.8	834.7	794.1	769	982.6	1053.6	890.7	607.9	648.7
10093_at	307.7	164.1	203.2	321.4	214.6	246.3	254.4	235.9	319.4	279.3	273.8
10094_at	168.9	205.5	139.1	164.4	172.7	105.3	166.6	147.1	210.2	196.6	186.2
10095_at	124.5	152.5	146.8	145.2	152.5	136.8	146.4	169.1	156.1	195.5	177.3
10096_at	2714.3	2722.7	2318.5	3289	2510.1	2436.1	2140	2060.1	2210.5	2507.7	2350
10097_at	11392.8	10517.2	12637.9	12044.2	11572.6	14170	11132.8	11639	11449.4	9607.1	10222.6
10098_at	210.1	243.9	201.7	287.9	284	254.2	216.3	225.6	294.9	357.3	380.2
10099_at	157.1	209.1	182.4	216.4	174.8	104	151.9	111	293	262.6	313.3
10100_at	121.9	145.2	122.2	125.1	122.6	74.5	119.1	74.8	237.6	174.4	216.1
10101_at	481	626.1	529.5	690.5	528.8	429	498.7	509.1	580	600.5	765.7
10102_at	146.9	132.2	144.3	144.7	134.9	158.6	126.2	172.5	126	182.9	152
10103_at	106.9	113.4	89.7	74.9	124.2	68.9	106.2	115.3	167.2	147.6	155.3
10104_at	304.9	340.5	298.8	327	298.1	332.1	314.3	316.1	247	295.8	322.6
10105_at	23.9	35.6	33.8	20.6	20.9	26.9	22.5	20.4	17.4	30	27
10106_at	187.2	230.7	293.7	88.5	132.2	194	104.7	76.6	93.3	277.8	116.7
10107_at	143.7	203.5	152.1	132.9	168.5	148.5	223.2	197.4	171.3	170.7	153.4
10108_at	2621.1	2835.8	2584.2	2755.5	2481.1	2714.6	1836.8	2141.7	2714.6	2240.2	2182.7
10109_at	8.3	9	26.1	17.5	7.3	16.7	16	12.4	35.3	10.5	12.5
10110_at	131.2	128.7	127.2	123.6	82	112.1	96.7	89	118.1	94.6	69.5
10111_at	441.3	545.2	437.8	499.4	408.4	338.6	424.7	324.8	579.2	510.7	506.8
10112_at	630	679.8	613.6	642.3	605.7	540.1	616.5	639	638.8	590.6	634.8
10113_at	303.6	382.1	375.8	249	321.3	300.9	409.8	370	350.7	293.5	197
10114_at	502	833.3	677.6	358.2	643.8	671.4	907.6	778.7	589.4	522	328
10115_at	154.7	310.4	176.6	139.9	277.7	130.5	205.3	209.4	163.4	140.5	106.4
10116_at	434	577.9	435.1	349.1	459	307.7	351.9	487	439.2	440.1	441
10117_at	140.9	210.6	159.5	168.1	225.9	244.1	182.4	238.7	262.1	301.4	216.5
10118_at	317.3	340.2	268.8	249.4	270.2	253.8	218.8	269.4	235	291.8	300.9
10119_at	18.8	25.2	54.4	24.1	24.4	43.4	38.4	51.3	44.4	32.7	28.4
10120_at	251	259.6	287.9	295	201.5	289.4	321.8	331.2	341.4	246.5	282.7
10121_at	3465.6	3671.2	4032.5	3701.9	3325.9	4067.9	3164.8	2890.1	3405	3140.8	3807.4
10122_at	27.8	27.2	39.4	30.9	28	47.1	37.6	37.7	50.3	29.6	29.6
