ID_REF	GSM1133094	GSM1133095	GSM1133096	GSM1133097	GSM1133098	GSM1133099	GSM1133100	GSM1133101	GSM1133102	GSM1133103	GSM1133104	GSM1133105	GSM1133106	GSM1133107	GSM1133108
1415670_at	1463.4	1515.7	1362.2	1657.9	1468.9	1238.8	2067.6	1468.8	1471	1408.8	1403.9	1561.6	1465.2	1780.2	1579.9
1415671_at	2629.6	2820.8	2635.3	2774.1	2318	2362.2	2945.6	2472.7	2454.5	2485.5	2499.4	2453.7	1836.3	2338.6	2635.7
1415672_at	5132.5	4327.4	4559.3	4395.5	4717.8	5511.9	4329.2	4496.9	4476.9	4592.4	4748.1	4312	4755.2	4369.8	4890
1415673_at	1612.6	1324.3	1673.5	1392.6	1650.6	1550.3	1496.4	1586.6	1681.6	1481.8	1410.5	1467.2	1337.4	1272	1280.5
1415674_a_at	1908.6	1703.9	1966.9	1850.6	1988.7	2166.3	1768.4	1903.5	1980.1	1973.9	1900.7	1824.7	1571.2	1498.9	1795.9
1415675_at	1653	1486.4	1427.1	1621.4	1567	1558.8	1416.1	1460.3	1444.6	1619.6	1330.3	1212.5	1233.3	1110.5	1133.2
1415676_a_at	5576.8	5568.1	5703.1	6079.8	5810.5	5979.1	6654.1	5656.4	5464	5350.3	5037.9	4971.9	3815	3945.3	5484.8
1415677_at	364.3	472	285.9	401.4	434.3	365.3	286.6	492.4	409	367	384.2	478.5	303.2	367.9	541.7
1415678_at	2016.6	2185.2	1952.7	1986.2	1761.3	2841	2122.3	2239.6	1919.7	1850.7	2019.1	2167.3	2553.4	2090.7	2443.3
1415679_at	6113.2	4537.6	6176.5	5070	6528.7	7739.1	5176.8	6080	6777	6671.7	7506.7	6198.2	8232.7	6224	7364.4
1415680_at	2691.2	3227	2562.6	2579.6	2820.3	2599.4	2619.2	1687.9	1941.5	2281.5	2028.8	1651.3	2314.8	1418.7	1927.5
1415681_at	2206.1	2696	2308.5	2718.6	2265	2916.1	2588.8	2616.2	2185.9	2205.5	2191	2369.3	1934.5	1843.9	2740.7
1415682_at	471.1	472.3	404.2	524.3	407.7	418.3	532.2	668.3	599.4	440.8	514.7	731.6	640	671.2	619.1
1415683_at	4293	4186.3	4371.8	4215.5	4371.1	6013.7	4362.1	4260.6	4339.2	4258.2	4376.5	3716.9	4739.6	3036.7	4312.4
1415684_at	766	605.8	782.2	644	744.9	562.3	923.1	660.7	757.8	770.9	705.7	735.8	680.9	794.7	642
1415685_at	1629.8	1452	1267	1322.5	1311.3	2011.8	2088.9	2188.3	1516.4	1609	1549.4	1927.7	1869	1649.5	1744
1415686_at	1361.5	2026.8	1282.7	1961.9	1351.6	1664.7	1674.1	1762.8	1407.9	1418.1	1312.5	1689.5	1643.2	1849.6	1662.2
1415687_a_at	5276.1	4530.6	5662.4	4971.6	5012.9	4056	6558.8	5271.1	6812.5	5469.6	5602.8	6539.4	4757.2	6086.5	5913.4
1415688_at	3713.2	3097.3	3380.2	3144.2	3274.5	3966.2	2971.9	3327.3	3451.6	3449	3888.8	3633.9	5115.2	3386.7	4155.9
1415689_s_at	1335.4	1178.8	1332.1	1101	1143.1	613.6	1064.6	913	1248.7	1259.9	965.9	931.7	761.6	927.5	793
1415690_at	3212	3216.5	3158.1	3523.6	3203.2	2757.2	3116.4	3290.8	3190.3	3298.8	2482.5	2294.3	2176.5	2012.3	2577.3
1415691_at	1423.4	1680.5	1436.6	1653.8	1189.7	768.1	1388.7	1537.8	1264.7	1485.9	1577	1453.1	1842	1684	1318
1415692_s_at	10634.7	9605.5	11559.5	9512.8	13238.7	10033.4	12227.4	8953.8	10394.3	11101.9	10924.4	7822.3	9429.1	7154.3	10090
1415693_at	1536.2	1783.5	1519.7	1991.3	1537.8	1246.5	1899.9	1696	1199.1	1298.4	1566.7	1454.4	1251.6	1562.8	1507.8
1415694_at	315.5	675.2	410.1	353.3	431.2	388	692.9	395	444.2	277.9	863.6	912.9	833.4	751.6	891.3
1415695_at	7929.3	7465.5	9253.1	7527.2	9744.3	9888.4	7666.3	6717.6	7500.1	8879.8	7371.9	5890.9	6323	5125.9	6591.6
1415696_at	1774.7	2841.3	1943.7	2502.8	1981.3	2303	3056.3	2224.8	1894.2	1858.6	1701.5	2257.9	1627.6	2070	1863.3
1415697_at	2518.3	2138.3	2601.1	2197.5	2467.1	2350.1	2094.8	2237.5	2596.8	2592.7	2651	2173.8	3026.4	2554.2	2269.1
1415698_at	1899.7	3035.6	1908.2	3004.5	2120	1998.6	3222.2	2157.3	1490.5	1552.5	1556.1	1359.1	1656.1	1306.2	1594.2
1415699_a_at	4077.6	3617.8	4473.4	3511.5	4699.2	4711.8	4723.5	3976.1	4343.1	4326.5	4151.3	2665.4	3216.8	2487.8	2965.8
1415700_a_at	3359.3	4947	3539.1	4859.9	3424.8	3822.8	4616.4	4832.6	3467.9	3536.8	3573.8	4509.8	4530.4	3586	4308
1415701_x_at	35256.2	42644.5	42558.7	42380.1	43325.3	47027.5	43478.2	51522.4	47782.8	37239.3	45732.1	39861.7	42711.2	31847.5	44563.3
1415702_a_at	6212.5	8949.8	6093.5	8874.3	5972.7	8514.6	9958	7287.6	6002.9	6028.8	5706.7	7552.7	7097.6	7327.9	7551.2
1415703_at	3136.7	3146.9	2763.8	3128.9	2575.2	2322.6	2761.6	2480.5	2823.4	2803.4	2854.2	2574.4	3514.6	2945	2083.9
1415704_a_at	3417.4	5477.9	4601.6	5764.4	4850.1	3628.2	6251.7	4933.6	4238.4	4450.8	3877	4456.7	3046.2	3957.9	4592.5
1415705_at	710.4	926.7	689	765.1	692.7	810.7	676.3	720.3	839	703.3	670.7	645.9	416.9	668.5	641.7
1415706_at	4065.9	5595.8	4549.2	5609.7	3672.2	1837.2	4482.3	6173.2	4177	3925.6	5124	5944.7	6752.7	5832.3	5643.5
