ID_REF	GSM45194	GSM45279	GSM45281	GSM75830	GSM75831	GSM75832	GSM45282	GSM45283	GSM45284
10000_at	30.7	35	21.6	41.6	24.7	20.9	29.5	18.6	22.9
10001_at	363.1	805.2	174.5	275.7	473.9	301.1	262.2	383.8	534.2
10002_i_at	1889.4	1440.7	1279.3	2416.9	1408.8	1696.5	824	1647.1	1791.3
10003_f_at	4760.1	4194.4	4468.1	4762.2	2973.1	4168.8	3160.9	3656.4	2832.7
10004_at	14.7	16	22.6	4.7	5.2	8.3	17.2	14.4	2
10005_at	256.4	340.4	267.2	301.1	313.8	420.3	254.2	358.8	356.9
10006_at	71.3	88.4	75.7	65.9	114.5	111.1	89.8	137.4	92.2
10007_at	960.9	1920.3	1101.7	734.7	2110.1	1840.1	1639.4	1612.9	2170.7
10008_at	11	5.2	7.3	282.2	437.2	628.8	378.5	354.1	612.1
10009_at	60.9	40	46.2	97	42	51.8	65.8	73.5	27.5
10010_at	666.1	656.5	573.5	784.1	489.7	487.2	407.9	668.7	415.6
10011_at	16.8	46.3	28.5	48.5	23.5	3.7	35.2	25.2	24
10012_at	120.2	135.4	86.3	102	127.6	44.6	66.4	114.8	70
10013_at	130.8	157.6	111	98.2	97.4	100.6	74.1	122	71.4
10014_at	637.7	630	625.4	827.2	716.4	612.3	675.4	876.9	731.5
10015_at	2375.9	1186.1	2322.3	1485.4	854.6	940.1	854.7	2083.3	877.2
10016_at	781.7	479.3	624.2	735.7	300.3	244.4	359.8	712.4	213.5
10017_at	70.8	97.7	59.1	106.3	68.9	79.9	109.8	87.6	64.7
10018_at	4300.1	5460.5	4320.5	6874.2	6362.2	7403.1	5962.6	5974.2	5135.1
10019_at	1478.2	1489.1	1638.2	1662.4	1273.2	933.7	1504.1	1742.8	1044.7
10020_at	143.5	209.8	140.5	151.6	237.4	154.3	224.3	251.3	142
10021_at	37.9	39.5	28.6	29.5	33.1	36.1	37.9	37.5	18.2
10022_at	1.1	0.9	1.4	2	14.4	3.9	26.8	2.7	21.1
10023_at	43.9	11.8	5.2	38.4	77.2	58.1	53.3	19	41.1
10024_at	138	173	112.9	94.9	180.8	173.7	112.5	149.4	227.8
10025_at	38.8	51.5	47.5	26.1	47.5	24	38.8	34.5	50.7
10026_at	0.8	2.2	2.3	1.4	1.6	1.7	2.6	0.9	3.4
10027_at	113.9	403	68.7	140	355.1	203.9	164.1	71.1	232.3
10028_at	60.3	112.3	59.2	127.5	198.6	71.8	185.2	100.2	96.9
10029_at	102.6	111	67.3	46.5	61.2	67.2	59.3	51.1	43.2
10030_at	44.2	158.8	87	78.6	76.5	19.5	67.7	65.2	74.3
10031_at	390	428.3	465.2	822.9	507.8	584.3	529.6	642.5	387.5
10032_at	114.6	138.7	85.6	128.9	212.9	118.5	151.5	186.7	99.3
10033_at	80.3	86.9	83.9	79.1	71.4	68	76.3	96.5	46.9
10034_at	280.8	232	236.5	223.3	265	197	358.2	322.4	222.7
10035_at	280.7	411.4	214.6	310.4	450.4	413.9	334.4	329.3	394.5
10036_at	255.5	145.7	251.2	92.6	175.4	205.5	144.3	190.9	203.1
10037_at	72.2	59.4	55.1	164.8	98.1	91.2	140.2	52.8	109.3
10038_i_at	644.4	441	551	1096.4	591.8	960.9	750.6	586.2	551.2
10039_s_at	61.2	44.5	71	117.4	67.4	79.2	110.3	57.8	60.9
10040_at	92.1	64.3	90.2	114.5	79.5	89.1	82.6	76	73.1
10041_at	26.4	34.2	26.2	33.4	23.3	28.9	44.4	16.5	17.9
10042_at	30.4	27	6.4	21.9	34.2	27.2	25.6	12.2	26.4
10043_at	175.4	429.1	125.4	232.5	859.2	626.9	435.5	176.7	1010.2
10044_at	242.7	177.3	211.9	97.8	229.7	148.6	155.7	140.2	148.6
10045_at	6449.5	3737.3	6294	2717.5	3274.8	4827.2	3386.7	5280.6	2529.3
10046_at	17.7	17.5	18.6	17.8	21.8	20.2	20.2	14.6	24.4
10047_f_at	7021.1	6030.5	6630.4	5591.2	4153.7	8004.7	5444.2	6680	3267.6
10048_at	123.6	421.3	90.6	114.5	204.6	168.7	131	112.5	144.2
10049_at	94.4	158.5	109.4	95.2	118.2	142.2	122.6	69.6	114.6
10050_at	375.5	729.9	213.9	555.1	693.1	728.3	473.7	561.3	653.3
10051_at	338	496.1	162.7	399.7	394.9	397.7	418.2	491.7	287.4
10052_at	150.8	127.8	134.4	170.3	117.7	100.8	131	235.3	54
10053_at	2357.2	1556.2	2173.2	3363.6	2289	2086.9	2336.2	3319.9	1204.2
10054_at	172.9	178.2	167.6	191.9	153.4	214	142.7	196.9	102.3
10055_at	131.4	163.1	123.9	112.7	159.3	171.2	151.2	104.4	104.1
10056_at	516	1132.7	424.9	372.4	665.6	622.8	502.6	376.5	594.6
10057_at	39.4	123.3	35	80.2	93.2	118.1	107.4	47	98.8
10058_at	333.7	771.1	297.7	124.6	378.9	374.1	338	257.7	270.9
10059_at	1569.1	1387.5	1337.8	818.1	1023	1182.5	1093.6	1653.9	840.1
10060_at	537.9	922.6	566.6	470.1	1114.8	1403.7	567.5	581.5	1236.1
10061_at	5720.4	8714.3	6307.1	8148.6	5041.1	10193.9	6195.4	5975.7	5989.8
10062_at	401.3	998.8	437.2	719.6	656.7	730.6	730.6	637.5	552.3
10063_i_at	188	275.7	154.1	62	131.4	157.4	112.5	86.5	85.7
10064_s_at	198.9	342.7	109.3	126.8	201.1	182.3	160	136.7	108.2
10065_at	49.1	90.8	37.4	35.9	49.8	25.3	33.6	36.4	14.2
10066_s_at	137.6	59.5	87.3	194.4	105.2	200.1	132.6	209.6	45.3
10067_at	82.7	159.3	77.6	81.7	135.7	205.6	78.8	70	98.5
10068_i_at	5045.4	3482.1	3519.6	4360.3	3200.7	2153.1	2512.2	6381.1	2925.7
10069_f_at	1800.5	1413.7	1249.7	1497.8	1020.2	683.3	895.3	2092.8	991.8
10070_at	52	65.7	33.9	51	21.3	15.5	8.2	31.6	13.8
10071_at	58.3	90.5	33.6	53.7	56.7	62.8	64.8	46.3	54.2
10072_at	74.4	347.6	44.7	132.3	361.1	247.9	130	96.2	357.7
10073_at	69.6	106.7	50.6	87.9	90.3	70.5	63.2	85.5	98.6
10074_at	2.6	15.6	1.2	1.6	0.9	2.9	8.5	0.6	0.9
10075_at	625.2	1642.4	401.7	602	932.2	416.3	474.9	502.2	868.3
10076_at	24.1	6.8	4.8	10.1	7.9	40.2	22.6	8.3	36.7
10077_at	45.4	83.9	50.4	75.6	102.6	92	88	90.1	84.4
10078_at	54.9	55.9	37.1	64.5	145	130.2	125.7	131.3	117.9
10079_at	41.4	35.5	48.6	50.6	16.1	40.3	39.6	16.8	28.7
