ID_REF	GSM86746	GSM86747	GSM86752	GSM86753	GSM86758	GSM86764	GSM86748	GSM86759	GSM86755	GSM86756	GSM86757	GSM86749	GSM86750	GSM86751	GSM86761	GSM86762	GSM86763	GSM86767	GSM86768	GSM86769
10000_at	1.201633861	1.321928095	1.722466024	1.807354922	1.765534746	1.584962501	1.201633861	0.263034406	1.678071905	0.678071905	1.432959407	1.584962501	1.847996907	1.321928095	1.887525271	1.432959407	1.722466024	0.925999419	1.678071905	1.887525271
10001_at	6.485426827	6.23457796	7.189824559	7.082149041	7.033423002	7.162894799	6.651051691	6.336283388	7.059614856	6.941341105	6.777419716	6.44625623	6.076815597	6.545350645	6.815063017	6.76420813	6.776103988	6.62935662	6.244125943	6.737416366
10002_i_at	9.355791547	9.35974956	9.476746204	9.329796338	9.452653086	9.041385369	9.166163083	9.142617655	9.466586338	9.407692649	9.066627409	9.83320636	9.359529955	9.112439507	9.412993173	9.17467606	8.885696373	8.450386479	8.962317655	8.827183896
10003_f_at	10.97168724	11.10295989	11.00183038	10.82877119	10.99668532	11.09473751	10.8023548	10.83652381	10.94741778	10.78692302	10.75171142	11.24198315	11.07521171	10.65785434	10.73657105	10.70511396	10.57421507	10.57014032	10.77371617	10.64790807
10004_at	1.378511623	1.847996907	1.963474124	1.632268215	1.925999419	1.632268215	1.485426827	1.963474124	1.321928095	0.847996907	1.201633861	-1.321928095	1	1.432959407	1.632268215	3.292781749	1.070389328	1.925999419	0.765534746	2.137503524
10005_at	6.569855608	6.649615459	6.972692654	6.77478706	7.002252452	6.87774425	6.824004051	6.449561375	6.804776378	6.862947248	7.156841525	6.997744026	6.599912842	7.10433666	6.627898616	6.860466259	6.754887502	6.703211467	6.193771743	6.880195729
10006_at	5.563768278	5.501439145	6.355791547	6.223036338	6.022367813	5.213347282	5.797012978	5.623515741	6.213347282	6.098032083	6.03562391	5.632268215	5.655351829	5.923624611	6.303780748	6.06608919	5.897240426	5.658211483	4.87774425	5.596935142
10007_at	6.87282876	7.113742166	7.417852515	7.24697806	7.797661526	8.36719631	7.813139851	6.678071905	7.470048726	7.353146825	7.625708843	7.203592714	7.185866545	7.814422247	7.837312556	8.541871009	8.463524373	8.713214653	7.689997971	8.285402219
10008_at	2.944858446	3.053111336	3.201633861	2.201633861	2.432959407	3.292781749	2.744161096	2.10433666	2.786596362	2.350497247	3.070389328	3.44625623	2.981852653	1.584962501	4.247927513	4.694880193	4.614709844	4.700439718	3.827819025	4.655351829
10009_at	4.5360529	4.364572432	4.177917792	3.678071905	4.371558863	3.62058641	4.026800059	3.925999419	4.017921908	3.887525271	4.5360529	5.169925001	4.459431619	4.399171094	4.044394119	4.263034406	4.523561956	3.392317423	2.887525271	4.263034406
10010_at	8.368069877	8.437127844	9.084011098	8.919161284	8.657139777	8.929554316	8.895726738	8.601027897	8.87897051	8.782998209	8.349170631	7.87835751	8.030667136	8.674545394	8.599168993	8.225930411	9.123604124	8.806388508	8.310612782	8.92659251
10011_at	2.201633861	2.584962501	2.169925001	1.722466024	2.321928095	2.510961919	1.807354922	2.608809243	1.765534746	1.584962501	1.321928095	2.292781749	1.632268215	2.485426827	1.263034406	2.201633861	2.169925001	2.744161096	1.722466024	1.432959407
