ID_REF	GSM105336	GSM105340	GSM105344	GSM105335	GSM105339	GSM105343	GSM105333	GSM105337	GSM105341	GSM105334	GSM105338	GSM105342
10000_at	2.488859446	2.608161067	2.496559497	2.417887612	2.395114911	2.540875372	2.408301545	2.672468339	2.25684159	2.598265147	2.353402341	2.230058491
10001_at	7.682685652	7.744282212	7.713578976	7.947549278	7.840312158	7.841815913	7.984093709	7.847815306	7.935671893	7.768409315	7.633474804	7.737632686
10002_i_at	9.718791425	9.771245148	9.853546606	9.590263296	9.787933567	9.610781253	9.758989339	9.913701746	9.773444201	9.722269622	9.44196271	9.638846761
10003_f_at	11.70593472	11.7343074	11.65970162	11.62112695	11.6318955	11.66605975	11.8557367	11.89131285	11.81332827	11.71385473	11.50129981	11.73561525
10004_at	2.923550454	3.130940751	2.755607601	2.791320241	2.85336695	2.715364066	2.894493787	3.036563115	2.846888411	2.925862736	2.674099029	2.776533573
10005_at	7.692001681	7.671498608	7.614754008	7.549607568	7.410587028	7.550646755	7.783810213	7.777827347	7.760566939	7.671321683	7.513324927	7.680007818
10006_at	6.396351324	6.181291425	6.439864121	6.286005065	6.367357086	6.578336458	6.721317969	6.815088642	6.78640033	6.510455622	6.39279309	6.544313818
10007_at	8.513032725	8.440499624	8.311943537	9.002879696	9.06621569	9.088091231	8.330822786	8.560118803	8.390302254	8.333683124	8.235861062	8.318045633
10008_at	4.618808337	4.79836163	4.655426251	4.594476891	4.846548475	4.467253392	4.629065137	4.750172345	4.942275209	4.6886112	4.496960802	4.786042177
10009_at	4.969772148	5.121069294	5.048632907	5.11923996	5.134146996	5.001644636	4.944924021	5.04284567	5.093141808	5.039226146	4.74681257	4.968095361
10010_at	9.578980213	9.42289103	9.249201173	9.078593825	9.030443681	8.990603217	9.373108753	9.208339233	9.188905289	9.106976388	8.83828685	9.155569633
10011_at	3.48864354	3.483867359	3.236882897	3.185841179	3.257627706	3.198513012	3.376373742	3.457961944	3.390681441	3.45667475	2.748201439	3.450709791
10012_at	5.670693068	5.574358893	5.510319524	6.526020283	6.31553906	6.517127636	5.869397667	5.220879375	5.565658099	6.515778672	5.936970015	6.166755609
10013_at	5.476002493	5.713660077	5.522102842	5.688057237	5.576431438	5.598445604	5.630347222	5.67531632	5.772777746	5.482861187	5.597227229	5.533264313
10014_at	7.513909155	7.539794698	7.265511909	7.857993432	7.827469738	7.788770526	7.393124419	7.204453768	7.476276366	7.313155136	7.114929167	7.323982472
