ID_REF	GSM153907	GSM153909	GSM153911	GSM153913	GSM153915	GSM153908	GSM153910	GSM153912	GSM153914	GSM153916
10000_at	2.887525271	2.10433666	1.722466024	3.121015401	1.5360529	2.459431619	2.321928095	1.722466024	2.232660757	1.584962501
10001_at	7.691394579	7.740118043	7.493455201	7.571373436	7.656067274	7.593204354	7.778734244	7.527477006	7.582706527	7.632268215
10002_i_at	10.08852326	10.28771238	10.52952816	10.43691971	10.4342112	10.13159977	10.30161051	10.42238019	10.48381578	10.61111704
10003_f_at	11.89284635	11.67511904	11.87789759	11.91979443	11.91431038	11.76404222	11.65521764	11.77552798	11.84392105	11.73072486
10004_at	1.137503524	2.070389328	0.378511623	-0.736965594	1.263034406	1.807354922	2.40599236	0.584962501	-1.321928095	0
10005_at	8.087993146	7.557655155	7.71630504	7.804131021	7.816983623	7.865423978	7.476543706	7.578183968	7.70528679	7.775445674
10006_at	6.646738698	6.261154673	6.496654083	6.556122818	7.101187815	6.318316841	6.240314329	6.44625623	6.499845887	6.917670434
10007_at	9.671894842	8.48058827	9.338067798	9.334496768	9.319897877	9.57497189	8.403438163	9.452858965	9.182394353	9.212861117
10008_at	1.432959407	0.485426827	1.201633861	0.584962501	1.321928095	1.137503524	0.584962501	1.263034406	0.485426827	0.925999419
10009_at	6.224966365	5.99095486	6.314696526	7.203592714	6.62058641	5.963474124	6.173926932	6.40599236	6.841721581	6.399171094
10010_at	10.09420967	9.806227376	9.811856314	9.336729697	9.330916878	9.937226674	10.14542272	9.619853147	9.404077136	9.516684949
10011_at	3.247927513	2.722466024	2.485426827	2.232660757	3.153805336	3.070389328	2.963474124	2.944858446	1.765534746	2.10433666
10012_at	5.672425342	5.004501392	5.416164165	5.017921908	5.044394119	4.958842675	5.61176256	4.911691582	5.189824559	5.523561956
10013_at	4.817623258	4.504620392	4.705977902	4.842978832	4.666756592	4.705977902	4.716990894	4.596935142	4.548436625	4.977279923
10014_at	8.346513733	7.787249608	8.188836073	7.958262697	7.953614461	8.321026129	8.0061858	8.089053172	7.563005553	7.692092375
10015_at	10.38186736	10.54032181	10.53527538	10.37438746	10.40822358	10.32845054	10.5533413	10.43379406	10.39628367	10.40269234
10016_at	8.778405724	8.77280941	8.593951284	8.489045125	8.385431037	8.785942819	8.880195729	8.556506055	8.368506462	8.449148645
10017_at	1.963474124	3.087462841	0.584962501	0	2.432959407	0.847996907	3.247927513	1.137503524	-0.152003093	0
10018_at	11.92135748	11.84207529	12.07591363	11.96816277	11.85167097	11.78496195	11.81830256	11.91071767	11.79356267	11.65356166
10019_at	10.74852832	10.31842983	10.4809921	9.976277704	9.930441673	10.59049349	10.40599236	10.38521531	9.975418104	9.994919089
10020_at	7.616916363	7.427103287	7.394033895	7.314696526	7.430452552	7.491051376	7.403438163	7.419538892	7.322829498	7.432124273
10021_at	5.523561956	5.426264755	5.300123725	5.153805336	4.968090752	5.236492618	5.575917361	5.201633861	5.346956889	5.177917792
10022_at	-1	-1.321928095	-1.321928095	-1.736965594	-2.321928095	-1.736965594	-1.736965594	-2.321928095	-1.736965594	-2.321928095
10023_at	0.378511623	0.678071905	0.485426827	0.137503524	1.722466024	0	-0.152003093	-0.514573173	-0.736965594	-0.321928095
10024_at	7.348728154	7.838573653	7.479780264	7.125155131	7.200653436	7.338067798	7.558420713	7.333602628	7.032321287	7.081083929
10025_at	4.727920455	4.916476644	4.887525271	4.981852653	5.070389328	5.173926932	4.925999419	4.781359714	5.197708158	5.274261661
10026_at	1.137503524	-0.152003093	0.584962501	0.678071905	0.485426827	0.925999419	3.10433666	0	0.263034406	0.263034406
10027_at	4.255500733	4	3.981852653	3.797012978	3.277984747	4.137503524	4.439623138	3.596935142	3.247927513	3.596935142
10028_at	6.199672345	6.307428525	5.963474124	6.263034406	6.091699834	6.121015401	6.381975479	6.116863758	6.057450272	6.153805336
10029_at	6.738767837	6.589463893	6.630813152	5.94016675	6.259272487	6.714245518	6.123086751	6.638073837	6.399171094	6.506208389
10030_at	4.906890596	4.672425342	4.392317423	4.54225805	4.504620392	4.510961919	4.655351829	4.925999419	4.590961241	4.590961241
10031_at	8.514516816	8.458201525	8.439623138	8.713214653	8.723148957	8.047669251	8.13442632	8.231221181	8.40045254	8.338513555
10032_at	7.317412614	7.283551423	7.080018029	6.851749041	6.744161096	7.047669251	7.275193334	6.891176125	6.501439145	6.601399391
10033_at	5.50779464	5.649615459	5.285402219	5.274261661	5.48864354	5.350497247	5.469234794	5.053111336	5.325530332	5.141596278
10034_at	8.884170519	8.775116404	8.568336182	8.812819074	8.923327485	8.677719642	8.852061279	8.456149035	8.969242604	9.080284578
10035_at	8.136991112	7.885696373	8.087993146	7.893604905	8.012903833	7.927777962	7.775445674	7.914086097	7.656782364	7.753551055
10036_at	6.017921908	5.902073579	5.526694846	6.477353527	6.48058827	5.786596362	6.004501392	5.776103988	6.553053253	6.366322214
10037_at	5.663913842	4.786596362	4.916476644	4.842978832	4.087462841	5.14974712	4.807354922	4.995484519	5.053111336	5.125155131
10038_i_at	7.392317423	6.614709844	7.045486656	6.58044702	6.703211467	7.033423002	6.780047576	7.106432078	6.537606691	6.676662335
10039_s_at	4.44625623	4.070389328	4.285402219	3.378511623	4.292781749	4.572889668	3.584962501	4.277984747	4.247927513	4.343407822
10040_at	4.584962501	4.078951341	4.572889668	4.121015401	4.10433666	4.504620392	4.217230716	4.683696454	4.44625623	4.161887682
10041_at	3.498250868	3.548436625	2.906890596	3.017921908	3.392317423	3.700439718	2.608809243	3.392317423	3.137503524	2.584962501
10042_at	4.517275693	4.285402219	3.981852653	3.432959407	3.584962501	4.185866545	4.169925001	4.087462841	3.548436625	3.99095486
10043_at	5.181897643	5.332707934	5.350497247	4.64385619	5.133399125	5.048759312	5.343407822	4.949534933	4.504620392	4.40599236
10044_at	8.218199944	8.396604781	7.893604905	8.029011087	8.218684313	8.031770114	8.294620749	8.06501215	8.030115331	8.031218731
10045_at	11.30081012	11.27251315	11.42710329	11.18065512	11.15955603	11.33656235	11.29777606	11.48693555	11.0379587	10.95601308
10046_at	4.321928095	4.578938713	4.378511623	4.09592442	4.529820947	4.285402219	4.62058641	4.070389328	4.277984747	4.478971805
10047_f_at	12.25423144	12.35129815	12.40373106	12.49742775	12.44850352	12.14831769	12.02465489	12.35733206	12.31512125	12.1950338
10048_at	5.778734244	6.193771743	5.8899602	5.842978832	5.705977902	5.539158811	6.059614856	5.608809243	5.491853096	5.83541884
10049_at	5.776103988	5.649615459	5.221103725	4.958842675	4.882643049	5.911691582	5.605849867	5.236492618	4.760220946	5.061776198
10050_at	7.974988112	8.051480865	7.707359132	7.411087227	7.526694846	7.66106548	7.870981124	7.762215916	7.217230716	7.206526016
10051_at	8.523953939	8.77939106	8.493455201	8.490650349	8.520029304	8.417008587	8.263034406	8.67912818	8.352264173	8.371123201
10052_at	7.772149591	7.312882955	7.269594252	6.998872454	7.274261661	7.601399391	7.489446599	7.14974712	7.098032083	7.153805336
10053_at	11.43207206	10.8897321	11.27966861	11.23941952	11.20181762	11.54129025	11.04603261	11.15025502	11.31639468	11.28603788
10054_at	10.54351522	10.21395476	10.25432003	9.680007818	9.943393929	10.34717842	10.45625173	9.998026216	9.890112246	9.956376157
10055_at	6.665335917	6.716990894	6.422905743	6.704595348	6.414473836	6.581953751	6.984133595	6.485426827	6.332707934	6.343407822
10056_at	6.474111514	6.824004051	6.381975479	6.110613806	6.311067102	6.364572432	6.804776378	6.475733431	6.332707934	6.112700133
10057_at	3	3.765534746	3.887525271	3.754887502	3.99095486	4.292781749	3.867896464	3.121015401	3.307428525	3.596935142
10058_at	5.885086225	5.865423978	5.746850183	5.822730148	6.106432078	5.804776378	5.289096702	5.799605422	6.330916878	6.361066489
10059_at	9.059614856	9.350276229	8.994636291	8.925109324	8.994919089	9.226893814	9.123086751	9.071998581	8.824640581	8.761883612
10060_at	7.685099172	7.782015335	7.663913842	6.942514505	6.92243574	7.830356747	7.927185358	7.883865155	6.840463234	6.899659026
10061_at	11.86027225	11.65150022	11.99686183	12.18997895	11.94727165	11.68964861	11.42117069	12.02261055	11.85556931	11.64426189
10062_at	7.67030217	7.255500733	7.469234794	7.466790238	7.474111514	7.434628228	7.216260837	7.466790238	7.258330473	7.189824559
10063_i_at	5.9795681	6.264911693	5.947198584	5.074676686	5.730639956	5.87036472	5.970393538	5.951867504	5.314696526	5.270528942
10064_s_at	6.23457796	6.605849867	5.770829046	5.942514505	6.123086751	6.011227255	6.215290306	6.159871337	5.837943242	5.914086097
10065_at	4.672425342	4.632268215	4.161887682	4.472487771	4.177917792	4.760220946	4.478971805	4.201633861	4.044394119	4.399171094
10066_s_at	7.686500527	7.410239331	7.427103287	7.260213887	6.918863237	7.896029603	7.859224162	7.059614856	7.010108453	7.192785959
10067_at	4.517275693	3.5360529	4.201633861	4.008988783	3.944858446	4.145677455	3.733354341	3.655351829	3.847996907	3.944858446
10068_i_at	12.18289089	11.98028241	12.24943942	12.19611028	12.08251499	12.24537444	12.21535098	12.47215773	12.71583333	12.36090194
