ID_REF	GSM153627	GSM153628	GSM153631	GSM153632	GSM153633	GSM153634	GSM153629	GSM153630
10000_at	3.419538892	4.169925001	3.121015401	4.749534268	3.321928095	4.638073837	3.572889668	4.566815154
10001_at	8.566815154	9.77774846	8.833522636	10.22905912	9.208478242	9.305377786	7.731319031	10.00281502
10002_i_at	10.71106465	8.533329732	9.817303476	9.782179194	9.835260919	9.718532876	10.58524425	9.820657653
10003_f_at	12.35521343	9.337398903	10.94185459	10.31356331	10.96188374	10.36555695	12.20190949	11.04848687
10004_at	-0.321928095	3.572889668	-1	-0.152003093	-0.321928095	1.925999419	1.5360529	1.722466024
10005_at	8.407692649	7.999436337	7.438791853	8.457380879	8.183883459	7.947783026	8.471268764	9.131599773
10006_at	6.439623138	6.648177796	6.169925001	7.078951341	7.602884409	6.74281467	6.309248961	7.529820947
10007_at	8.783653086	8.001126665	9.745842363	8.93516505	10.86619709	8.646018611	8.864805194	10.22315704
10008_at	1.722466024	3.201633861	8.354469792	4.666756592	9.451004998	2.632268215	3.678071905	4.727920455
10009_at	7.459431619	0.925999419	5.026800059	3.733354341	3.935459748	1.5360529	5.429615964	1.963474124
10010_at	11.93302669	11.43212427	11.17030065	11.27297963	10.75605588	10.27391213	11.64399144	11.46418835
10011_at	4.321928095	4.590961241	0.137503524	4.857980995	2.5360529	4.99095486	4.307428525	4.307428525
10012_at	7.405141463	7.67030217	6.224966365	8.04384754	4.852997588	7.187846909	5.87036472	8.197708158
10013_at	7.044394119	6.857980995	7.001126665	7.296457407	7.544578117	6.316507819	6.87897051	7.58345891
10014_at	8.349170631	8.941047606	8.901168595	10.51629099	10.15165083	10.98384867	8.029563314	11.22544847
10015_at	9.528258743	7.846744023	9.940607246	10.07186454	9.819859747	9.155071191	8.880501871	9.558420713
10016_at	10.18784691	8.540709263	9.030115331	9.055011227	9.516684949	8.121015401	10.05297553	9.388878339
10017_at	2.378511623	2.632268215	4.689299161	1.137503524	3.925999419	0.137503524	0.378511623	4.385431037
10018_at	11.8853532	8.688949628	10.90305334	8.270996061	11.64930109	9.01234519	11.86990224	10.77082905
10019_at	12.84617595	12.04183024	11.07166347	12.4484519	11.52552081	11.89079626	12.78594282	13.09758775
10020_at	7.691394579	6.847996907	6.506208389	6.892391026	7.259272487	6.74819285	7.814422247	8.604738534
10021_at	5.663913842	6	5.03562391	6.399171094	5.956521363	4.930737338	5.87036472	6.532940288
10022_at	0.263034406	9.075746538	2.485426827	11.82495874	3.277984747	12.44842608	0.137503524	7.14363831
10023_at	5.354028938	9.653203362	4.517275693	12.18735207	3.887525271	12.51261702	4.705977902	6.517275693
10024_at	8.349170631	8.018478396	8.11113567	8.399598369	8.582330188	7.534497434	8.25502857	8.597307691
10025_at	5.626439137	6.730639956	5.857980995	6.651051691	6.910492832	6.309248961	6.048759312	7.437960088
10026_at	2	5.981852653	3.070389328	7.198690586	3.277984747	6.920055055	1	6.309248961
10027_at	7.87897051	10.64853735	8.807032856	11.50610919	10.10039953	11.59483776	7.6043679	10.68360874
10028_at	5.469234794	3.277984747	1.887525271	5.378511623	3.201633861	6.053111336	5.43629512	7.068240861
10029_at	6.857980995	7.630813152	6.45779126	10.2062818	7.597680144	9.929258409	6.672425342	7.87282876
10030_at	5.847996907	7.444600814	6.078951341	7.887525271	6.437960088	6.332707934	6.253611152	8.658568541
10031_at	9.484822894	7.292781749	7.600656308	8.138015753	7.854868383	9.465362332	9.164906927	8.482606308
10032_at	5.663913842	7.023477152	5.43629512	8.106955457	6.449561375	7.970968661	5.529820947	8.214804795
10033_at	6.847996907	6.749534268	7.820178962	7.985841937	8.242697768	7.925406083	6.715618859	8.050936965
10034_at	9.108524457	7.692092375	7.553053253	8.788228924	8.683345562	8.806710718	9.264911693	9.216988308
10035_at	7.880807948	6.121015401	6.925999419	7.086401646	7.321928095	6.279842694	8.035073997	7.400879436
10036_at	6.277984747	7.194756854	6.226893814	7.76420813	6.715618859	7.267723052	6.633721813	8.349612972
10037_at	7.033423002	5.809928866	7.222070355	6.253611152	6.727920455	5.584962501	6.087462841	6.465974465
10038_i_at	10.45399077	11.38704799	10.72545147	11.73669788	10.28274095	9.790674309	9.984988019	12.18304603
10039_s_at	7.430452552	9.367633159	8.336283388	9.310158318	7.9795681	7.046578367	6.988684687	9.842507491
10040_at	8.263503957	9.440661571	9.095397023	9.962173031	8.370687407	7.529040056	7.953032377	10.39467705
10041_at	4.247927513	2.765534746	4.64385619	3.944858446	4.958842675	1.378511623	2.40599236	4.478971805
10042_at	5.392317423	3.336283388	4.161887682	5.224966365	4.781359714	5.145677455	5.608809243	5.705977902
10043_at	8.479376091	10.60529431	11.00506308	10.38208359	12.04909979	9.212861117	9.144403327	10.78790256
10044_at	8.896332404	8.03727239	7.767522386	9.609917445	8.701479748	10.71381608	8.328674927	8.261624836
10045_at	9.616548844	7.299208018	9.49625461	8.73369328	10.6858876	6.726558779	9.97384084	10.72928085
10046_at	5.181897643	5.378511623	4.689299161	5.091699834	4.949534933	5.392317423	4.738767837	5.822730148
10047_f_at	13.03194238	11.64304445	12.5794338	12.57312644	12.49463061	12.38159702	13.02080636	12.62552621
10048_at	6.809928866	9.467197952	6.874059203	9.729790662	7.494255587	8.957102042	6.697662633	9.806871796
10049_at	8.070925945	5.786596362	6.076815597	5.061776198	5.741466986	5.402585758	7.883254231	6.692092375
10050_at	9.49765228	10.34673533	9.276357079	11.66133275	9.836997109	12.26250598	9.615629637	11.23774773
10051_at	9.716990894	8.025139562	8.421223299	9.247690209	8.714245518	8.089582893	9.708566625	9.290479698
10052_at	8.904484098	8.536830005	8.752547906	10.02956331	8.767853393	10.97060924	8.93516505	9.391673219
10053_at	12.01656457	9.174925683	11.01854794	10.30651745	11.12979817	10.57950451	11.91315121	10.53925576
10054_at	9.004782263	8.754219433	8.456149035	8.813781191	8.118422024	8.501040996	9.142362379	8.680183682
10055_at	8.272396509	6.431288654	6.177917792	7.146695948	6.388878339	5.986410935	8.605849867	7.605109074
10056_at	8.544191698	9.408117408	8.837312556	9.583270851	8.850186838	9.654457023	7.980139578	10.38510743
10057_at	5.078951341	5.62058641	6.215290306	6.529820947	6.318316841	7.142617655	4.277984747	7.094869433
10058_at	6.399171094	6.334496768	6.151777655	7.378511623	7.954777925	6.8008999	6.350497247	8.609548139
10059_at	10.79075575	10.36490068	11.34240807	10.74861218	11.98249453	9.644577357	10.49295473	11.88619193
10060_at	9.949389022	10.41774705	11.71767642	10.97520312	12.50412378	10.19537221	9.803969637	11.88119045
10061_at	13.38432508	10.53060141	12.21798798	10.40514146	12.43647732	12.12676899	13.51034386	11.47471995
10062_at	8.491051376	7.849874194	8.332707934	9.93191939	8.995767151	10.88340699	8.474517164	9.334273285
10063_i_at	7.10433666	6.908092341	7.872213144	7.720415285	8.002252452	7.853621456	7.174925683	7.614709844
10064_s_at	7.856114234	7.405141463	8.674192268	8.448322833	8.701826258	8.808642468	8.092228584	8.305149746
10065_at	6.303780748	6.209453366	7.073606041	6.762880293	7.449561375	7.070389328	6.424586226	6.525129251
10066_s_at	9.047941844	8.251719093	8.343851933	9.012065788	8.277054876	8.089582893	8.679831933	8.796688594
10067_at	5.153805336	9.203837384	3.10433666	9.175923742	1.5360529	7.566054038	4.201633861	9.368942914
10068_i_at	13.19380254	10.2081124	10.42626475	11.64543328	10.03039126	12.70500593	12.95588598	11.24656248
10069_f_at	11.80848159	9.333602628	9.482202926	10.88164933	9.070657661	11.54573675	11.60009874	10.29059489
10070_at	-0.321928095	-0.152003093	-0.152003093	3.608809243	0	6.876516947	0	0.584962501
10071_at	4.336283388	5.329123596	4.224966365	5.469234794	5.968090752	5.916476644	3.981852653	6.046578367
10072_at	5.205548911	10.08931806	7.982993575	10.37558251	8.932510053	8.350055177	5.129283017	9.799605422
10073_at	7.640244936	6.64385619	6.312882955	7.070389328	6.766860144	6.802193217	7.483009577	8.482606308
10074_at	0.378511623	3.744161096	3.666756592	3.017921908	0.137503524	1.201633861	0.847996907	4.371558863
10075_at	9.172677521	9.11113567	9.647458426	8.901168595	10.2862112	7.196725061	8.881113961	10.67560425
10076_at	5.649615459	7.599912842	8.238882374	8.892694591	8.396604781	9.513924942	5.997744026	8.382407876
10077_at	6.348728154	5.087462841	5.125155131	5.361066489	5.678071905	4.827819025	5.781359714	6.531381461
10078_at	6.593951284	9.865578633	6.332707934	10.32811389	6.87774425	9.533135023	6.213347282	10.49215363
10079_at	4.749534268	4.061776198	5.137503524	3.070389328	4.626439137	3.232660757	3.837943242	2.292781749
10080_at	1.887525271	5.569855608	4.44625623	4.738767837	4.240314329	1.201633861	1.070389328	6.434628228
10081_at	4.439623138	7.297374861	6.169925001	7.14974712	7.075746538	5.596935142	2.765534746	8.551131453
10082_at	4.944858446	4.817623258	5.865423978	5.100136671	2.786596362	6.131342539	3.432959407	5.675251386
10083_g_at	2.5360529	3.99095486	2.321928095	4.087462841	4.350497247	2.744161096	3.62058641	4.632268215
10084_at	5.108524457	4.906890596	3.459431619	4.426264755	5.125155131	5.703211467	4.95419631	4.727920455
10085_at	9.354028938	9.795227966	9.775116404	10.65660362	10.17280251	10.07948478	8.792139552	10.73927431
10086_at	4.972692654	5.314696526	5.10433666	6.891176125	6.031218731	7.624247146	4.802193217	6.373300197
