ID_REF	GSM29912	GSM29914	GSM29917	GSM29920	GSM29921	GSM29922	GSM225515	GSM225516	GSM225517	GSM225519	GSM225520	GSM225521	GSM29934	GSM29936	GSM29937	GSM225469	GSM225482	GSM225514
10000_at	-1	-2.321928095	1.321928095	1.070389328	-0.321928095	2.201633861	2.10433666	3.972692654	2.03562391	2.867896464	1.137503524	1.201633861	2.485426827	0.137503524	1.201633861	2.378511623	2.169925001	1.321928095
10001_at	6.974988112	6.871597266	6.464341533	6.394033895	6.226893814	6.708739041	7.663202279	7.345183447	8.071998581	6.5360529	6.854245054	6.593951284	6.846744023	6.189824559	6.769507291	6.937815169	6.845490051	7.01234519
10002_i_at	8.984133595	9.285864547	8.960001932	8.968090752	9.267254872	9.133912814	9.546701573	9.54399845	9.314243347	9.414896604	9.237209961	9.421223299	9.653561662	9.579693063	9.690172621	9.165660751	9.444807845	9.671364147
10003_f_at	10.67154107	10.63689646	10.68816287	10.74508603	10.68115055	10.62853667	10.90636452	10.81722352	10.88584887	10.77750191	10.58768377	10.76603191	10.9582627	11.63585413	10.94112099	11.01506653	11.02977035	11.47299539
10004_at	1.137503524	-0.736965594	1.765534746	-0.736965594	-0.152003093	0.765534746	0.847996907	0.378511623	-1	1	-2.321928095	-1.321928095	-1	-1	-2.321928095	-0.321928095	-0.514573173	-1.736965594
10005_at	6.752213368	6.525129251	6.427941333	7.259272487	6.911691582	7.167919866	7.029011087	6.910492832	6.821455119	7.098032083	7.278914019	7.056366761	6.722466024	6.147713722	6.773468928	6.366322214	6.529820947	6.578938713
10006_at	4.776103988	5.388878339	5.074676686	5.797012978	6.145677455	5.652486495	5.548436625	5.426264755	5.177917792	5.469234794	5.778734244	5.686500527	4.781359714	3.459431619	4.99095486	5.169925001	5	5.378511623
10007_at	6.011227255	5.947198584	5.672425342	7.598424761	6.911691582	6.977279923	6.114783447	5.432959407	7.171927354	6.577428828	6.462706751	6.82527683	5.995484519	5.449561375	6.274261661	5.87036472	5.87774425	5.173926932
10008_at	1	-1	0.765534746	-1	-0.152003093	1.485426827	0	0.263034406	0.678071905	0	0	0.485426827	1.765534746	-0.321928095	-0.736965594	-0.514573173	1.263034406	2.263034406
10009_at	2.827819025	3	3.523561956	2.786596362	2.560714954	3.572889668	2.459431619	4.061776198	3.292781749	4.008988783	2.201633861	2.847996907	3.40599236	2.632268215	3.392317423	4.638073837	4.807354922	4.638073837
10010_at	10.37395266	10.24436384	10.27577532	9.809768129	9.793603309	9.780047576	10.64772823	10.24365004	10.79344074	9.450386479	9.871289228	9.820817182	9.52767248	9.41806342	9.876977308	9.524737587	9.30560579	9.287250643
10011_at	3.584962501	4.153805336	3.897240426	1.765534746	2.510961919	3.185866545	3.95419631	3.87774425	3.981852653	1.201633861	2.655351829	2.906890596	2.292781749	0.847996907	2	1.925999419	1.584962501	2.765534746
