ID_REF	GSM217395	GSM217616	GSM217617	GSM217618	GSM217621	GSM217633	GSM217634	GSM217635	GSM217636	GSM217637	GSM217638	GSM217639	GSM217640	GSM217641	GSM217642	GSM217643	GSM217745	GSM217746	GSM217747	GSM217748	GSM217749	GSM217750	GSM217751	GSM217752
10000_at	2.378511623	3.44625623	2.944858446	3.485426827	2.169925001	2.963474124	2.232660757	2.292781749	2.807354922	2.263034406	2.722466024	3.03562391	3.572889668	3.137503524	1.963474124	2	3.03562391	4.153805336	2.786596362	2.510961919	2.350497247	1.378511623	1.5360529	2.700439718
10001_at	7.057450272	7.276124405	6.793115555	7.059614856	7.021257621	7.041111535	7.621319301	6.941341105	7.135452784	6.918863237	7.290018847	7.359310317	6.924812504	7.485426827	6.993221467	7	7.521992956	7.464341533	7.159871337	7.371558863	7.060695932	6.944858446	6.518849829	7.136478518
10002_i_at	11.07233362	11.2489949	10.7807858	10.37590826	11.0721326	11.22430321	11.16666524	10.25856603	10.94236788	10.52130598	11.05954726	11.02063276	10.74020239	10.79701298	10.72860081	10.7077905	11.20261362	11.07521171	11.06157371	10.99527251	11.01736521	10.85642553	10.79441587	10.80413102
10003_f_at	12.52923532	12.65611198	11.84827083	11.80413102	12.34836854	12.46969269	12.48899493	11.86584924	12.21176665	11.98438285	12.50717522	12.34118521	12.14067003	12.14392524	12.16471841	12.17367714	12.63208641	12.34955769	12.55449292	12.33304351	12.48003281	12.20509067	12.22659282	12.172365
10004_at	0.847996907	-0.736965594	-0.736965594	1.678071905	-0.514573173	-1.321928095	2.510961919	-1	-0.321928095	-0.321928095	2.459431619	0.137503524	0.678071905	-1.321928095	-1	-0.514573173	-0.321928095	2.263034406	-0.514573173	-1	1.847996907	1.5360529	-0.321928095	1.485426827
10005_at	7.63008507	7.350497247	7.257387843	6.704595348	7.424586226	7.347842794	7.576673293	6.498250868	7.717676423	6.789207575	7.075746538	7.159871337	7.117902789	6.699051844	7.238404739	6.826548487	7.502235115	7.284477118	7.650333754	6.696272084	7.269594252	6.601399391	6.95070169	6.551516018
10006_at	5.809928866	5.472487771	5.683696454	5.554588852	5.99095486	5.285402219	5.94016675	4.847996907	5.426264755	5.392317423	6.04220656	5.867896464	5.510961919	5.44625623	5.692092375	5.392317423	5.799605422	5.918863237	6.048759312	5.921245889	5.385431037	5.708739041	5.459431619	5.43629512
10007_at	8.877437522	9.005905202	8.020702204	8.048214385	8.618385502	8.524345816	8.154818109	8.25313837	9.049576317	8.699051844	7.997744026	7.576673293	7.645298164	8.061236166	8.72417275	8.807676916	8.549592167	7.900263044	8.217715411	8.066627409	7.80928581	8.282625134	7.955359305	8.678424083
10008_at	1.137503524	1.632268215	1	0.584962501	1.070389328	1.321928095	1.722466024	0.584962501	1.137503524	1.263034406	1.263034406	1.432959407	1.201633861	1.321928095	0.584962501	0.765534746	0.765534746	3.733354341	1.321928095	1.263034406	1.137503524	1	1	0.847996907
10009_at	5.83541884	6.247927513	5.51412226	5.789207575	5.887525271	5.981852653	6.083213368	5.44625623	5.909293086	5.307428525	5.675251386	5.498250868	5.776103988	5.781359714	4.54225805	5.439623138	5.860466259	6.270528942	5.590961241	5.722466024	6.020146573	5.501439145	5.678071905	4.935459748
10010_at	8.584210901	8.735048241	8.501439145	8.590961241	8.303780748	8.613605318	9.176173149	8.709083813	8.497053445	8.24697806	9.282856762	8.963474124	8.729620744	8.957682486	8.421644094	7.886306263	8.633721813	8.059074015	8.431706524	7.978996396	8.361505198	8.274727573	7.849874194	7.941341105
10011_at	0.485426827	3.307428525	0.485426827	2.678071905	1.807354922	1.765534746	2.963474124	3.137503524	3.608809243	2.827819025	3.62058641	3.5360529	1.584962501	3.608809243	3.64385619	2	0	3.847996907	2.232660757	3.153805336	3.666756592	2.847996907	2.608809243	3.121015401
10012_at	4.439623138	4.329123596	4.336283388	4.700439718	3.817623258	3.944858446	5.048759312	4.930737338	3.5360529	2.584962501	5.129283017	5.307428525	4.185866545	5.510961919	3.765534746	4.232660757	4.270528942	4.807354922	3.666756592	4.666756592	4.867896464	3.867896464	3.837943242	4.201633861
10013_at	2.485426827	3.711494907	3.689299161	3.419538892	2.459431619	3.744161096	4.371558863	3.744161096	4.572889668	3.053111336	4.129283017	3.935459748	3.364572432	3.744161096	3.916476644	3.017921908	3.510961919	3.472487771	4.822730148	4.078951341	3.666756592	4.053111336	3.510961919	3.786596362
10014_at	6.850499414	7.137503524	6.876516947	6.195741293	6.905687849	6.841721581	6.665335917	6.753551055	7.13442632	6.263034406	7.375908263	7.006746832	6.968090752	6.412781525	7.203592714	6.815063017	6.867896464	6.659639187	6.920055055	6.385431037	6.626439137	6.562242424	6.554588852	6.790511412
10015_at	9.717847754	9.92421868	9.513530223	9.711666974	9.677367292	9.74819285	10.12850994	9.416164165	9.752213368	9.558037985	10.29174628	10.25668047	9.571563052	9.840148475	9.62844554	9.665691217	9.739105507	9.848466457	9.576484347	9.524345816	9.115303806	9.352264173	8.860466259	9.478567406
10016_at	8.64096791	8.528649452	8.108001646	8.085870755	8.393175914	8.391028727	8.807354922	7.632268215	8.333602628	8.065550771	8.699745948	8.435878577	8.061236166	8.063934306	8.460251099	8.142107057	8.585338154	8.093285504	8.371123201	7.802839441	8.062855655	7.681589817	7.804776378	7.778734244
10017_at	1	0.765534746	3.263034406	1.263034406	0.263034406	0.847996907	2.321928095	0.765534746	1.925999419	0.263034406	1.137503524	1.263034406	0.584962501	0.678071905	3.523561956	1.263034406	1.378511623	2.827819025	1.584962501	0.485426827	1.137503524	0.584962501	1.378511623	-0.514573173
10018_at	2.10433666	2.560714954	1	1.5360529	3	1	3.153805336	3.733354341	3.378511623	3.169925001	1.807354922	2.485426827	2.807354922	2.744161096	3.678071905	3.153805336	2.03562391	3.432959407	2	3.292781749	3.247927513	2.655351829	3.666756592	3.62058641
