ID_REF	GSM254768	GSM254769	GSM254770	GSM254771	GSM254772	GSM254773
10000_at	3.87774425	4.478971805	2.981852653	1	2.867896464	3.596935142
10001_at	7.46760555	7.760220946	7.840463234	8.577428828	8.199181549	8.318316841
10002_i_at	9.613789464	10.05433298	10.16012353	10.68000782	10.2909404	9.983278664
10003_f_at	12.57643711	12.87607563	12.71005304	13.31444163	12.73771211	12.65582138
10004_at	0.485426827	3.560714954	3.5360529	3.5360529	-1.736965594	0.137503524
10005_at	8.891479946	8.80928581	8.977852308	9.248876343	8.452447178	8.375473913
10006_at	6.586464526	6.687900522	6.562242424	7.17990909	6.73470962	6.914086097
10007_at	9.894211462	9.778405724	9.721441019	10.05012073	9.421012856	9.451211112
10008_at	2.678071905	3.087462841	3.153805336	2.906890596	2.232660757	3.700439718
10009_at	4.817623258	5.736063628	4.705977902	5.822730148	5.201633861	5.361066489
10010_at	8.944272818	9.750706986	9.730639956	10.18784691	9.531771325	9.51234542
10011_at	3.916476644	3.925999419	3.523561956	4.64385619	3.307428525	4.137503524
10012_at	6.509379149	6.272396509	6.908092341	8.77939106	8.318316841	8.30833903
10013_at	6.236492618	5.680886921	6.390598906	6.936637939	6.589463893	6.729280846
10014_at	7.740792672	7.834787049	7.871597266	8.581953751	8.001689668	8.105908509
10015_at	11.54689446	11.53915881	11.85206128	12.03490211	11.49755249	11.47892126
10016_at	10.12605912	10.09803208	10.38747887	10.47004873	10.15620951	10.01429949
10017_at	3.655351829	1.632268215	3.754887502	4.529820947	3.432959407	1.722466024
10018_at	13.48454601	13.64789683	13.29538152	13.81721352	13.29122827	13.26808871
10019_at	11.09822952	11.15139715	11.25732891	11.33086087	10.83455006	10.70286529
10020_at	8.689299161	8.442943496	8.5360529	9.220378328	8.87835751	8.786596362
10021_at	6.091699834	5.593951284	5.429615964	5.744161096	5.28169825	5.311067102
10022_at	0.765534746	0.584962501	0.137503524	0.584962501	-0.321928095	0
10023_at	4.026800059	3.350497247	1.201633861	0.584962501	0.378511623	1.378511623
10024_at	7.489446599	7.321928095	7.599912842	8.001126665	8.125671763	7.760220946
10025_at	6.268658955	5.867896464	6.076815597	6.230741003	5.958842675	5.827819025
10026_at	0.378511623	1.201633861	1.765534746	4.201633861	1.070389328	1
10027_at	4.364572432	4.87282876	4.070389328	4.882643049	4.40599236	4.689299161
10028_at	7.142617655	6.294620749	7.101187815	7.166916252	6.799605422	6.910492832
10029_at	7.868513924	7.213347282	7.577428828	7.245077275	7.236492618	6.705977902
10030_at	6.887525271	6.610286657	6.830356747	7.03562391	7.096978636	7.05202456
10031_at	9.019312726	8.59058705	8.906590003	8.622051819	9.15304529	9.130570563
10032_at	7.345183447	7.48703608	7.40173285	7.724513853	7.416164165	7.553821257
10033_at	6.165911939	6.087462841	6.04220656	7.165911939	6.581953751	6.6395216
10034_at	8.946906274	8.681941137	8.944272818	9.811053524	9.691743519	9.654993973
10035_at	7.819540461	8.243173983	8.061776198	8.596935142	8.191799501	8.152284842
10036_at	7.176921112	7.917670434	7.763544364	8.064473329	7.74348804	7.592457037
10037_at	6.031218731	5.395748328	4.694880193	6.057450272	5.727920455	5.683696454
10038_i_at	9.025693274	8.735048241	8.817623258	9.502831804	8.826866227	8.803485376
10039_s_at	5.857980995	5.270528942	5.87282876	6.300123725	5.914086097	5.213347282
10040_at	5.719731057	5.259272487	5.416164165	6.400879436	5.638073837	5.442943496
10041_at	3.247927513	4.247927513	3.786596362	3.419538892	3.247927513	2.560714954
10042_at	5.14974712	4.925999419	4.842978832	4.560714954	4.802193217	4.807354922
10043_at	6.369815424	6.316507819	6.165911939	6.268658955	6.361066489	6.696272084
10044_at	9.029839349	8.694183743	9.154564982	8.021812824	8.884475819	8.936343481
