ID_REF	GSM6711	GSM6712	GSM6713	GSM6715	GSM6717	GSM6726	GSM6728	GSM6729	GSM6730	GSM6731	GSM6732
10000_at	2.981852653	2.700439718	3.897240426	3.560714954	3.336283388	4.554588852	3.321928095	3.053111336	4.070389328	3.857980995	4.321928095
10001_at	9.133399125	9.449148645	8.876516947	9.374822142	9.562051579	9.25100893	9.376559544	8.927777962	9.693486957	10.03919324	9.866351657
10002_i_at	11.41637532	11.22713456	11.15633594	11.52576548	11.55631445	11.30012372	11.19309409	11.43759604	11.31707338	11.21813939	10.49934763
10003_f_at	13.08020129	12.87261717	13.04080341	13.0376499	13.00855118	13.06363102	12.93603055	13.07298671	12.91073641	12.91487093	12.85067521
10004_at	1	-0.321928095	1.925999419	2.867896464	0.925999419	2.655351829	2.510961919	2.137503524	2.867896464	4.070389328	0.485426827
10005_at	8.525129251	8.618752554	8.515699838	8.294620749	8.55190048	8.871597266	8.957682486	8.948367232	8.701133155	8.537218401	7.933100475
10006_at	6.554588852	7.198690586	6.948367232	6.477353527	7.069315495	6.92243574	7.207502459	7.153805336	6.429615964	6.98982022	6.54225805
10007_at	9.257859235	9.430034319	8.920055055	9.648357582	9.777912804	9.44232151	9.151777655	8.952450058	9.405779683	10.10721708	9.791162889
10008_at	2.321928095	2.432959407	2.378511623	2.137503524	2.584962501	1.632268215	1.925999419	1.807354922	2.321928095	2.292781749	3.307428525
10009_at	5.270528942	4.314696526	5.422905743	3.10433666	4.240314329	5.99095486	5.205548911	5.22881869	4.977279923	3.277984747	3
10010_at	10.77774846	11.09024477	10.20554891	11.10996121	10.80445374	9.871135184	10.29553937	9.772974318	10.35931032	10.97806689	11.10590851
10011_at	4.008988783	4.738767837	3.897240426	4.99095486	3.906890596	5.43629512	3.847996907	3.972692654	3.584962501	4.596935142	4.5360529
10012_at	9.215533	9.687900522	7.896635141	8.174426394	8.69034725	7.278914019	8.74281467	7.728600811	9.443150765	8.417008587	8.830356747
10013_at	6.020146573	6.076815597	5.867896464	5.99095486	6.163901214	6.114783447	6.169925001	6.417852515	6.422905743	6.462706751	5.557655155
10014_at	8.090641752	8.493054842	8.11113567	8.20261362	7.981852653	7.415319248	7.645298164	7.536830005	7.935459748	8.568336182	8.588714636
10015_at	11.92700012	11.90587584	11.78916681	12.16474983	12.01168152	11.97114834	11.81970011	11.71188203	11.66182262	12.2904797	12.19816875
10016_at	10.02361576	9.983278664	9.946467699	10.35799178	10.2589193	10.11048331	10.32361776	10.18053081	10.12838105	10.16641418	10.19463375
10017_at	1.963474124	1.925999419	2.169925001	2.827819025	2.10433666	2.292781749	1.584962501	1.584962501	4.026800059	1.847996907	2.137503524
10018_at	10.23397911	9.41806342	10.28551781	9.944419247	8.051480865	9.418274294	7.8008999	6.943686952	6.761551232	2.925999419	2.944858446
10019_at	11.85595856	12.06157371	11.44475609	12.07781712	11.47385792	10.99364606	10.22749561	10.02942528	10.88386515	11.25726997	11.61019436
10020_at	9.001689668	9.128509938	9.120237877	9.002533761	8.948075158	8.781687562	8.808964175	8.918266959	8.825912799	8.902375114	8.687200695
10021_at	6.230741003	6.006746832	6.118941073	6.669593751	6.238404739	6.011227255	6.811214118	6.465974465	6.758889433	6.556122818	6.22881869
