ID_REF	GSM8537	GSM8538	GSM8539	GSM8540	GSM8542	GSM8544	GSM8546	GSM8547	GSM8549	GSM8551	GSM8553	GSM8554	GSM8556	GSM8558	GSM8560	GSM8562	GSM8541	GSM8543	GSM8545	GSM8548	GSM8550	GSM8552	GSM8555	GSM8557	GSM8559	GSM8561
141200_at	5.603742053	5.564033612	5.580118343	5.642941231	5.682542398	5.239707354	5.410768476	5.486440866	5.478217913	5.543390709	5.855269665	5.625136034	5.290605024	5.619333772	5.693202572	5.690053862	5.552619918	5.616098873	5.401923945	5.605838017	5.551411426	5.752232104	5.714292233	5.503784404	5.637039245	5.71072655
141201_at	7.510360671	7.549137764	7.529149406	7.637689937	7.631926408	7.709897146	7.697919738	7.663387319	7.68271374	8.043825673	7.700238559	7.699149039	7.81059734	7.686283406	7.709862692	7.58018318	7.739173031	7.826681946	7.898710209	7.457799467	7.628372629	7.58668219	7.65897548	7.78271652	7.63308241	7.558512553
141202_at	7.100704384	7.14804943	7.056854442	7.065647701	7.420878156	7.15312638	7.084850898	6.753965486	6.853459276	6.884036167	6.997360159	7.043563238	6.823048729	6.773205157	6.808603858	6.987866549	7.390031345	7.110029093	7.093676368	7.211576853	7.509284127	7.337934043	7.196557868	7.043935007	7.38174193	7.441674361
141203_at	7.095418122	7.395234212	7.038918989	6.8056536	7.658589962	7.109945543	7.167076877	7.259225401	7.486617847	7.803730755	7.985022185	7.962913352	7.180217495	7.321864976	7.854207646	8.003517912	7.390942773	6.657968632	6.190687941	6.806491623	7.297301486	7.161484639	6.514179083	6.757810005	6.806285386	6.947198584
141204_at	7.050719348	7.073638172	6.970761643	6.973921178	7.086380414	7.12902537	7.297842537	7.181331185	7.41444001	7.405439334	7.504660114	7.484516805	7.517456806	7.393690764	7.517393813	7.699287877	7.037503027	7.084298173	7.021335362	6.876197677	7.021712903	6.957218149	7.018189049	6.997856909	6.959109387	6.982947955
141205_at	6.726899318	6.711866545	6.735576331	6.653232029	6.860888328	6.765428662	6.891965927	6.569743226	6.751999223	6.821735722	6.838434986	6.867093371	6.953800678	6.76883273	6.874698619	7.040607545	6.849311264	6.640714911	6.666486771	6.864928972	7.08934984	6.860652481	6.704830475	6.512768902	6.817175543	6.887415602
141206_at	9.368183401	9.342027985	9.464982679	9.385765355	9.037527736	9.34800884	9.200437653	9.272202861	9.215945486	9.279215904	9.348772408	9.267292332	9.506983887	9.529024434	9.251439804	9.462420473	9.063225184	9.275170049	9.409683689	8.998576327	8.897467342	9.221260847	9.186473321	9.423220982	9.074620497	9.145557735
141207_at	6.805550425	6.572262141	6.674164014	6.504353437	7.249739236	6.770511935	6.896937815	7.170445881	7.002342477	7.190990102	7.230760213	7.252135559	6.65718266	6.937603338	7.016061681	7.00546736	6.894611649	6.381214144	6.220771055	6.502387891	6.482406245	6.643531547	6.216683785	6.5632039	6.698787997	6.679620843
141208_at	9.362250697	9.36402519	9.495717145	9.216396659	9.570083384	8.873185696	9.410601867	9.029806228	9.647517788	9.539620245	9.563123802	9.707405726	9.647726433	9.111318278	9.641139564	9.364640276	9.424592524	8.804298842	9.346493788	9.494867582	9.617735592	9.555194963	9.17401435	8.986715257	9.7064304	9.609393002
141209_at	8.30979919	8.273231463	8.433702271	8.375265378	8.37157193	8.418396587	8.291865973	8.294119854	8.349250262	8.359920829	8.48747429	8.435916071	8.575248031	8.4446298	8.423989879	8.318669337	8.453657496	8.378316534	8.606260843	8.351001042	8.395341335	8.305154307	8.398179328	8.46906381	8.42083606	8.236803511
141210_at	4.937612754	4.96211402	5.137646966	4.798387554	4.899862004	4.736702278	4.967542147	5.077956478	5.036863743	4.703936786	4.928934025	4.968205979	4.973877566	5.293098224	4.995724194	5.205455074	5.046272771	4.977115035	4.795891599	4.926398003	4.929606389	4.969307081	4.893163171	4.829463978	4.762035152	4.900755734
141211_at	7.077339147	7.054175583	7.089593486	7.17625295	7.168230844	7.193062047	7.365570068	7.139612742	7.194481091	7.278049816	7.214037355	7.112293536	7.385888278	7.219613848	7.273208147	7.409458826	7.193889992	7.14722528	7.084978419	7.226209864	7.293664762	7.156993166	7.133758727	7.134672738	7.142556393	7.250364747
141212_at	8.876415647	9.021013264	8.860937975	8.84356308	9.098790088	9.091615216	9.32544938	9.170350734	9.553308659	9.754763933	9.761122349	9.769138636	9.886740653	9.65254565	9.932142394	9.804760248	9.031428281	8.902724816	9.048454178	8.907383432	9.142990278	8.813268142	9.033332142	8.690354235	8.946789334	8.864232583
141213_at	8.113101405	7.94799921	7.971704483	7.957357466	8.097689797	8.078342976	8.331503694	8.143582193	8.20830265	8.207453653	7.354654911	8.638700173	8.821145755	8.735867376	8.244011741	8.38951949	7.622901075	8.441666062	7.807400006	7.690011944	8.019585169	7.281586984	7.051578746	7.042534906	7.464782607	7.395662655
141214_at	8.930533336	8.946953048	8.869325482	8.767893109	8.838220657	8.98229772	8.921549394	8.659535726	8.949657487	9.230889875	8.859127855	9.062423969	8.84247292	9.003290211	9.011895326	9.209241332	8.887793314	8.991527515	8.835797782	8.789122785	9.094457778	8.600842114	8.446024586	8.87264718	8.844486088	8.768326602
141215_at	7.987184413	8.079394113	8.157094252	8.029480494	8.197944002	8.162416506	8.221282601	8.076008531	8.324923085	8.179476217	8.155268565	8.017810585	8.412362372	8.157746085	8.07144091	8.125955832	7.919465228	7.867192237	8.487526545	7.988167723	8.164499697	7.955155849	7.922263273	7.87125842	8.04866124	7.952618955
141216_at	8.114361819	7.962867093	8.081185148	8.208751343	7.986985396	7.855883833	7.827984112	8.082723875	7.841935391	7.657139777	7.783430461	7.796351158	8.03670113	8.326744059	7.911961163	7.60430859	7.939285356	7.951902464	9.006233496	7.691206115	7.790517928	7.793128564	8.062995925	8.02625784	8.082489711	7.801068097
141217_at	7.340330821	7.398589796	7.369047643	7.280158307	7.772895165	7.433026197	7.501192305	7.470431116	7.573260902	7.927600206	7.958923854	8.122838346	7.770082404	7.43972286	8.060209548	7.854781133	7.575652692	7.124917418	7.210184276	7.484404019	7.638732749	7.655666668	7.416012116	7.084935913	7.637856547	7.501590413
